design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2lo	7.5	long_weighted	0	527.9419	7.5187	234.8
bracewell4	hab2lo	7.5	long_weighted	1	158.4676	7.5018	178.4
bracewell4	hab2lo	7.5	long_weighted	2	1057.5690	7.5199	185.3
bracewell4	hab2lo	7.5	long_weighted	3	0.0000	7.5044	122.9
bracewell4	hab2lo	7.5	long_weighted	4	199.2727	7.5311	219.2
bracewell4	hab2lo	7.5	long_weighted	5	616.8349	7.5376	219.4
bracewell4	hab2lo	7.5	long_weighted	6	388.3205	7.2879	414.5
bracewell4	hab2lo	7.5	long_weighted	7	479.9664	7.5447	206.8
bracewell4	hab2lo	7.5	long_weighted	8	918.9996	7.4703	186.1
bracewell4	hab2lo	7.5	long_weighted	9	410.6084	7.4509	232.4
bracewell4	hab2lo	7.5	long_weighted	10	240.2782	7.4737	181.8
bracewell4	hab2lo	7.5	long_weighted	11	676.2712	7.5350	213.5
bracewell4	hab2lo	7.5	long_weighted	12	1302.3621	7.4958	212.7
bracewell4	hab2lo	7.5	long_weighted	13	390.9156	7.5430	179.0
