design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2lo	7.5	short_weighted	0	332.9451	7.4671	193.9
bracewell4	hab2lo	7.5	short_weighted	1	283.9545	7.4914	187.2
bracewell4	hab2lo	7.5	short_weighted	2	925.6488	7.4571	292.6
bracewell4	hab2lo	7.5	short_weighted	3	0.0000	7.5044	121.1
bracewell4	hab2lo	7.5	short_weighted	4	189.1599	7.5223	219.2
bracewell4	hab2lo	7.5	short_weighted	5	593.5657	7.5438	218.0
bracewell4	hab2lo	7.5	short_weighted	6	576.7901	7.5406	181.3
bracewell4	hab2lo	7.5	short_weighted	7	534.3227	7.5260	197.8
bracewell4	hab2lo	7.5	short_weighted	8	967.2858	7.4862	206.5
bracewell4	hab2lo	7.5	short_weighted	9	487.6401	7.5148	226.3
bracewell4	hab2lo	7.5	short_weighted	10	368.9481	7.4692	191.6
bracewell4	hab2lo	7.5	short_weighted	11	790.4945	7.4921	216.7
bracewell4	hab2lo	7.5	short_weighted	12	1458.4231	7.5255	213.0
bracewell4	hab2lo	7.5	short_weighted	13	402.9125	7.4658	218.6
