design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2hi	4.5	flat	0	967.2949	4.5484	288.6
triple6	hab2hi	4.5	flat	1	1238.1698	4.5389	228.1
triple6	hab2hi	4.5	flat	2	763.9303	4.5054	258.6
triple6	hab2hi	4.5	flat	3	978.1411	4.5479	230.0
triple6	hab2hi	4.5	flat	4	900.3199	4.5181	275.5
triple6	hab2hi	4.5	flat	5	759.7805	4.4702	272.6
triple6	hab2hi	4.5	flat	6	529.7851	4.5097	272.0
triple6	hab2hi	4.5	flat	7	892.4512	4.5169	236.7
triple6	hab2hi	4.5	flat	8	548.7723	4.5132	261.4
triple6	hab2hi	4.5	flat	9	845.0759	4.5452	407.5
triple6	hab2hi	4.5	flat	10	871.1587	4.5354	311.3
triple6	hab2hi	4.5	flat	11	927.7642	4.5351	307.5
triple6	hab2hi	4.5	flat	12	871.8634	4.5158	286.3
triple6	hab2hi	4.5	flat	13	900.4774	4.4910	238.1
