design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2hi	4.0	long_weighted	0	862.1	4.018	236.0
triple6	hab2hi	4.0	long_weighted	1	1613.0	3.981	235.5
triple6	hab2hi	4.0	long_weighted	2	716.1	3.952	190.1
triple6	hab2hi	4.0	long_weighted	3	1098.1	4.023	191.1
triple6	hab2hi	4.0	long_weighted	4	981.1	3.973	188.3
triple6	hab2hi	4.0	long_weighted	5	676.8	3.962	197.7
triple6	hab2hi	4.0	long_weighted	6	552.9	4.035	203.6
triple6	hab2hi	4.0	long_weighted	7	607.3	3.973	189.5
triple6	hab2hi	4.0	long_weighted	8	362.8	3.998	185.7
triple6	hab2hi	4.0	long_weighted	9	1074.0	4.042	226.2
triple6	hab2hi	4.0	long_weighted	10	840.9	3.982	273.6
triple6	hab2hi	4.0	long_weighted	11	879.6	4.027	237.0
