design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2hi	4.5	short_weighted	0	1706.0177	4.5471	365.1
triple6	hab2hi	4.5	short_weighted	1	2258.4317	4.4789	225.6
triple6	hab2hi	4.5	short_weighted	2	1507.2848	4.4843	226.1
triple6	hab2hi	4.5	short_weighted	3	1907.0953	4.5144	273.7
triple6	hab2hi	4.5	short_weighted	4	1794.8604	4.4866	237.0
triple6	hab2hi	4.5	short_weighted	5	1569.1245	4.5027	231.7
triple6	hab2hi	4.5	short_weighted	6	1080.6388	4.5468	231.6
triple6	hab2hi	4.5	short_weighted	7	1616.7568	4.4992	242.7
triple6	hab2hi	4.5	short_weighted	8	1062.2391	4.5398	264.9
triple6	hab2hi	4.5	short_weighted	9	1482.2580	4.5247	404.6
triple6	hab2hi	4.5	short_weighted	10	1622.5682	4.5123	358.2
triple6	hab2hi	4.5	short_weighted	11	1823.6359	4.5412	299.3
triple6	hab2hi	4.5	short_weighted	12	1607.5744	4.5243	284.4
triple6	hab2hi	4.5	short_weighted	13	1679.3372	4.4795	277.1
