design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2lo	5.5	flat	0	217.6035	5.4776	320.3
triple6	hab2lo	5.5	flat	1	199.6777	5.5087	211.4
triple6	hab2lo	5.5	flat	2	382.5375	5.5368	313.9
triple6	hab2lo	5.5	flat	3	237.3039	5.4721	245.4
triple6	hab2lo	5.5	flat	4	129.4016	5.5334	240.0
triple6	hab2lo	5.5	flat	5	272.2114	5.5264	223.5
triple6	hab2lo	5.5	flat	6	223.5455	5.5419	256.8
triple6	hab2lo	5.5	flat	7	214.0178	5.4819	253.2
triple6	hab2lo	5.5	flat	8	387.1344	5.5595	321.9
triple6	hab2lo	5.5	flat	9	429.7735	5.5278	214.6
triple6	hab2lo	5.5	flat	10	260.2628	5.4985	229.1
triple6	hab2lo	5.5	flat	11	412.8269	5.5145	295.4
triple6	hab2lo	5.5	flat	12	400.2697	5.5100	308.5
triple6	hab2lo	5.5	flat	13	235.5703	5.5176	298.0
