design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2lo	6.0	long_weighted	0	1341.4175	5.9962	259.4
triple6	hab2lo	6.0	long_weighted	1	1070.3345	6.0238	185.8
triple6	hab2lo	6.0	long_weighted	2	2194.6680	6.0054	151.3
triple6	hab2lo	6.0	long_weighted	3	1410.3924	6.0086	183.9
triple6	hab2lo	6.0	long_weighted	4	1119.9833	6.0048	182.7
triple6	hab2lo	6.0	long_weighted	5	1533.9104	5.9823	151.2
triple6	hab2lo	6.0	long_weighted	6	1564.1089	6.0031	178.9
triple6	hab2lo	6.0	long_weighted	7	1285.9504	6.0055	178.4
triple6	hab2lo	6.0	long_weighted	8	1989.6161	5.9978	179.4
triple6	hab2lo	6.0	long_weighted	9	1898.6584	6.0283	174.3
triple6	hab2lo	6.0	long_weighted	10	1507.1635	6.0344	137.0
triple6	hab2lo	6.0	long_weighted	11	1871.2225	5.9787	183.1
triple6	hab2lo	6.0	long_weighted	12	2171.7631	6.0440	151.4
triple6	hab2lo	6.0	long_weighted	13	1501.5137	6.0365	153.1
