design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2lo	6.0	short_weighted	0	1047.4537	6.0160	247.0
triple6	hab2lo	6.0	short_weighted	1	820.0931	6.0412	206.0
triple6	hab2lo	6.0	short_weighted	2	1298.8015	6.0173	275.7
triple6	hab2lo	6.0	short_weighted	3	1010.7917	6.0301	211.0
triple6	hab2lo	6.0	short_weighted	4	730.7840	5.9562	370.9
triple6	hab2lo	6.0	short_weighted	5	1184.9792	6.0443	226.3
triple6	hab2lo	6.0	short_weighted	6	685.6317	6.0445	254.7
triple6	hab2lo	6.0	short_weighted	7	782.3906	6.0384	274.4
triple6	hab2lo	6.0	short_weighted	8	1174.1703	6.0163	214.6
triple6	hab2lo	6.0	short_weighted	9	1288.2757	6.0196	215.3
triple6	hab2lo	6.0	short_weighted	10	1037.1370	5.9724	179.9
triple6	hab2lo	6.0	short_weighted	11	1253.3399	6.0439	208.3
triple6	hab2lo	6.0	short_weighted	12	1384.0445	5.9503	263.2
triple6	hab2lo	6.0	short_weighted	13	895.0342	5.9574	247.8
