design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2hi	4.0	flat	50	351.1417	4.0154	converged	0.0000	979.1006	4	corrected	404.3
triple6	hab2hi	4.0	flat	51	351.3041	4.0360	converged	0.0000	452.5924	5	corrected	461.4
triple6	hab2hi	4.0	flat	52	474.2365	4.0482	converged	0.0000	578.7432	5	corrected	461.1
triple6	hab2hi	4.0	flat	53	313.6882	3.9665	converged	0.0000	405.1050	5	corrected	458.0
triple6	hab2hi	4.0	flat	54	470.7298	4.0187	converged	0.0000	601.7771	5	corrected	461.3
triple6	hab2hi	4.0	flat	55	191.2515	3.9714	converged	0.0000	632.8470	4	corrected	388.5
triple6	hab2hi	4.0	flat	56	514.2949	3.9958	converged	0.0000	626.3767	5	corrected	461.7
triple6	hab2hi	4.0	flat	57	416.4536	4.0328	converged	0.0000	565.8702	5	corrected	469.4
triple6	hab2hi	4.0	flat	58	352.6877	3.9560	converged	0.0000	466.0823	5	corrected	457.7
triple6	hab2hi	4.0	flat	59	438.2245	4.0299	converged	0.0000	508.0708	6	corrected	546.2
triple6	hab2hi	4.0	flat	60	671.4656	3.9755	converged	0.0000	729.0261	6	corrected	543.8
triple6	hab2hi	4.0	flat	61	243.4941	3.9702	converged	0.0000	736.0243	4	corrected	383.0
triple6	hab2hi	4.0	flat	62	544.3886	3.9997	converged	0.0000	1576.5774	4	corrected	383.1
triple6	hab2hi	4.0	flat	63	400.8769	3.9637	converged	371.3857	433.6144	7	corrected	619.6
triple6	hab2hi	4.0	flat	64	591.9292	4.0067	converged	0.0000	776.5443	5	corrected	462.9
triple6	hab2hi	4.0	flat	65	443.4278	4.0046	converged	0.0000	503.1754	5	corrected	463.6
triple6	hab2hi	4.0	flat	66	285.5643	4.0151	converged	0.0000	336.3481	5	corrected	460.0
triple6	hab2hi	4.0	flat	67	507.2348	4.0087	converged	0.0000	670.7263	5	corrected	457.2
triple6	hab2hi	4.0	flat	68	386.0666	4.0159	converged	0.0000	480.3107	5	corrected	462.4
triple6	hab2hi	4.0	flat	69	428.1673	4.0096	converged	0.0000	483.8153	5	corrected	459.7
triple6	hab2hi	4.0	flat	70	530.8752	4.0349	converged	0.0000	706.5523	5	corrected	450.0
triple6	hab2hi	4.0	flat	71	276.2599	4.0438	converged	257.2115	290.9514	7	corrected	608.0
triple6	hab2hi	4.0	flat	72	289.8933	3.9805	converged	255.1269	402.5061	6	corrected	523.2
triple6	hab2hi	4.0	flat	73	480.5483	3.9947	converged	0.0000	575.8714	7	corrected	617.3
triple6	hab2hi	4.0	flat	74	447.2293	3.9798	converged	0.0000	538.5547	5	corrected	469.8
triple6	hab2hi	4.0	flat	75	512.2564	4.0265	converged	0.0000	626.6983	5	corrected	468.4
triple6	hab2hi	4.0	flat	76	275.3893	3.9725	converged	0.0000	341.1258	5	corrected	465.1
triple6	hab2hi	4.0	flat	77	400.2288	4.0237	converged	0.0000	461.0002	6	corrected	552.1
triple6	hab2hi	4.0	flat	78	454.3630	4.0325	converged	0.0000	1267.0775	4	corrected	370.1
triple6	hab2hi	4.0	flat	79	451.9068	3.9908	converged	0.0000	622.1565	5	corrected	449.1
triple6	hab2hi	4.0	flat	80	511.4277	3.9826	converged	483.5505	531.3647	7	corrected	603.9
triple6	hab2hi	4.0	flat	81	457.2189	3.9569	converged	0.0000	512.8770	6	corrected	546.8
triple6	hab2hi	4.0	flat	82	270.6236	4.0468	converged	0.0000	878.1281	4	corrected	380.1
triple6	hab2hi	4.0	flat	83	340.3838	4.0242	converged	0.0000	461.7946	5	corrected	459.5
triple6	hab2hi	4.0	flat	84	414.4322	3.9899	converged	0.0000	478.6061	5	corrected	458.3
triple6	hab2hi	4.0	flat	85	579.2609	4.0263	converged	0.0000	698.4849	5	corrected	461.1
triple6	hab2hi	4.0	flat	86	450.9399	3.9862	converged	0.0000	556.4063	5	corrected	460.4
triple6	hab2hi	4.0	flat	87	328.4017	3.9617	converged	318.2519	343.5132	9	corrected	767.4
triple6	hab2hi	4.0	flat	88	419.1647	4.0273	converged	0.0000	1220.5674	4	corrected	383.5
triple6	hab2hi	4.0	flat	89	481.0219	3.9995	converged	0.0000	530.2545	6	corrected	535.9
triple6	hab2hi	4.0	flat	90	396.8063	4.0077	converged	0.0000	452.6485	7	corrected	614.0
triple6	hab2hi	4.0	flat	91	625.9223	3.9901	converged	0.0000	860.0981	5	corrected	463.7
triple6	hab2hi	4.0	flat	92	473.3704	4.0197	converged	0.0000	694.7808	5	corrected	463.3
triple6	hab2hi	4.0	flat	93	354.8894	4.0179	converged	0.0000	456.3926	6	corrected	524.4
triple6	hab2hi	4.0	flat	94	426.9826	4.0081	converged	0.0000	518.7723	5	corrected	456.3
triple6	hab2hi	4.0	flat	95	411.1694	4.0207	converged	0.0000	485.2871	5	corrected	464.1
triple6	hab2hi	4.0	flat	96	326.1200	4.0499	converged	0.0000	380.3959	5	corrected	463.5
triple6	hab2hi	4.0	flat	97	147.8235	3.9986	converged	0.0000	564.0897	4	corrected	375.4
triple6	hab2hi	4.0	flat	98	434.9758	4.0365	converged	0.0000	572.4582	5	corrected	460.3
triple6	hab2hi	4.0	flat	99	339.1626	4.0137	converged	0.0000	417.4545	6	corrected	555.4
