design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2hi	4.5	flat	0	1161.9882	4.5471	converged	0.0000	1378.2073	5	corrected	480.8
triple6	hab2hi	4.5	flat	1	938.6253	4.4595	converged	0.0000	986.1051	7	corrected	612.4
triple6	hab2hi	4.5	flat	2	1108.3399	4.5315	converged	0.0000	1213.0815	6	corrected	527.5
triple6	hab2hi	4.5	flat	3	793.0062	4.4890	converged	0.0000	886.0904	6	corrected	533.4
triple6	hab2hi	4.5	flat	4	821.6263	4.5386	converged	0.0000	870.3604	7	corrected	587.7
triple6	hab2hi	4.5	flat	5	886.4622	4.5351	converged	0.0000	985.5224	6	corrected	529.2
triple6	hab2hi	4.5	flat	6	915.4561	4.5276	converged	0.0000	1030.5304	6	corrected	526.8
triple6	hab2hi	4.5	flat	7	1088.7076	4.4877	converged	0.0000	1164.3514	6	corrected	540.4
triple6	hab2hi	4.5	flat	8	1037.9367	4.5614	converged	1028.9567	1037.9367	9	corrected	773.8
triple6	hab2hi	4.5	flat	9	1045.7319	4.5485	converged	0.0000	1302.2017	5	corrected	470.6
triple6	hab2hi	4.5	flat	10	979.1412	4.5343	converged	0.0000	1238.4795	5	corrected	455.1
triple6	hab2hi	4.5	flat	11	905.7173	4.5108	converged	0.0000	1005.2699	6	corrected	531.1
triple6	hab2hi	4.5	flat	12	1221.1108	4.5158	converged	0.0000	1508.0187	5	corrected	458.7
triple6	hab2hi	4.5	flat	13	977.9493	4.5246	converged	0.0000	1056.0538	6	corrected	544.6
triple6	hab2hi	4.5	flat	14	1150.7294	4.5377	converged	0.0000	1474.2127	5	corrected	457.8
triple6	hab2hi	4.5	flat	15	850.7186	4.4515	converged	840.1259	868.5677	9	corrected	759.5
triple6	hab2hi	4.5	flat	16	1028.8195	4.5108	converged	0.0000	1121.7088	6	corrected	549.7
triple6	hab2hi	4.5	flat	17	1049.5727	4.4949	converged	0.0000	1150.6041	6	corrected	539.9
triple6	hab2hi	4.5	flat	18	971.2093	4.4972	converged	0.0000	1034.0377	7	corrected	621.1
triple6	hab2hi	4.5	flat	19	864.1693	4.5091	converged	0.0000	938.7915	7	corrected	618.9
triple6	hab2hi	4.5	flat	20	1013.4208	4.5114	converged	0.0000	1066.7325	6	corrected	549.2
triple6	hab2hi	4.5	flat	21	985.2003	4.5168	converged	0.0000	1224.3598	5	corrected	470.6
triple6	hab2hi	4.5	flat	22	983.9678	4.5481	converged	0.0000	1211.4624	5	corrected	468.1
triple6	hab2hi	4.5	flat	23	867.0019	4.5114	converged	0.0000	1189.1279	5	corrected	466.7
triple6	hab2hi	4.5	flat	24	849.0282	4.5396	converged	0.0000	928.6894	6	corrected	545.8
triple6	hab2hi	4.5	flat	25	802.5211	4.4589	converged	782.7249	867.2986	8	corrected	686.7
triple6	hab2hi	4.5	flat	26	693.2743	4.5299	converged	0.0000	769.2977	7	corrected	612.5
triple6	hab2hi	4.5	flat	27	1027.9866	4.4635	converged	0.0000	1263.6169	5	corrected	456.1
triple6	hab2hi	4.5	flat	28	1017.7031	4.4986	converged	0.0000	1076.8375	6	corrected	533.6
triple6	hab2hi	4.5	flat	29	906.3664	4.5466	converged	0.0000	999.7448	6	corrected	538.0
triple6	hab2hi	4.5	flat	30	879.3891	4.4999	converged	0.0000	1105.0839	5	corrected	456.3
triple6	hab2hi	4.5	flat	31	1064.2454	4.5362	converged	0.0000	1309.5951	5	corrected	453.3
triple6	hab2hi	4.5	flat	32	974.6776	4.5224	converged	0.0000	1243.7163	5	corrected	463.8
triple6	hab2hi	4.5	flat	33	981.7197	4.5068	converged	0.0000	1043.7469	6	corrected	531.8
triple6	hab2hi	4.5	flat	34	927.4621	4.4971	converged	0.0000	1072.1502	6	corrected	527.1
triple6	hab2hi	4.5	flat	35	880.8939	4.4924	converged	841.9462	1239.6487	6	corrected	526.1
triple6	hab2hi	4.5	flat	36	929.1746	4.5081	converged	0.0000	1048.9981	6	corrected	524.1
triple6	hab2hi	4.5	flat	37	1007.6286	4.5417	converged	0.0000	1106.7040	6	corrected	528.9
triple6	hab2hi	4.5	flat	38	1006.9247	4.4744	converged	983.8860	1023.4769	8	corrected	685.8
triple6	hab2hi	4.5	flat	39	1065.7507	4.5326	converged	1041.6404	1091.5937	8	corrected	672.1
triple6	hab2hi	4.5	flat	40	1099.1205	4.5176	converged	0.0000	1202.7662	6	corrected	523.2
triple6	hab2hi	4.5	flat	41	928.6670	4.5477	converged	0.0000	1053.1505	6	corrected	512.7
triple6	hab2hi	4.5	flat	42	792.6518	4.5256	converged	0.0000	860.7899	6	corrected	530.0
triple6	hab2hi	4.5	flat	43	1152.1269	4.5132	converged	0.0000	1215.9212	7	corrected	599.0
triple6	hab2hi	4.5	flat	44	1089.0522	4.4805	converged	0.0000	1140.3001	6	corrected	533.7
triple6	hab2hi	4.5	flat	45	1055.5903	4.5275	converged	0.0000	1121.5706	6	corrected	529.0
triple6	hab2hi	4.5	flat	46	731.3705	4.5208	converged	0.0000	774.6767	6	corrected	527.9
triple6	hab2hi	4.5	flat	47	1157.0010	4.5122	converged	0.0000	1206.9978	6	corrected	541.3
triple6	hab2hi	4.5	flat	48	1069.1941	4.5309	converged	0.0000	1259.0903	5	corrected	449.5
triple6	hab2hi	4.5	flat	49	1135.1616	4.4690	converged	1072.4314	1355.2834	6	corrected	527.9
triple6	hab2hi	4.5	flat	50	831.0126	4.4626	converged	0.0000	1167.4538	5	corrected	458.9
triple6	hab2hi	4.5	flat	51	982.9712	4.5016	converged	0.0000	1250.4808	5	corrected	454.7
triple6	hab2hi	4.5	flat	52	1049.2906	4.5370	converged	0.0000	1444.2497	5	corrected	454.0
triple6	hab2hi	4.5	flat	53	859.0481	4.5338	converged	0.0000	934.2081	6	corrected	523.4
triple6	hab2hi	4.5	flat	54	839.1016	4.4532	converged	0.0000	888.3822	7	corrected	612.6
triple6	hab2hi	4.5	flat	55	688.2192	4.5118	converged	0.0000	734.9017	6	corrected	519.1
triple6	hab2hi	4.5	flat	56	1032.9382	4.5243	converged	0.0000	1148.0554	6	corrected	516.6
triple6	hab2hi	4.5	flat	57	934.4845	4.4625	converged	0.0000	1033.8380	6	corrected	523.2
triple6	hab2hi	4.5	flat	58	955.0503	4.5161	converged	0.0000	1305.4727	5	corrected	452.1
triple6	hab2hi	4.5	flat	59	1301.2104	4.5478	converged	0.0000	1655.3238	5	corrected	449.0
triple6	hab2hi	4.5	flat	60	1292.4611	4.5054	converged	0.0000	1349.1429	7	corrected	603.2
triple6	hab2hi	4.5	flat	61	928.1634	4.5032	converged	0.0000	2331.8137	4	corrected	374.6
triple6	hab2hi	4.5	flat	62	1176.7356	4.5152	converged	0.0000	1332.4898	5	corrected	447.5
triple6	hab2hi	4.5	flat	63	1013.6521	4.5386	converged	0.0000	1107.8257	6	corrected	528.1
triple6	hab2hi	4.5	flat	64	1279.2725	4.5427	converged	0.0000	1628.0467	5	corrected	461.4
triple6	hab2hi	4.5	flat	65	999.0898	4.4978	converged	0.0000	1063.2560	6	corrected	516.5
triple6	hab2hi	4.5	flat	66	866.1731	4.5011	converged	0.0000	1090.5153	5	corrected	443.1
triple6	hab2hi	4.5	flat	67	1252.0766	4.5405	converged	0.0000	1565.9107	5	corrected	448.1
triple6	hab2hi	4.5	flat	68	897.4002	4.5017	converged	0.0000	949.4632	6	corrected	511.7
triple6	hab2hi	4.5	flat	69	1000.7818	4.5483	converged	969.4225	1045.2601	7	corrected	584.6
triple6	hab2hi	4.5	flat	70	1124.1350	4.5219	converged	0.0000	1227.0010	6	corrected	519.4
triple6	hab2hi	4.5	flat	71	772.9036	4.5233	converged	0.0000	843.2516	6	corrected	522.3
triple6	hab2hi	4.5	flat	72	875.2936	4.5316	converged	0.0000	1157.2742	5	corrected	465.2
triple6	hab2hi	4.5	flat	73	1129.5809	4.5016	converged	1094.5189	1191.0424	8	corrected	708.3
triple6	hab2hi	4.5	flat	74	946.8149	4.5242	converged	0.0000	1054.2155	6	corrected	527.4
triple6	hab2hi	4.5	flat	75	1117.6263	4.5093	converged	0.0000	1194.3956	6	corrected	535.5
triple6	hab2hi	4.5	flat	76	805.7486	4.5402	converged	0.0000	1150.8133	5	corrected	457.1
triple6	hab2hi	4.5	flat	77	1002.9454	4.5485	converged	0.0000	1114.3043	6	corrected	533.2
triple6	hab2hi	4.5	flat	78	1035.9434	4.5415	converged	0.0000	1226.0930	5	corrected	461.8
triple6	hab2hi	4.5	flat	79	997.5784	4.5191	converged	0.0000	1054.3904	6	corrected	539.1
triple6	hab2hi	4.5	flat	80	1080.3673	4.5100	converged	0.0000	1186.3118	6	corrected	538.6
