replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	1.718184	0.417280	1.492271	3.627735
100	1	1.718184	0.490131	2.215134	4.423449
100	2	1.718184	0.449148	1.808485	3.975817
100	3	1.718184	0.516893	2.480685	4.715763
100	4	1.718184	0.417280	1.492271	3.627735
100	5	1.718184	0.461941	1.935420	4.115545
100	6	1.718184	0.433389	1.652118	3.803691
100	7	1.718184	0.446035	1.777591	3.941810
100	8	1.718184	0.470533	2.020682	4.209400
100	9	1.718184	0.440679	1.724451	3.883314
100	10	1.718184	0.491665	2.230359	4.440209
100	11	1.718184	0.380642	1.128730	3.227555
100	12	1.718184	0.427354	1.592234	3.737772
100	13	1.718184	0.366100	0.984438	3.068722
100	14	1.718184	0.516893	2.480685	4.715763
100	15	1.718184	0.438753	1.705341	3.862278
100	16	1.718184	0.469204	2.007487	4.194875
100	17	1.718184	0.366100	0.984438	3.068722
100	18	1.718184	0.468401	1.999519	4.186104
100	19	1.718184	0.456829	1.884700	4.059713
100	20	1.718184	0.446923	1.945298	4.110405
100	21	1.718184	0.410873	1.428706	3.557764
100	22	1.718184	0.468715	2.002638	4.189537
100	23	1.718184	0.478589	2.100618	4.297391
100	24	1.718184	0.416313	1.482677	3.617174
100	25	1.718184	0.425777	1.576586	3.720547
100	26	1.718184	0.522843	2.539728	4.780756
100	27	1.718184	0.400308	1.959439	4.077932
100	28	1.718184	0.522843	2.539728	4.780756
100	29	1.718184	0.421542	1.534568	3.674295
100	30	1.718184	0.494655	2.260031	4.472870
100	31	1.718184	0.420218	1.521432	3.659834
100	32	1.718184	0.432076	1.639083	3.789343
100	33	1.718184	0.379866	1.121038	3.219088
100	34	1.718184	0.380642	1.128730	3.227555
100	35	1.718184	0.423945	1.558411	3.700541
100	36	1.718184	0.459928	1.915454	4.093567
100	37	1.718184	0.490131	2.215134	4.423449
100	38	1.718184	0.436189	1.679895	3.834268
100	39	1.718184	0.494655	2.260031	4.472870
100	40	1.718184	0.503671	2.402454	4.624310
100	41	1.718184	0.453591	1.852574	4.024350
100	42	1.718184	0.456009	1.876560	4.050753
100	43	1.718184	0.405405	1.374445	3.498034
100	44	1.718184	0.417280	1.492271	3.627735
100	45	1.718184	0.461283	1.928892	4.108359
100	46	1.718184	0.376014	1.082817	3.177015
100	47	1.718184	0.493852	2.252059	4.464095
100	48	1.718184	0.433389	1.652118	3.803691
100	49	1.718184	0.476811	2.082967	4.277962
100	50	1.718184	0.478581	2.259422	4.456187
100	51	1.718184	0.438753	1.705341	3.862278
100	52	1.718184	0.458320	1.899499	4.076003
100	53	1.718184	0.421542	1.534568	3.674295
100	54	1.718184	0.473909	2.054175	4.246268
100	55	1.718184	0.395485	1.805653	3.919323
100	56	1.718184	0.416622	1.485747	3.620553
100	57	1.718184	0.449148	1.808485	3.975817
100	58	1.718184	0.462977	1.945707	4.126868
100	59	1.718184	0.425777	1.576586	3.720547
100	60	1.718184	0.463638	1.952258	4.134080
100	61	1.718184	0.487977	2.193762	4.399923
100	62	1.718184	0.494655	2.260031	4.472870
100	63	1.718184	0.496811	2.440310	4.655305
100	64	1.718184	0.429822	1.616721	3.764727
100	65	1.718184	0.458320	1.899499	4.076003
100	66	1.718184	0.458320	1.899499	4.076003
100	67	1.718184	0.463344	1.949340	4.130868
100	68	1.718184	0.427644	1.595107	3.740934
100	69	1.718184	0.462977	1.945707	4.126868
100	70	1.718184	0.469204	2.007487	4.194875
100	71	1.718184	0.470533	2.020682	4.209400
100	72	1.718184	0.456829	1.884700	4.059713
100	73	1.718184	0.497965	2.292869	4.509018
100	74	1.718184	0.365476	0.978252	3.061912
100	75	1.718184	0.433389	1.652118	3.803691
100	76	1.718184	0.473909	2.054175	4.246268
100	77	1.718184	0.463344	1.949340	4.130868
100	78	1.718184	0.468401	1.999519	4.186104
100	79	1.718184	0.456829	1.884700	4.059713
100	80	1.718184	0.380642	1.128730	3.227555
100	81	1.718184	0.494655	2.260031	4.472870
100	82	1.718184	0.468401	1.999519	4.186104
