replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	1.761779	0.425905	1.577860	3.765545
0	1	1.761779	0.431507	1.633438	3.826724
0	2	1.761779	0.471450	2.029778	4.263008
0	3	1.761779	0.412195	1.865526	4.039501
0	4	1.761779	0.471450	2.029778	4.263008
0	5	1.761779	0.484695	2.161202	4.407677
0	6	1.761779	0.431507	1.633438	3.826724
0	7	1.761779	0.471450	2.029778	4.263008
0	8	1.761779	0.461329	1.929351	4.152460
0	9	1.761779	0.494675	2.260229	4.516684
0	10	1.761779	0.384502	1.167037	3.313319
0	11	1.761779	0.461279	1.928856	4.151914
0	12	1.761779	0.535358	2.716865	5.014002
0	13	1.761779	0.482159	2.136040	4.379979
0	14	1.761779	0.431507	1.633438	3.826724
0	15	1.761779	0.443995	1.757355	3.963129
0	16	1.761779	0.384502	1.167037	3.313319
0	17	1.761779	0.423423	1.553229	3.738432
0	18	1.761779	0.415218	1.895521	4.072518
0	19	1.761779	0.533220	2.642690	4.937690
0	20	1.761779	0.423423	1.553229	3.738432
0	21	1.761779	0.447980	1.796899	4.006659
0	22	1.761779	0.455687	1.873365	4.090831
0	23	1.761779	0.551064	2.819743	5.132586
0	24	1.761779	0.491148	2.225229	4.478156
0	25	1.761779	0.503816	2.350927	4.616522
0	26	1.761779	0.472946	2.044621	4.279347
0	27	1.761779	0.459565	1.911847	4.133191
0	28	1.761779	0.447980	1.796899	4.006659
0	29	1.761779	0.484695	2.161202	4.407677
0	30	1.761779	0.486261	2.176735	4.424775
0	31	1.761779	0.511910	2.431237	4.704926
0	32	1.761779	0.383175	1.153868	3.298822
0	33	1.761779	0.482159	2.136040	4.379979
0	34	1.761779	0.512394	2.436043	4.710217
0	35	1.761779	0.434845	1.666563	3.863188
0	36	1.761779	0.443995	1.757355	3.963129
0	37	1.761779	0.482159	2.136040	4.379979
0	38	1.761779	0.492302	2.236679	4.490761
0	39	1.761779	0.452524	1.841983	4.056286
0	40	1.761779	0.490395	2.217761	4.469935
0	41	1.761779	0.445886	1.776116	3.983781
0	42	1.761779	0.476824	2.083101	4.321704
0	43	1.761779	0.443333	1.750782	3.955894
0	44	1.761779	0.456515	1.881583	4.099877
