design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2hi	4.0	long_weighted	50	653.8830	3.9848	converged	636.0907	684.2420	8	corrected	700.9
triple6	hab2hi	4.0	long_weighted	51	949.8373	3.9966	converged	0.0000	1836.4342	4	corrected	393.3
triple6	hab2hi	4.0	long_weighted	52	1178.6065	3.9721	converged	0.0000	2303.8849	4	corrected	393.7
triple6	hab2hi	4.0	long_weighted	53	835.6256	4.0416	converged	813.6156	849.2086	8	corrected	693.1
triple6	hab2hi	4.0	long_weighted	54	946.4278	3.9973	converged	0.0000	1045.1456	6	corrected	546.5
triple6	hab2hi	4.0	long_weighted	55	632.8940	4.0376	converged	0.0000	912.3469	4	corrected	393.9
triple6	hab2hi	4.0	long_weighted	56	1270.6147	4.0091	converged	0.0000	1392.8382	5	corrected	462.0
triple6	hab2hi	4.0	long_weighted	57	1029.7134	4.0126	converged	0.0000	1196.5603	5	corrected	461.1
triple6	hab2hi	4.0	long_weighted	58	970.8164	4.0152	converged	0.0000	1917.6654	4	corrected	374.8
triple6	hab2hi	4.0	long_weighted	59	1147.2218	3.9896	converged	1109.4506	1183.2913	7	corrected	621.2
triple6	hab2hi	4.0	long_weighted	60	1686.3660	3.9868	converged	0.0000	3144.4071	4	corrected	389.1
triple6	hab2hi	4.0	long_weighted	61	685.7411	3.9610	converged	550.9402	1030.3636	5	corrected	456.3
triple6	hab2hi	4.0	long_weighted	62	1267.3707	4.0195	converged	0.0000	1432.6692	5	corrected	456.7
triple6	hab2hi	4.0	long_weighted	63	1118.2673	3.9805	converged	0.0000	2133.2630	4	corrected	375.1
triple6	hab2hi	4.0	long_weighted	64	1540.1893	4.0043	converged	0.0000	2806.7711	4	corrected	373.6
triple6	hab2hi	4.0	long_weighted	65	1059.1999	4.0281	converged	0.0000	1944.3081	4	corrected	386.5
triple6	hab2hi	4.0	long_weighted	66	551.6539	3.9693	converged	0.0000	724.2151	5	corrected	458.0
triple6	hab2hi	4.0	long_weighted	67	1451.9986	3.9503	converged	0.0000	2672.2824	4	corrected	388.8
triple6	hab2hi	4.0	long_weighted	68	1003.0277	3.9994	converged	0.0000	1990.7417	4	corrected	392.8
triple6	hab2hi	4.0	long_weighted	69	1065.9691	3.9896	converged	0.0000	1884.1567	4	corrected	386.8
triple6	hab2hi	4.0	long_weighted	70	1305.4156	3.9995	converged	0.0000	2560.7379	4	corrected	387.1
triple6	hab2hi	4.0	long_weighted	71	917.8427	4.0242	converged	0.0000	1621.1581	4	corrected	389.5
triple6	hab2hi	4.0	long_weighted	72	850.6029	4.0417	converged	0.0000	1753.3440	4	corrected	388.7
triple6	hab2hi	4.0	long_weighted	73	1331.4409	4.0093	converged	0.0000	1548.8632	5	corrected	469.9
triple6	hab2hi	4.0	long_weighted	74	1023.1355	3.9523	converged	0.0000	1137.5785	5	corrected	456.2
triple6	hab2hi	4.0	long_weighted	75	1229.3875	3.9523	converged	1155.0802	1310.8691	6	corrected	553.9
triple6	hab2hi	4.0	long_weighted	76	929.6217	4.0223	converged	775.2387	1602.4645	5	corrected	452.1
triple6	hab2hi	4.0	long_weighted	77	1114.7049	4.0254	converged	0.0000	2486.4003	4	corrected	384.0
triple6	hab2hi	4.0	long_weighted	78	1017.0767	4.0369	converged	0.0000	1769.9738	4	corrected	383.8
triple6	hab2hi	4.0	long_weighted	79	965.7213	4.0124	converged	903.3671	1040.2830	7	corrected	616.3
triple6	hab2hi	4.0	long_weighted	80	1186.2609	3.9763	converged	0.0000	1497.0506	5	corrected	460.7
triple6	hab2hi	4.0	long_weighted	81	1230.9825	4.0458	converged	0.0000	2309.9568	4	corrected	391.5
triple6	hab2hi	4.0	long_weighted	82	624.1907	4.0137	converged	0.0000	1242.6383	4	corrected	386.2
triple6	hab2hi	4.0	long_weighted	83	962.8545	3.9593	converged	0.0000	1856.7185	4	corrected	393.0
triple6	hab2hi	4.0	long_weighted	84	917.1768	4.0122	converged	0.0000	1079.3816	5	corrected	458.6
triple6	hab2hi	4.0	long_weighted	85	1602.8547	4.0255	converged	0.0000	2724.7129	4	corrected	367.3
triple6	hab2hi	4.0	long_weighted	86	1224.7229	4.0438	converged	0.0000	2175.5958	4	corrected	384.9
triple6	hab2hi	4.0	long_weighted	87	1070.4795	4.0510	converged	1063.9496	1070.4795	9	corrected	768.2
triple6	hab2hi	4.0	long_weighted	88	923.8318	3.9709	converged	773.0322	1670.2743	5	corrected	467.8
