replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	1.710989	0.405028	1.370700	3.486716
0	1	1.710989	0.408157	1.401756	3.520903
0	2	1.710989	0.438928	1.707074	3.856991
0	3	1.710989	0.375336	1.552758	3.639082
0	4	1.710989	0.438928	1.707074	3.856991
0	5	1.710989	0.455321	1.869733	4.036042
0	6	1.710989	0.408157	1.401756	3.520903
0	7	1.710989	0.438928	1.707074	3.856991
0	8	1.710989	0.433270	1.650934	3.795193
0	9	1.710989	0.470016	2.015551	4.196556
0	10	1.710989	0.366522	0.988627	3.066137
0	11	1.710989	0.434892	1.667031	3.812912
0	12	1.710989	0.507809	2.390547	4.609344
0	13	1.710989	0.459507	1.911269	4.081764
0	14	1.710989	0.408157	1.401756	3.520903
0	15	1.710989	0.430119	1.619672	3.760780
0	16	1.710989	0.366522	0.988627	3.066137
0	17	1.710989	0.402239	1.343032	3.456260
0	18	1.710989	0.379242	1.591517	3.681748
0	19	1.710989	0.452282	2.051437	4.214708
0	20	1.710989	0.402239	1.343032	3.456260
0	21	1.710989	0.429411	1.612649	3.753049
0	22	1.710989	0.428261	1.601233	3.740483
0	23	1.710989	0.523064	2.541917	4.775969
0	24	1.710989	0.463508	1.950976	4.125473
0	25	1.710989	0.461586	1.931896	4.104471
0	26	1.710989	0.446840	1.785584	3.943413
0	27	1.710989	0.432867	1.646932	3.790788
0	28	1.710989	0.429411	1.612649	3.753049
0	29	1.710989	0.455321	1.869733	4.036042
0	30	1.710989	0.461385	1.929907	4.102281
0	31	1.710989	0.483878	2.153096	4.347964
0	32	1.710989	0.368543	1.008680	3.088211
0	33	1.710989	0.459507	1.911269	4.081764
0	34	1.710989	0.463112	1.947044	4.121145
0	35	1.710989	0.418987	1.509215	3.639192
0	36	1.710989	0.430119	1.619672	3.760780
0	37	1.710989	0.459507	1.911269	4.081764
0	38	1.710989	0.464978	1.965556	4.141522
0	39	1.710989	0.425966	1.578461	3.715416
0	40	1.710989	0.473919	2.054273	4.239181
0	41	1.710989	0.424678	1.565683	3.701350
0	42	1.710989	0.454242	1.859031	4.024262
0	43	1.710989	0.405495	1.375340	3.491824
0	44	1.710989	0.442962	1.747109	3.901060
0	45	1.710989	0.438928	1.707074	3.856991
0	46	1.710989	0.489073	2.310571	4.510633
0	47	1.710989	0.433270	1.650934	3.795193
0	48	1.710989	0.419720	1.516489	3.647198
0	49	1.710989	0.461385	1.929907	4.102281
0	50	1.710989	0.428075	1.599387	3.738450
0	51	1.710989	0.440202	1.719719	3.870909
0	52	1.710989	0.479773	2.112362	4.303124
0	53	1.710989	0.391549	1.236962	3.339500
0	54	1.710989	0.458380	1.900089	4.069457
0	55	1.710989	0.435988	1.995689	4.142666
0	56	1.710989	0.450389	2.032654	4.194032
0	57	1.710989	0.477916	2.093932	4.282836
0	58	1.710989	0.455321	1.869733	4.036042
0	59	1.710989	0.479458	2.162201	4.352648
0	60	1.710989	0.513554	2.447557	4.672101
0	61	1.710989	0.432867	1.646932	3.790788
0	62	1.710989	0.463112	1.947044	4.121145
0	63	1.710989	0.413944	1.459171	3.584104
0	64	1.710989	0.475746	2.072399	4.259133
0	65	1.710989	0.477916	2.093932	4.282836
0	66	1.710989	0.463112	1.947044	4.121145
0	67	1.710989	0.435988	1.995689	4.142666
0	68	1.710989	0.482291	2.137348	4.330628
0	69	1.710989	0.419720	1.516489	3.647198
0	70	1.710989	0.366522	0.988627	3.066137
0	71	1.710989	0.428261	1.601233	3.740483
0	72	1.710989	0.454242	1.859031	4.024262
0	73	1.710989	0.368543	1.008680	3.088211
0	74	1.710989	0.480857	2.123122	4.314968
0	75	1.710989	0.450896	1.825830	3.987715
0	76	1.710989	0.405028	1.370700	3.486716
0	77	1.710989	0.391549	1.236962	3.339500
0	78	1.710989	0.455945	1.875926	4.042860
0	79	1.710989	0.477916	2.093932	4.282836
0	80	1.710989	0.391549	1.236962	3.339500
0	81	1.710989	0.463508	1.950976	4.125473
0	82	1.710989	0.440124	1.718942	3.870054
0	83	1.710989	0.382384	1.146021	3.239394
0	84	1.710989	0.382384	1.146021	3.239394
0	85	1.710989	0.424315	1.879862	4.015166
0	86	1.710989	0.454016	1.856789	4.021794
0	87	1.710989	0.446840	1.785584	3.943413
0	88	1.710989	0.489073	2.310571	4.510633
0	89	1.710989	0.450656	1.823448	3.985093
0	90	1.710989	0.405495	1.375340	3.491824
0	91	1.710989	0.425966	1.578461	3.715416
0	92	1.710989	0.419720	1.516489	3.647198
0	93	1.710989	0.470406	2.019421	4.200817
0	94	1.710989	0.461586	1.931896	4.104471
0	95	1.710989	0.366697	0.990363	3.068049
0	96	1.710989	0.432867	1.646932	3.790788
0	97	1.710989	0.444981	1.767142	3.923112
0	98	1.710989	0.433270	1.650934	3.795193
0	99	1.710989	0.430305	1.621520	3.762814
1	0	1.653012	0.413222	1.452004	3.518238
1	1	1.653012	0.406750	1.387790	3.447552
1	2	1.653012	0.410002	1.420062	3.483076
1	3	1.653012	0.458614	1.902414	4.014041
1	4	1.653012	0.412271	1.442569	3.507852
1	5	1.653012	0.472190	2.037120	4.162322
1	6	1.653012	0.479241	2.107082	4.239335
1	7	1.653012	0.465191	1.967675	4.085878
1	8	1.653012	0.490453	2.271301	4.414767
1	9	1.653012	0.381108	1.133357	3.167477
1	10	1.653012	0.480567	2.120241	4.253821
1	11	1.653012	0.459251	1.961699	4.073963
1	12	1.653012	0.359652	0.920465	2.933129
1	13	1.653012	0.439752	1.715250	3.808014
1	14	1.653012	0.472190	2.037120	4.162322
1	15	1.653012	0.474352	2.164498	4.291862
1	16	1.653012	0.438987	1.707663	3.799662
1	17	1.653012	0.452428	1.841029	3.946469
1	18	1.653012	0.469182	2.007273	4.129467
1	19	1.653012	0.453923	1.855862	3.962797
1	20	1.653012	0.501307	2.326032	4.480351
1	21	1.653012	0.457152	1.887905	3.998069
1	22	1.653012	0.402778	1.348378	3.404168
1	23	1.653012	0.469222	2.007670	4.129904
1	24	1.653012	0.410002	1.420062	3.483076
1	25	1.653012	0.426671	1.903243	3.982926
1	26	1.653012	0.426671	1.903243	3.982926
1	27	1.653012	0.455967	1.876148	3.985127
1	28	1.653012	0.406750	1.387790	3.447552
1	29	1.653012	0.407410	1.394342	3.454765
1	30	1.653012	0.389957	1.221162	3.264132
1	31	1.653012	0.467460	1.990185	4.110657
1	32	1.653012	0.485577	2.169955	4.308545
1	33	1.653012	0.438987	1.707663	3.799662
1	34	1.653012	0.463987	1.955722	4.072721
1	35	1.653012	0.432766	1.645930	3.731708
1	36	1.653012	0.436887	1.686829	3.776729
1	37	1.653012	0.463138	1.947300	4.063450
1	38	1.653012	0.405585	1.376232	3.434829
1	39	1.653012	0.442775	1.745245	3.841031
1	40	1.653012	0.433313	1.651357	3.737682
1	41	1.653012	0.365203	0.975540	2.993755
1	42	1.653012	0.436887	1.686829	3.776729
1	43	1.653012	0.393580	1.627853	3.674445
1	44	1.653012	0.438987	1.707663	3.799662
1	45	1.653012	0.442697	1.744479	3.840189
1	46	1.653012	0.418033	1.499750	3.570796
1	47	1.653012	0.471189	2.080148	4.204349
1	48	1.653012	0.418033	1.499750	3.570796
1	49	1.653012	0.403925	1.359763	3.416700
1	50	1.653012	0.484662	2.160874	4.298549
1	51	1.653012	0.402223	1.342874	3.398109
1	52	1.653012	0.385552	1.177451	3.216015
1	53	1.653012	0.413222	1.452004	3.518238
1	54	1.653012	0.492905	2.242662	4.388580
1	55	1.653012	0.411293	1.432867	3.497172
1	56	1.653012	0.472190	2.037120	4.162322
1	57	1.653012	0.405585	1.376232	3.434829
1	58	1.653012	0.412079	1.440671	3.505762
