replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	1.748785	0.421071	1.529887	3.699743
100	1	1.748785	0.496037	2.273742	4.518565
100	2	1.748785	0.455204	1.868577	4.072567
100	3	1.748785	0.513630	2.448311	4.710727
100	4	1.748785	0.421071	1.529887	3.699743
100	5	1.748785	0.472733	2.042506	4.264025
100	6	1.748785	0.439571	1.713461	3.901818
100	7	1.748785	0.455811	1.874602	4.079198
100	8	1.748785	0.478825	2.102952	4.330562
100	9	1.748785	0.446597	1.783174	3.978557
100	10	1.748785	0.496996	2.283254	4.529035
100	11	1.748785	0.384644	1.168448	3.301878
100	12	1.748785	0.435696	1.675007	3.859488
100	13	1.748785	0.369596	1.019126	3.137507
100	14	1.748785	0.513630	2.448311	4.710727
100	15	1.748785	0.449741	1.814368	4.012895
100	16	1.748785	0.476063	2.075552	4.300400
100	17	1.748785	0.369596	1.019126	3.137507
100	18	1.748785	0.468354	1.999060	4.216200
100	19	1.748785	0.463764	1.953507	4.166056
100	20	1.748785	0.501468	2.327627	4.577881
100	21	1.748785	0.413774	1.457486	3.620045
100	22	1.748785	0.466243	1.978115	4.193144
100	23	1.748785	0.492039	2.234072	4.474896
100	24	1.748785	0.417930	1.498729	3.665444
100	25	1.748785	0.430724	1.625668	3.805177
100	26	1.748785	0.501712	2.383018	4.633516
100	27	1.748785	0.361107	1.676388	3.786281
100	28	1.748785	0.501712	2.383018	4.633516
100	29	1.748785	0.423599	1.554980	3.727365
100	30	1.748785	0.498018	2.293393	4.540196
100	31	1.748785	0.424087	1.559821	3.732694
100	32	1.748785	0.438710	1.704916	3.892411
100	33	1.748785	0.385887	1.180775	3.315447
100	34	1.748785	0.384644	1.168448	3.301878
100	35	1.748785	0.429428	1.612818	3.791031
100	36	1.748785	0.480844	2.122984	4.352613
100	37	1.748785	0.496037	2.273742	4.518565
100	38	1.748785	0.447856	1.795665	3.992307
100	39	1.748785	0.498018	2.293393	4.540196
100	40	1.748785	0.498488	2.403993	4.651267
100	41	1.748785	0.465618	1.971904	4.186307
100	42	1.748785	0.470158	2.016961	4.235904
100	43	1.748785	0.409803	1.418080	3.576668
100	44	1.748785	0.421071	1.529887	3.699743
100	45	1.748785	0.465857	1.974275	4.188917
100	46	1.748785	0.377088	1.093468	3.219342
100	47	1.748785	0.492403	2.237680	4.478868
100	48	1.748785	0.439571	1.713461	3.901818
100	49	1.748785	0.473092	2.046065	4.267942
100	50	1.748785	0.519818	2.509712	4.778316
100	51	1.748785	0.449741	1.814368	4.012895
100	52	1.748785	0.462921	1.945147	4.156853
100	53	1.748785	0.423599	1.554980	3.727365
100	54	1.748785	0.475329	2.068267	4.292382
100	55	1.748785	0.441136	2.152697	4.342618
100	56	1.748785	0.419119	1.510522	3.678427
100	57	1.748785	0.455204	1.868577	4.072567
100	58	1.748785	0.466965	1.985278	4.201029
100	59	1.748785	0.430724	1.625668	3.805177
100	60	1.748785	0.468512	2.000623	4.217920
100	61	1.748785	0.494204	2.255555	4.498544
100	62	1.748785	0.498018	2.293393	4.540196
100	63	1.748785	0.441252	1.994958	4.184996
100	64	1.748785	0.437528	1.693189	3.879503
100	65	1.748785	0.462921	1.945147	4.156853
100	66	1.748785	0.462921	1.945147	4.156853
100	67	1.748785	0.468283	1.998354	4.215422
100	68	1.748785	0.430504	1.623486	3.802775
100	69	1.748785	0.466965	1.985278	4.201029
100	70	1.748785	0.476063	2.075552	4.300400
100	71	1.748785	0.478825	2.102952	4.330562
100	72	1.748785	0.463764	1.953507	4.166056
100	73	1.748785	0.497201	2.285290	4.531276
100	74	1.748785	0.367383	0.997174	3.113343
100	75	1.748785	0.439571	1.713461	3.901818
100	76	1.748785	0.475329	2.068267	4.292382
100	77	1.748785	0.468283	1.998354	4.215422
100	78	1.748785	0.468354	1.999060	4.216200
100	79	1.748785	0.463764	1.953507	4.166056
100	80	1.748785	0.384644	1.168448	3.301878
100	81	1.748785	0.498018	2.293393	4.540196
100	82	1.748785	0.468354	1.999060	4.216200
100	83	1.748785	0.465857	1.974275	4.188917
100	84	1.748785	0.430504	1.623486	3.802775
100	85	1.748785	0.413774	1.457486	3.620045
100	86	1.748785	0.446403	1.781249	3.976438
100	87	1.748785	0.499109	2.516081	4.763976
100	88	1.748785	0.384644	1.168448	3.301878
100	89	1.748785	0.499109	2.516081	4.763976
100	90	1.748785	0.400233	1.323130	3.472148
100	91	1.748785	0.395564	1.753469	3.897818
100	92	1.748785	0.430504	1.623486	3.802775
100	93	1.748785	0.423599	1.554980	3.727365
100	94	1.748785	0.499109	2.516081	4.763976
100	95	1.748785	0.424846	1.567344	3.740975
100	96	1.748785	0.369596	1.019126	3.137507
100	97	1.748785	0.409803	1.418080	3.576668
100	98	1.748785	0.468512	2.000623	4.217920
100	99	1.748785	0.427318	1.591881	3.767984
101	0	1.686153	0.416929	1.488790	3.591872
101	1	1.686153	0.437300	1.690926	3.814380
101	2	1.686153	0.462669	1.942648	4.091470
101	3	1.686153	0.524121	2.605367	4.815641
101	4	1.686153	0.540778	2.717683	4.944613
101	5	1.686153	0.481675	2.290125	4.457953
101	6	1.686153	0.490574	2.219539	4.396266
101	7	1.686153	0.420928	1.528474	3.635555
101	8	1.686153	0.455130	1.867837	4.009119
101	9	1.686153	0.458736	1.903623	4.048512
101	10	1.686153	0.453646	1.853112	3.992911
101	11	1.686153	0.437300	1.690926	3.814380
101	12	1.686153	0.496673	2.280053	4.462880
101	13	1.686153	0.426685	1.585600	3.698438
101	14	1.686153	0.453646	1.853112	3.992911
101	15	1.686153	0.437300	1.690926	3.814380
101	16	1.686153	0.429028	1.608843	3.724024
101	17	1.686153	0.426744	1.586183	3.699080
101	18	1.686153	0.427007	1.588788	3.701948
101	19	1.686153	0.490574	2.219539	4.396266
101	20	1.686153	0.421676	1.535896	3.643725
101	21	1.686153	0.444599	1.763344	3.894096
101	22	1.686153	0.427007	1.588788	3.701948
101	23	1.686153	0.455130	1.867837	4.009119
101	24	1.686153	0.405261	1.373015	3.464429
101	25	1.686153	0.458736	1.903623	4.048512
101	26	1.686153	0.437241	1.690337	3.813731
101	27	1.686153	0.439142	1.709199	3.834494
101	28	1.686153	0.429028	1.608843	3.724024
101	29	1.686153	0.463387	2.267550	4.417090
101	30	1.686153	0.450344	1.820353	3.956850
101	31	1.686153	0.474123	2.056296	4.216572
101	32	1.686153	0.490758	2.221365	4.398276
101	33	1.686153	0.474447	2.059515	4.220115
101	34	1.686153	0.437073	1.688672	3.811898
101	35	1.686153	0.454488	1.861467	4.002108
101	36	1.686153	0.445551	2.196506	4.328210
