design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2hi	4.75	long_weighted	0	3234.6512	4.7401	converged	0.0000	3460.0643	5	corrected	475.0
triple6	hab2hi	4.75	long_weighted	1	3121.5129	4.7264	converged	0.0000	3577.6335	5	corrected	464.7
triple6	hab2hi	4.75	long_weighted	2	3575.9248	4.7749	converged	0.0000	5656.5518	4	corrected	393.9
triple6	hab2hi	4.75	long_weighted	3	2613.8141	4.7153	converged	0.0000	2937.3144	5	corrected	465.3
triple6	hab2hi	4.75	long_weighted	4	2956.3939	4.7032	converged	0.0000	3268.3992	5	corrected	460.6
triple6	hab2hi	4.75	long_weighted	5	3000.8231	4.7401	converged	0.0000	3454.9706	5	corrected	458.4
triple6	hab2hi	4.75	long_weighted	6	2898.8121	4.7624	converged	0.0000	3333.7497	5	corrected	476.9
triple6	hab2hi	4.75	long_weighted	7	3189.8857	4.7503	converged	0.0000	3351.2450	5	corrected	484.1
triple6	hab2hi	4.75	long_weighted	8	3104.3778	4.7813	converged	0.0000	3395.2969	5	corrected	467.7
triple6	hab2hi	4.75	long_weighted	9	3057.5006	4.7948	converged	0.0000	3293.6417	5	corrected	461.2
triple6	hab2hi	4.75	long_weighted	10	2997.4689	4.7994	converged	0.0000	3185.6788	5	corrected	462.4
triple6	hab2hi	4.75	long_weighted	11	3116.6687	4.7759	converged	0.0000	3392.1710	5	corrected	458.2
triple6	hab2hi	4.75	long_weighted	12	3612.6604	4.7131	converged	0.0000	5497.3932	4	corrected	376.6
triple6	hab2hi	4.75	long_weighted	13	2867.2671	4.7296	converged	0.0000	3400.0523	5	corrected	465.5
triple6	hab2hi	4.75	long_weighted	14	3323.4071	4.7467	converged	0.0000	3608.6871	5	corrected	469.0
triple6	hab2hi	4.75	long_weighted	15	2571.1044	4.7853	converged	0.0000	2882.9148	5	corrected	464.3
triple6	hab2hi	4.75	long_weighted	16	3119.0550	4.7337	converged	0.0000	3504.7903	5	corrected	476.5
triple6	hab2hi	4.75	long_weighted	17	3055.7907	4.7402	converged	0.0000	3637.9076	5	corrected	465.9
triple6	hab2hi	4.75	long_weighted	18	3095.9335	4.7661	converged	0.0000	3457.3540	5	corrected	463.9
triple6	hab2hi	4.75	long_weighted	19	2790.2036	4.7910	converged	0.0000	3297.3841	5	corrected	466.2
triple6	hab2hi	4.75	long_weighted	20	3209.2911	4.7678	converged	0.0000	3351.4857	5	corrected	455.2
triple6	hab2hi	4.75	long_weighted	21	2765.6584	4.7526	converged	2660.8905	2980.3924	6	corrected	534.6
triple6	hab2hi	4.75	long_weighted	22	3056.6845	4.7613	converged	0.0000	4926.4287	4	corrected	386.9
triple6	hab2hi	4.75	long_weighted	23	2633.9868	4.7445	converged	0.0000	3087.6464	5	corrected	465.8
triple6	hab2hi	4.75	long_weighted	24	2776.5224	4.7393	converged	0.0000	3063.1487	5	corrected	458.0
triple6	hab2hi	4.75	long_weighted	25	2481.1472	4.7636	converged	0.0000	2592.5615	6	corrected	522.8
triple6	hab2hi	4.75	long_weighted	26	2214.3403	4.7576	converged	0.0000	2435.9278	6	corrected	539.8
triple6	hab2hi	4.75	long_weighted	27	2854.4269	4.7928	converged	0.0000	3216.0309	5	corrected	472.3
triple6	hab2hi	4.75	long_weighted	28	3022.7057	4.7795	converged	0.0000	3587.6398	5	corrected	476.9
triple6	hab2hi	4.75	long_weighted	29	2834.5255	4.7337	converged	0.0000	2949.4861	6	corrected	545.6
triple6	hab2hi	4.75	long_weighted	30	2383.7805	4.7927	converged	0.0000	2697.2712	7	corrected	613.6
triple6	hab2hi	4.75	long_weighted	31	3116.9824	4.7473	converged	0.0000	3274.6526	5	corrected	457.9
triple6	hab2hi	4.75	long_weighted	32	2608.7300	4.7795	converged	0.0000	2897.0042	6	corrected	547.9
triple6	hab2hi	4.75	long_weighted	33	3193.0570	4.7759	converged	0.0000	3492.0879	5	corrected	458.8
triple6	hab2hi	4.75	long_weighted	34	3018.2830	4.7309	converged	2952.6659	3108.8068	6	corrected	530.9
triple6	hab2hi	4.75	long_weighted	35	2425.1565	4.7475	converged	0.0000	2553.0285	6	corrected	548.7
triple6	hab2hi	4.75	long_weighted	36	3002.7527	4.7630	converged	0.0000	3481.4798	5	corrected	472.7
triple6	hab2hi	4.75	long_weighted	37	2878.0440	4.7833	converged	0.0000	3065.3723	6	corrected	545.8
triple6	hab2hi	4.75	long_weighted	38	2794.6526	4.7639	converged	0.0000	2915.0176	7	corrected	635.6
triple6	hab2hi	4.75	long_weighted	39	2859.4840	4.7934	converged	2841.4545	2877.5324	8	corrected	705.4
triple6	hab2hi	4.75	long_weighted	40	3310.7329	4.7338	converged	0.0000	3420.3388	6	corrected	553.6
triple6	hab2hi	4.75	long_weighted	41	2911.8594	4.7279	converged	0.0000	3325.6226	5	corrected	463.1
triple6	hab2hi	4.75	long_weighted	42	2721.2956	4.7609	converged	0.0000	3188.5215	5	corrected	465.7
triple6	hab2hi	4.75	long_weighted	43	3676.2862	4.7497	converged	0.0000	4165.5309	5	corrected	451.8
triple6	hab2hi	4.75	long_weighted	44	3247.2879	4.7858	converged	0.0000	3743.2009	5	corrected	449.7
triple6	hab2hi	4.75	long_weighted	45	3047.5151	4.7550	converged	0.0000	3179.0674	7	corrected	614.1
triple6	hab2hi	4.75	long_weighted	46	2423.7731	4.7340	converged	0.0000	2523.4446	6	corrected	538.1
triple6	hab2hi	4.75	long_weighted	47	2768.1888	4.7025	converged	0.0000	2973.2461	6	corrected	530.1
triple6	hab2hi	4.75	long_weighted	48	2765.2266	4.7819	converged	0.0000	3318.0181	5	corrected	454.8
triple6	hab2hi	4.75	long_weighted	49	3002.5314	4.7284	converged	2922.4176	3096.7591	7	corrected	615.9
