design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2hi	4.0	short_weighted	0	772.3558	4.0107	converged	0.0000	1085.7720	5	corrected	459.8
triple6	hab2hi	4.0	short_weighted	1	817.9749	4.0217	converged	0.0000	962.2327	5	corrected	448.4
triple6	hab2hi	4.0	short_weighted	2	906.1859	4.0344	converged	0.0000	1264.9353	5	corrected	441.2
triple6	hab2hi	4.0	short_weighted	3	303.1719	3.9834	converged	0.0000	388.0628	6	corrected	546.3
triple6	hab2hi	4.0	short_weighted	4	747.0670	4.0155	converged	0.0000	950.5145	5	corrected	452.5
triple6	hab2hi	4.0	short_weighted	5	636.7472	4.0118	converged	0.0000	721.6836	6	corrected	519.0
triple6	hab2hi	4.0	short_weighted	6	633.9439	4.0240	converged	0.0000	730.2206	6	corrected	533.7
triple6	hab2hi	4.0	short_weighted	7	872.5961	4.0026	converged	0.0000	1164.2372	5	corrected	459.7
triple6	hab2hi	4.0	short_weighted	8	742.4761	3.9826	converged	0.0000	903.6988	5	corrected	449.7
triple6	hab2hi	4.0	short_weighted	9	794.4573	4.0086	converged	0.0000	954.0535	5	corrected	466.5
triple6	hab2hi	4.0	short_weighted	10	726.1673	4.0370	converged	0.0000	819.4899	5	corrected	458.5
triple6	hab2hi	4.0	short_weighted	11	684.1745	3.9705	converged	0.0000	776.2160	6	corrected	532.4
triple6	hab2hi	4.0	short_weighted	12	1076.1746	3.9582	converged	0.0000	1190.9565	5	corrected	444.9
triple6	hab2hi	4.0	short_weighted	13	777.0672	4.0324	converged	0.0000	1015.0496	5	corrected	464.1
triple6	hab2hi	4.0	short_weighted	14	989.8411	4.0217	converged	0.0000	1216.4854	5	corrected	448.5
triple6	hab2hi	4.0	short_weighted	15	577.9815	4.0365	converged	0.0000	1680.8975	4	corrected	382.6
triple6	hab2hi	4.0	short_weighted	16	758.8260	4.0124	converged	0.0000	858.0762	6	corrected	540.8
triple6	hab2hi	4.0	short_weighted	17	871.3076	4.0425	converged	0.0000	1133.1987	5	corrected	464.7
triple6	hab2hi	4.0	short_weighted	18	848.1988	3.9877	converged	0.0000	1207.1519	5	corrected	454.2
triple6	hab2hi	4.0	short_weighted	19	588.2942	4.0303	converged	0.0000	673.3752	7	corrected	608.8
triple6	hab2hi	4.0	short_weighted	20	855.9855	3.9927	converged	0.0000	1165.2836	5	corrected	450.3
triple6	hab2hi	4.0	short_weighted	21	648.8716	3.9791	converged	0.0000	786.2818	6	corrected	529.7
triple6	hab2hi	4.0	short_weighted	22	636.3410	4.0058	converged	0.0000	784.2501	5	corrected	460.5
triple6	hab2hi	4.0	short_weighted	23	636.1223	4.0032	converged	0.0000	718.7481	5	corrected	453.4
triple6	hab2hi	4.0	short_weighted	24	540.0354	4.0181	converged	0.0000	798.0207	5	corrected	454.3
triple6	hab2hi	4.0	short_weighted	25	680.0255	4.0335	converged	0.0000	1855.4431	4	corrected	375.4
triple6	hab2hi	4.0	short_weighted	26	416.1121	4.0461	converged	0.0000	531.9149	6	corrected	536.2
triple6	hab2hi	4.0	short_weighted	27	873.3819	4.0416	converged	0.0000	2310.3580	4	corrected	388.6
triple6	hab2hi	4.0	short_weighted	28	895.8348	3.9746	converged	0.0000	1149.9385	5	corrected	444.1
triple6	hab2hi	4.0	short_weighted	29	582.5041	3.9828	converged	0.0000	680.0722	6	corrected	542.1
triple6	hab2hi	4.0	short_weighted	30	462.8623	4.0353	converged	0.0000	707.4901	5	corrected	465.8
triple6	hab2hi	4.0	short_weighted	31	778.4786	4.0075	converged	0.0000	935.3142	5	corrected	463.0
triple6	hab2hi	4.0	short_weighted	32	719.8513	4.0085	converged	0.0000	982.1878	5	corrected	457.3
triple6	hab2hi	4.0	short_weighted	33	787.1781	3.9989	converged	0.0000	1073.6727	5	corrected	463.6
triple6	hab2hi	4.0	short_weighted	34	744.6022	4.0368	converged	0.0000	1036.6418	5	corrected	472.1
triple6	hab2hi	4.0	short_weighted	35	754.2522	4.0053	converged	0.0000	2171.6630	4	corrected	397.4
triple6	hab2hi	4.0	short_weighted	36	787.6667	3.9706	converged	0.0000	1194.4210	5	corrected	480.1
triple6	hab2hi	4.0	short_weighted	37	847.3925	4.0373	converged	740.1072	1125.5056	6	corrected	540.4
triple6	hab2hi	4.0	short_weighted	38	643.4693	4.0357	converged	0.0000	806.2709	6	corrected	550.8
triple6	hab2hi	4.0	short_weighted	39	683.4245	3.9964	converged	0.0000	764.7060	7	corrected	603.2
triple6	hab2hi	4.0	short_weighted	40	912.5118	4.0040	converged	0.0000	994.4565	6	corrected	538.5
triple6	hab2hi	4.0	short_weighted	41	759.9282	4.0178	converged	0.0000	1854.4404	4	corrected	384.5
triple6	hab2hi	4.0	short_weighted	42	464.5731	3.9897	converged	445.8661	521.9664	8	corrected	690.5
triple6	hab2hi	4.0	short_weighted	43	1037.2277	4.0344	converged	0.0000	1159.2193	6	corrected	532.5
triple6	hab2hi	4.0	short_weighted	44	969.2407	3.9613	converged	0.0000	1055.4633	6	corrected	532.5
triple6	hab2hi	4.0	short_weighted	45	906.3809	4.0259	converged	0.0000	1237.9085	5	corrected	463.8
triple6	hab2hi	4.0	short_weighted	46	457.8615	4.0422	converged	0.0000	620.4369	5	corrected	444.1
triple6	hab2hi	4.0	short_weighted	47	1014.1538	4.0224	converged	0.0000	1378.2852	5	corrected	446.9
triple6	hab2hi	4.0	short_weighted	48	524.0159	3.9903	converged	0.0000	760.4298	5	corrected	459.3
triple6	hab2hi	4.0	short_weighted	49	741.3156	4.0240	converged	0.0000	1031.7741	5	corrected	455.3
