design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2hi	4.0	short_weighted	50	640.9823	3.9909	converged	533.4762	1645.2926	5	corrected	478.4
triple6	hab2hi	4.0	short_weighted	51	653.0924	4.0091	converged	0.0000	812.6715	5	corrected	459.6
triple6	hab2hi	4.0	short_weighted	52	806.1975	4.0254	converged	0.0000	1090.4744	5	corrected	472.5
triple6	hab2hi	4.0	short_weighted	53	597.0099	3.9698	converged	0.0000	682.6117	5	corrected	470.6
triple6	hab2hi	4.0	short_weighted	54	682.1513	4.0200	converged	0.0000	794.9674	6	corrected	550.3
triple6	hab2hi	4.0	short_weighted	55	343.5807	4.0164	converged	0.0000	1042.0852	4	corrected	379.0
triple6	hab2hi	4.0	short_weighted	56	933.7404	4.0028	converged	867.6621	1230.3091	6	corrected	539.9
triple6	hab2hi	4.0	short_weighted	57	707.3213	4.0125	converged	0.0000	833.2070	6	corrected	540.8
triple6	hab2hi	4.0	short_weighted	58	702.4958	4.0392	converged	0.0000	888.5302	5	corrected	472.0
triple6	hab2hi	4.0	short_weighted	59	881.6585	4.0243	converged	0.0000	1059.1043	6	corrected	547.0
triple6	hab2hi	4.0	short_weighted	60	1294.4288	4.0428	converged	0.0000	1770.0454	5	corrected	453.7
triple6	hab2hi	4.0	short_weighted	61	540.6392	4.0488	converged	0.0000	1196.9727	4	corrected	386.4
triple6	hab2hi	4.0	short_weighted	62	841.7673	4.0354	converged	0.0000	994.1151	5	corrected	462.9
triple6	hab2hi	4.0	short_weighted	63	668.2285	4.0141	converged	0.0000	800.4462	6	corrected	534.3
triple6	hab2hi	4.0	short_weighted	64	861.2418	3.9769	converged	0.0000	957.5377	6	corrected	539.2
triple6	hab2hi	4.0	short_weighted	65	942.5145	4.0379	converged	0.0000	2246.1928	4	corrected	396.1
triple6	hab2hi	4.0	short_weighted	66	517.2547	4.0068	converged	0.0000	690.6307	5	corrected	468.6
triple6	hab2hi	4.0	short_weighted	67	944.1117	4.0192	converged	0.0000	1317.4994	5	corrected	474.3
triple6	hab2hi	4.0	short_weighted	68	633.5110	3.9923	converged	0.0000	729.6578	6	corrected	539.3
triple6	hab2hi	4.0	short_weighted	69	718.7384	3.9992	converged	0.0000	884.3093	5	corrected	458.0
triple6	hab2hi	4.0	short_weighted	70	868.6000	4.0169	converged	0.0000	950.0773	6	corrected	529.8
triple6	hab2hi	4.0	short_weighted	71	440.1476	3.9959	converged	0.0000	644.5537	5	corrected	462.9
triple6	hab2hi	4.0	short_weighted	72	450.0649	3.9837	converged	0.0000	600.3537	6	corrected	542.8
triple6	hab2hi	4.0	short_weighted	73	1054.6104	4.0115	converged	0.0000	1169.3376	6	corrected	544.5
triple6	hab2hi	4.0	short_weighted	74	770.6704	4.0327	converged	0.0000	987.7016	5	corrected	458.1
triple6	hab2hi	4.0	short_weighted	75	928.1314	3.9819	converged	0.0000	1221.2596	5	corrected	470.7
triple6	hab2hi	4.0	short_weighted	76	422.5571	4.0184	converged	0.0000	670.6272	5	corrected	452.1
triple6	hab2hi	4.0	short_weighted	77	676.8442	4.0124	converged	0.0000	738.9174	7	corrected	606.6
triple6	hab2hi	4.0	short_weighted	78	712.9131	3.9941	converged	0.0000	808.6808	5	corrected	461.2
triple6	hab2hi	4.0	short_weighted	79	770.2248	4.0245	converged	0.0000	1112.6303	5	corrected	463.7
triple6	hab2hi	4.0	short_weighted	80	876.5286	4.0061	converged	0.0000	1001.3668	6	corrected	529.2
triple6	hab2hi	4.0	short_weighted	81	903.1688	4.0314	converged	0.0000	1130.5383	5	corrected	465.9
triple6	hab2hi	4.0	short_weighted	82	394.1282	4.0309	converged	363.1622	417.4132	7	corrected	622.5
triple6	hab2hi	4.0	short_weighted	83	604.3615	3.9823	converged	0.0000	818.0789	5	corrected	466.7
triple6	hab2hi	4.0	short_weighted	84	695.0399	4.0071	converged	0.0000	779.1641	5	corrected	465.6
triple6	hab2hi	4.0	short_weighted	85	1018.4517	3.9833	converged	0.0000	1367.3432	5	corrected	470.5
triple6	hab2hi	4.0	short_weighted	86	797.8842	4.0100	converged	0.0000	1097.4190	5	corrected	462.0
triple6	hab2hi	4.0	short_weighted	87	452.3020	3.9753	converged	427.1333	471.5005	10	corrected	863.0
triple6	hab2hi	4.0	short_weighted	88	641.9359	4.0092	converged	0.0000	820.2314	5	corrected	464.8
triple6	hab2hi	4.0	short_weighted	89	969.5638	4.0340	converged	0.0000	1207.8875	5	corrected	465.0
triple6	hab2hi	4.0	short_weighted	90	748.8918	4.0262	converged	0.0000	884.5845	6	corrected	542.1
triple6	hab2hi	4.0	short_weighted	91	1312.7708	4.0109	converged	0.0000	1686.8235	5	corrected	460.8
triple6	hab2hi	4.0	short_weighted	92	835.3728	4.0448	converged	0.0000	913.6600	7	corrected	612.9
triple6	hab2hi	4.0	short_weighted	93	567.4723	4.0390	converged	518.7318	648.2750	9	corrected	782.0
triple6	hab2hi	4.0	short_weighted	94	727.3822	4.0210	converged	0.0000	828.4731	6	corrected	543.1
triple6	hab2hi	4.0	short_weighted	95	767.7819	4.0365	converged	0.0000	896.1064	5	corrected	452.3
triple6	hab2hi	4.0	short_weighted	96	570.8606	4.0424	converged	0.0000	709.7696	5	corrected	459.7
triple6	hab2hi	4.0	short_weighted	97	266.9890	3.9788	converged	0.0000	939.3994	4	corrected	386.0
triple6	hab2hi	4.0	short_weighted	98	669.2410	4.0210	converged	0.0000	746.2093	6	corrected	543.9
triple6	hab2hi	4.0	short_weighted	99	441.5213	3.9666	converged	406.0010	496.2058	9	corrected	764.9
