replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
50	0	1.632497	0.435188	1.669971	3.737657
50	1	1.632497	0.351395	0.838530	2.822422
50	2	1.632497	0.468126	1.996792	4.097415
50	3	1.632497	0.370277	1.025886	3.028660
50	4	1.632497	0.434446	1.662609	3.729552
50	5	1.632497	0.390397	1.225529	3.248423
50	6	1.632497	0.434365	1.661800	3.728662
50	7	1.632497	0.367428	0.997622	2.997547
50	8	1.632497	0.412480	1.444650	3.489628
50	9	1.632497	0.430057	1.619051	3.681605
50	10	1.632497	0.395312	1.274299	3.302108
50	11	1.632497	0.429194	1.769387	3.831078
50	12	1.632497	0.425514	1.573978	3.631989
50	13	1.632497	0.424443	1.563354	3.620294
50	14	1.632497	0.434486	1.663000	3.729983
50	15	1.632497	0.443142	1.748888	3.824527
50	16	1.632497	0.425514	1.573978	3.631989
50	17	1.632497	0.432991	1.648171	3.713660
50	18	1.632497	0.424213	1.561064	3.617774
50	19	1.632497	0.383623	1.158314	3.174434
50	20	1.632497	0.420861	1.527803	3.581160
50	21	1.632497	0.470663	2.021963	4.125122
50	22	1.632497	0.442579	1.743306	3.818382
50	23	1.632497	0.389346	1.215100	3.236943
50	24	1.632497	0.351395	0.838530	2.822422
50	25	1.632497	0.444531	1.974526	4.051554
50	26	1.632497	0.420552	1.524746	3.577795
50	27	1.632497	0.386944	1.191269	3.210710
50	28	1.632497	0.488363	2.197599	4.318459
50	29	1.632497	0.465564	2.130266	4.228327
50	30	1.632497	0.410473	1.848445	3.891415
50	31	1.632497	0.426872	1.905231	3.964600
50	32	1.632497	0.498779	2.353917	4.485193
50	33	1.632497	0.386944	1.191269	3.210710
50	34	1.632497	0.436964	1.687590	3.757051
50	35	1.632497	0.432991	1.648171	3.713660
50	36	1.632497	0.389845	1.220056	3.242398
50	37	1.632497	0.439242	1.710188	3.781926
50	38	1.632497	0.393277	1.254107	3.279881
50	39	1.632497	0.410473	1.848445	3.891415
50	40	1.632497	0.356112	0.885333	2.873941
50	41	1.632497	0.442579	1.743306	3.818382
50	42	1.632497	0.409457	1.414652	3.456606
50	43	1.632497	0.393277	1.254107	3.279881
50	44	1.632497	0.475519	2.070152	4.178168
50	45	1.632497	0.393277	1.254107	3.279881
50	46	1.632497	0.457757	1.893904	3.984158
50	47	1.632497	0.434486	1.663000	3.729983
50	48	1.632497	0.420552	1.524746	3.577795
50	49	1.632497	0.435188	1.669971	3.737657
50	50	1.632497	0.407423	1.394473	3.434393
50	51	1.632497	0.407241	1.392658	3.432395
50	52	1.632497	0.396217	1.283275	3.311988
50	53	1.632497	0.429194	1.769387	3.831078
50	54	1.632497	0.425514	1.573978	3.631989
50	55	1.632497	0.452001	1.836793	3.921291
50	56	1.632497	0.475519	2.070152	4.178168
50	57	1.632497	0.434215	1.660309	3.727020
50	58	1.632497	0.440848	1.885019	3.958364
50	59	1.632497	0.389346	1.215100	3.236943
50	60	1.632497	0.425954	1.578343	3.636794
50	61	1.632497	0.393277	1.254107	3.279881
50	62	1.632497	0.434446	1.662609	3.729552
50	63	1.632497	0.393138	1.252728	3.278363
50	64	1.632497	0.434486	1.663000	3.729983
50	65	1.632497	0.407053	1.390793	3.430343
50	66	1.632497	0.363303	0.956690	2.952490
50	67	1.632497	0.393138	1.252728	3.278363
50	68	1.632497	0.443142	1.748888	3.824527
50	69	1.632497	0.412480	1.444650	3.489628
50	70	1.632497	0.410115	1.421175	3.463787
50	71	1.632497	0.439242	1.710188	3.781926
50	72	1.632497	0.389845	1.220056	3.242398
50	73	1.632497	0.470304	2.018407	4.121208
50	74	1.632497	0.420092	1.520178	3.572767
50	75	1.632497	0.420861	1.527803	3.581160
50	76	1.632497	0.407053	1.390793	3.430343
50	77	1.632497	0.431350	1.631887	3.695734
50	78	1.632497	0.412811	1.447927	3.493234
50	79	1.632497	0.389845	1.220056	3.242398
50	80	1.632497	0.407241	1.392658	3.432395
50	81	1.632497	0.457757	1.893904	3.984158
50	82	1.632497	0.397371	1.718438	3.748306
50	83	1.632497	0.439744	1.715174	3.787414
50	84	1.632497	0.425514	1.573978	3.631989
50	85	1.632497	0.410991	1.429869	3.473357
50	86	1.632497	0.425626	1.575088	3.633211
50	87	1.632497	0.407423	1.394473	3.434393
50	88	1.632497	0.465860	1.974307	4.072663
50	89	1.632497	0.452001	1.836793	3.921291
50	90	1.632497	0.450776	1.824636	3.907908
50	91	1.632497	0.445434	1.771631	3.849562
50	92	1.632497	0.425514	1.573978	3.631989
50	93	1.632497	0.425626	1.575088	3.633211
50	94	1.632497	0.420552	1.524746	3.577795
50	95	1.632497	0.452001	1.836793	3.921291
50	96	1.632497	0.402578	1.346396	3.381472
50	97	1.632497	0.424749	1.566385	3.623631
50	98	1.632497	0.452001	1.836793	3.921291
50	99	1.632497	0.447792	1.795027	3.875315
51	0	1.547184	0.464811	1.963902	3.975898
51	1	1.547184	0.467819	1.993753	4.008756
51	2	1.547184	0.515099	2.462884	4.525167
51	3	1.547184	0.413111	1.450907	3.411203
