replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	1.571040	0.390737	1.228904	3.190681
0	1	1.571040	0.397603	1.297029	3.265671
0	2	1.571040	0.426961	1.588332	3.586333
0	3	1.571040	0.420348	1.787534	3.778921
0	4	1.571040	0.426961	1.588332	3.586333
0	5	1.571040	0.437633	1.694231	3.702904
0	6	1.571040	0.397603	1.297029	3.265671
0	7	1.571040	0.426961	1.588332	3.586333
0	8	1.571040	0.416860	1.488104	3.476003
0	9	1.571040	0.439775	1.715482	3.726297
0	10	1.571040	0.357895	0.903032	2.831967
0	11	1.571040	0.417071	1.490205	3.478316
0	12	1.571040	0.488485	2.198804	4.258329
0	13	1.571040	0.436650	1.684472	3.692161
0	14	1.571040	0.397603	1.297029	3.265671
0	15	1.571040	0.412968	1.449493	3.433502
0	16	1.571040	0.357895	0.903032	2.831967
0	17	1.571040	0.389433	1.215966	3.176439
0	18	1.571040	0.392529	1.617431	3.581000
0	19	1.571040	0.452022	1.995889	4.018950
0	20	1.571040	0.389433	1.215966	3.176439
0	21	1.571040	0.415204	1.471679	3.457923
0	22	1.571040	0.411586	1.435777	3.418402
0	23	1.571040	0.497479	2.288054	4.356573
0	24	1.571040	0.448141	1.798496	3.817677
0	25	1.571040	0.451146	1.828308	3.850493
0	26	1.571040	0.430373	1.622193	3.623606
0	27	1.571040	0.417108	1.490564	3.478711
0	28	1.571040	0.415204	1.471679	3.457923
0	29	1.571040	0.437633	1.694231	3.702904
0	30	1.571040	0.440001	1.717720	3.728761
0	31	1.571040	0.453283	1.849513	3.873836
0	32	1.571040	0.357539	0.899491	2.828069
0	33	1.571040	0.436650	1.684472	3.692161
0	34	1.571040	0.451999	1.836774	3.859812
0	35	1.571040	0.401299	1.333702	3.306041
0	36	1.571040	0.412968	1.449493	3.433502
0	37	1.571040	0.436650	1.684472	3.692161
0	38	1.571040	0.444396	1.761334	3.776769
0	39	1.571040	0.412361	1.443463	3.426864
0	40	1.571040	0.442748	1.744985	3.758773
0	41	1.571040	0.405511	1.375497	3.352047
0	42	1.571040	0.431804	1.636385	3.639229
0	43	1.571040	0.396981	1.290854	3.258874
0	44	1.571040	0.420501	1.524238	3.515779
0	45	1.571040	0.426961	1.588332	3.586333
0	46	1.571040	0.443529	1.964584	3.979153
0	47	1.571040	0.416860	1.488104	3.476003
0	48	1.571040	0.409035	1.410467	3.390542
0	49	1.571040	0.440001	1.717720	3.728761
0	50	1.571040	0.408318	1.403350	3.382707
0	51	1.571040	0.422605	1.545115	3.538760
0	52	1.571040	0.466134	1.977031	4.014205
0	53	1.571040	0.381475	1.137001	3.089516
0	54	1.571040	0.440392	1.721605	3.733037
0	55	1.571040	0.457793	2.106118	4.134951
0	56	1.571040	0.475693	2.124846	4.171579
0	57	1.571040	0.465815	1.973862	4.010717
0	58	1.571040	0.437633	1.694231	3.702904
0	59	1.571040	0.455611	1.925573	3.952223
0	60	1.571040	0.476855	2.083410	4.131305
0	61	1.571040	0.417108	1.490564	3.478711
0	62	1.571040	0.451999	1.836774	3.859812
0	63	1.571040	0.399165	1.312531	3.282736
0	64	1.571040	0.457634	1.892687	3.921361
0	65	1.571040	0.465815	1.973862	4.010717
0	66	1.571040	0.451999	1.836774	3.859812
0	67	1.571040	0.457793	2.106118	4.134951
0	68	1.571040	0.459595	1.912144	3.942778
0	69	1.571040	0.409035	1.410467	3.390542
0	70	1.571040	0.357895	0.903032	2.831967
0	71	1.571040	0.411586	1.435777	3.418402
0	72	1.571040	0.431804	1.636385	3.639229
0	73	1.571040	0.357539	0.899491	2.828069
0	74	1.571040	0.461768	1.933705	3.966512
0	75	1.571040	0.435164	1.669730	3.675933
0	76	1.571040	0.390737	1.228904	3.190681
0	77	1.571040	0.381475	1.137001	3.089516
0	78	1.571040	0.429297	1.611510	3.611846
0	79	1.571040	0.465815	1.973862	4.010717
0	80	1.571040	0.381475	1.137001	3.089516
0	81	1.571040	0.448141	1.798496	3.817677
0	82	1.571040	0.422304	1.542123	3.535466
