design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2lo	6.0	flat	0	704.4672	6.0102	converged	0.0000	764.8938	6	corrected	513.4
triple6	hab2lo	6.0	flat	1	807.9736	6.0482	converged	0.0000	861.2064	6	corrected	496.2
triple6	hab2lo	6.0	flat	2	626.3216	6.0420	converged	0.0000	907.9196	5	corrected	421.3
triple6	hab2lo	6.0	flat	3	735.5889	6.0196	converged	0.0000	790.3311	6	corrected	485.7
triple6	hab2lo	6.0	flat	4	634.5246	6.0096	converged	0.0000	686.2430	6	corrected	494.0
triple6	hab2lo	6.0	flat	5	625.1059	6.0359	converged	0.0000	717.5897	6	corrected	484.4
triple6	hab2lo	6.0	flat	6	596.8888	6.0294	converged	0.0000	795.6675	5	corrected	429.3
triple6	hab2lo	6.0	flat	7	802.1957	6.0276	converged	0.0000	833.2127	7	corrected	558.5
triple6	hab2lo	6.0	flat	8	822.7145	6.0391	converged	0.0000	939.1155	6	corrected	494.2
triple6	hab2lo	6.0	flat	9	729.6667	6.0425	converged	0.0000	901.3978	5	corrected	420.3
triple6	hab2lo	6.0	flat	10	593.6239	6.0436	converged	0.0000	678.9016	6	corrected	497.1
triple6	hab2lo	6.0	flat	11	739.9656	5.9929	converged	0.0000	959.0823	5	corrected	422.1
triple6	hab2lo	6.0	flat	12	798.7027	6.0165	converged	0.0000	827.5863	7	corrected	566.9
triple6	hab2lo	6.0	flat	13	846.3573	6.0055	converged	0.0000	949.6072	6	corrected	496.4
triple6	hab2lo	6.0	flat	14	766.2080	6.0111	converged	0.0000	892.7526	6	corrected	509.4
triple6	hab2lo	6.0	flat	15	776.4880	6.0466	converged	0.0000	842.4170	6	corrected	505.1
triple6	hab2lo	6.0	flat	16	644.8327	6.0240	converged	0.0000	680.1304	6	corrected	498.8
triple6	hab2lo	6.0	flat	17	600.1852	5.9748	converged	0.0000	641.0531	7	corrected	573.7
triple6	hab2lo	6.0	flat	18	646.9966	6.0006	converged	0.0000	864.5272	5	corrected	427.8
triple6	hab2lo	6.0	flat	19	779.9373	6.0339	converged	0.0000	839.3711	6	corrected	499.0
triple6	hab2lo	6.0	flat	20	493.2081	6.0241	converged	0.0000	530.9960	7	corrected	563.1
triple6	hab2lo	6.0	flat	21	731.4245	6.0038	converged	0.0000	786.2150	6	corrected	512.3
triple6	hab2lo	6.0	flat	22	444.5370	5.9784	converged	0.0000	473.6205	7	corrected	564.4
triple6	hab2lo	6.0	flat	23	953.7883	6.0417	converged	923.8255	1052.6669	7	corrected	584.6
triple6	hab2lo	6.0	flat	24	791.1688	6.0013	converged	0.0000	828.1063	7	corrected	574.5
triple6	hab2lo	6.0	flat	25	477.1744	5.9738	converged	0.0000	543.8187	7	corrected	577.1
triple6	hab2lo	6.0	flat	26	620.0828	6.0355	converged	0.0000	676.3242	6	corrected	505.6
triple6	hab2lo	6.0	flat	27	690.0639	6.0189	converged	0.0000	724.5545	6	corrected	502.8
triple6	hab2lo	6.0	flat	28	706.1432	6.0255	converged	0.0000	790.6902	6	corrected	509.6
triple6	hab2lo	6.0	flat	29	706.9544	6.0454	converged	0.0000	974.7762	5	corrected	424.7
triple6	hab2lo	6.0	flat	30	670.1588	5.9829	converged	0.0000	750.2539	6	corrected	499.3
triple6	hab2lo	6.0	flat	31	614.3635	5.9904	converged	599.6967	622.3008	9	corrected	728.8
triple6	hab2lo	6.0	flat	32	836.3556	5.9742	converged	0.0000	878.4152	7	corrected	574.8
triple6	hab2lo	6.0	flat	33	572.3729	6.0302	converged	0.0000	612.9261	6	corrected	505.1
triple6	hab2lo	6.0	flat	34	701.7633	6.0107	converged	0.0000	933.1301	5	corrected	431.0
triple6	hab2lo	6.0	flat	35	710.1059	6.0331	converged	0.0000	753.5851	6	corrected	501.2
triple6	hab2lo	6.0	flat	36	856.3230	6.0067	converged	0.0000	954.0659	6	corrected	489.0
triple6	hab2lo	6.0	flat	37	823.6763	6.0289	converged	0.0000	910.2153	6	corrected	505.2
triple6	hab2lo	6.0	flat	38	663.5936	5.9752	converged	0.0000	713.8510	6	corrected	496.7
triple6	hab2lo	6.0	flat	39	723.7656	5.9806	converged	0.0000	771.7384	7	corrected	553.3
triple6	hab2lo	6.0	flat	40	594.5236	6.0305	converged	0.0000	706.5966	6	corrected	502.7
triple6	hab2lo	6.0	flat	41	591.6866	5.9800	converged	0.0000	637.3962	7	corrected	558.7
triple6	hab2lo	6.0	flat	42	713.4002	5.9938	converged	709.9272	721.5876	10	corrected	761.7
triple6	hab2lo	6.0	flat	43	777.7431	6.0325	converged	0.0000	835.8036	6	corrected	489.2
triple6	hab2lo	6.0	flat	44	631.9945	6.0136	converged	0.0000	692.7931	6	corrected	496.9
triple6	hab2lo	6.0	flat	45	893.6488	6.0276	converged	0.0000	1190.5028	5	corrected	427.8
triple6	hab2lo	6.0	flat	46	806.7959	5.9982	converged	0.0000	1052.4314	5	corrected	434.2
triple6	hab2lo	6.0	flat	47	570.6053	5.9737	converged	548.2677	610.4655	7	corrected	565.8
triple6	hab2lo	6.0	flat	48	715.2308	6.0459	converged	0.0000	788.2742	6	corrected	491.1
triple6	hab2lo	6.0	flat	49	918.2828	5.9846	converged	0.0000	1028.4447	6	corrected	496.0
triple6	hab2lo	6.0	flat	50	716.2641	5.8160	converged	716.2641	722.5528	10	corrected	779.1
triple6	hab2lo	6.0	flat	51	754.0964	6.0251	converged	0.0000	798.2783	6	corrected	499.8
triple6	hab2lo	6.0	flat	52	778.7122	6.0218	converged	0.0000	842.3893	6	corrected	504.4
