design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2lo	6.0	flat	100	635.2774	6.0347	converged	0.0000	660.6277	6	corrected	525.5
triple6	hab2lo	6.0	flat	101	608.5834	6.0211	converged	0.0000	649.2148	7	corrected	584.7
triple6	hab2lo	6.0	flat	102	718.7929	6.0228	converged	0.0000	766.5267	6	corrected	495.5
triple6	hab2lo	6.0	flat	103	876.7078	6.0359	converged	0.0000	1149.6891	5	corrected	445.1
triple6	hab2lo	6.0	flat	104	980.4396	5.9654	converged	0.0000	1134.4699	5	corrected	423.4
triple6	hab2lo	6.0	flat	105	634.7782	6.0423	converged	0.0000	910.8417	5	corrected	436.6
triple6	hab2lo	6.0	flat	106	638.3677	5.9653	converged	0.0000	762.4142	6	corrected	499.9
triple6	hab2lo	6.0	flat	107	876.6339	6.0198	converged	0.0000	1180.5813	5	corrected	431.9
triple6	hab2lo	6.0	flat	108	766.7866	6.0310	converged	0.0000	845.2002	6	corrected	507.3
triple6	hab2lo	6.0	flat	109	690.3992	6.0467	converged	0.0000	780.4691	6	corrected	507.1
triple6	hab2lo	6.0	flat	110	952.0977	6.0179	converged	0.0000	1007.8913	6	corrected	520.3
triple6	hab2lo	6.0	flat	111	784.3607	6.0050	converged	0.0000	840.3542	6	corrected	510.4
triple6	hab2lo	6.0	flat	112	655.0951	6.0195	converged	0.0000	913.3070	5	corrected	441.1
triple6	hab2lo	6.0	flat	113	622.9114	5.9958	converged	0.0000	670.7391	7	corrected	577.5
triple6	hab2lo	6.0	flat	114	664.5602	5.9977	converged	0.0000	732.5323	5	corrected	435.8
triple6	hab2lo	6.0	flat	115	749.4277	6.0403	converged	0.0000	996.8920	5	corrected	429.3
triple6	hab2lo	6.0	flat	116	788.3942	5.9942	converged	0.0000	870.5942	6	corrected	510.2
triple6	hab2lo	6.0	flat	117	717.5233	6.0378	converged	0.0000	800.9605	6	corrected	509.0
triple6	hab2lo	6.0	flat	118	577.4899	6.0169	converged	0.0000	619.5639	8	corrected	652.0
triple6	hab2lo	6.0	flat	119	683.3992	5.9873	converged	0.0000	974.8792	5	corrected	434.4
triple6	hab2lo	6.0	flat	120	513.9688	5.9561	converged	493.5478	546.0580	8	corrected	642.1
triple6	hab2lo	6.0	flat	121	818.6755	6.0159	converged	0.0000	859.8123	8	corrected	639.2
triple6	hab2lo	6.0	flat	122	740.5775	6.0044	converged	0.0000	768.4994	7	corrected	589.7
triple6	hab2lo	6.0	flat	123	839.8972	5.9963	converged	0.0000	1119.9081	5	corrected	447.3
triple6	hab2lo	6.0	flat	124	684.1960	6.0429	converged	0.0000	806.9540	6	corrected	512.2
triple6	hab2lo	6.0	flat	125	632.0678	6.0300	converged	0.0000	673.0986	7	corrected	571.1
triple6	hab2lo	6.0	flat	126	663.2252	5.9949	converged	0.0000	688.5521	7	corrected	587.6
triple6	hab2lo	6.0	flat	127	749.0725	6.0357	converged	0.0000	871.3815	6	corrected	520.3
triple6	hab2lo	6.0	flat	128	698.6484	6.0384	converged	0.0000	844.5417	6	corrected	503.6
