replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	2.697777	0.491212	2.225864	5.414853
100	1	2.697777	0.494164	2.255152	5.447092
100	2	2.697777	0.505212	2.364783	5.567772
100	3	2.697777	0.483132	2.145692	5.326600
100	4	2.697777	0.491212	2.225864	5.414853
100	5	2.697777	0.434838	1.666493	4.799108
100	6	2.697777	0.454886	1.865424	5.018087
100	7	2.697777	0.510179	2.414065	5.622021
100	8	2.697777	0.471556	2.030830	5.200162
100	9	2.697777	0.571315	3.020691	6.289783
100	10	2.697777	0.529546	2.924020	6.151343
100	11	2.697777	0.532152	2.632095	5.862023
100	12	2.697777	0.471958	2.034819	5.204553
100	13	2.697777	0.428949	1.608059	4.734784
100	14	2.697777	0.483132	2.145692	5.326600
100	15	2.697777	0.497069	2.283981	5.478826
100	16	2.697777	0.463123	1.947148	5.108048
100	17	2.697777	0.428949	1.608059	4.734784
100	18	2.697777	0.423940	1.558362	4.680079
100	19	2.697777	0.521821	2.529586	5.749184
100	20	2.697777	0.514756	2.671337	5.883870
100	21	2.697777	0.408203	1.402207	4.508186
100	22	2.697777	0.514115	2.717938	5.929829
100	23	2.697777	0.549738	2.806588	6.054102
100	24	2.697777	0.526935	2.686259	5.910971
100	25	2.697777	0.455659	1.873092	5.026527
100	26	2.697777	0.424152	1.560459	4.682387
100	27	2.697777	0.470346	2.336605	5.504728
100	28	2.697777	0.424152	1.560459	4.682387
100	29	2.697777	0.474159	2.056660	5.228596
100	30	2.697777	0.547962	2.788962	6.034700
100	31	2.697777	0.432193	1.640247	4.770217
100	32	2.697777	0.525338	2.564478	5.787593
100	33	2.697777	0.383754	1.159613	4.241143
100	34	2.697777	0.532152	2.632095	5.862023
100	35	2.697777	0.469432	2.009752	5.176960
100	36	2.697777	0.459125	1.907485	5.064387
100	37	2.697777	0.494164	2.255152	5.447092
100	38	2.697777	0.501303	2.325989	5.525068
100	39	2.697777	0.547962	2.788962	6.034700
100	40	2.697777	0.482023	2.134689	5.314489
100	41	2.697777	0.516928	2.481034	5.695739
100	42	2.697777	0.491279	2.226530	5.415586
100	43	2.697777	0.528710	2.597939	5.824426
100	44	2.697777	0.491212	2.225864	5.414853
100	45	2.697777	0.434496	1.663097	4.795369
100	46	2.697777	0.550538	2.814523	6.062837
100	47	2.697777	0.558991	3.004325	6.261092
100	48	2.697777	0.454886	1.865424	5.018087
100	49	2.697777	0.486676	2.180854	5.365306
100	50	2.697777	0.584454	3.151056	6.433287
100	51	2.697777	0.497069	2.283981	5.478826
100	52	2.697777	0.439389	1.711651	4.848817
100	53	2.697777	0.474159	2.056660	5.228596
100	54	2.697777	0.414108	1.460802	4.572687
100	55	2.697777	0.494650	2.259981	5.452408
100	56	2.697777	0.517832	2.490003	5.705612
100	57	2.697777	0.505212	2.364783	5.567772
100	58	2.697777	0.453058	1.847279	4.998114
100	59	2.697777	0.455659	1.873092	5.026527
100	60	2.697777	0.474889	2.063904	5.236570
100	61	2.697777	0.498962	2.302765	5.499504
100	62	2.697777	0.547962	2.788962	6.034700
100	63	2.697777	0.479182	2.106495	5.283453
100	64	2.697777	0.518643	2.498046	5.714465
100	65	2.697777	0.439389	1.711651	4.848817
100	66	2.697777	0.439389	1.711651	4.848817
100	67	2.697777	0.579966	3.159494	6.437237
100	68	2.697777	0.464840	1.964189	5.126806
100	69	2.697777	0.453058	1.847279	4.998114
100	70	2.697777	0.463123	1.947148	5.108048
100	71	2.697777	0.471556	2.030830	5.200162
100	72	2.697777	0.521821	2.529586	5.749184
