replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.587770	0.470934	2.024658	5.083362
0	1	2.587770	0.518822	2.499824	5.606415
0	2	2.587770	0.564537	2.953430	6.105737
0	3	2.587770	0.530036	2.822948	5.940753
0	4	2.587770	0.564537	2.953430	6.105737
0	5	2.587770	0.476373	2.078627	5.142770
0	6	2.587770	0.518822	2.499824	5.606415
0	7	2.587770	0.564537	2.953430	6.105737
0	8	2.587770	0.493608	2.249637	5.331014
0	9	2.587770	0.441106	2.205359	5.234234
0	10	2.587770	0.530596	2.616651	5.735016
0	11	2.587770	0.523716	2.548387	5.659873
0	12	2.587770	0.439944	1.717155	4.744868
0	13	2.587770	0.555550	2.864255	6.007575
0	14	2.587770	0.518822	2.499824	5.606415
0	15	2.587770	0.482478	2.139201	5.209449
0	16	2.587770	0.530596	2.616651	5.735016
0	17	2.587770	0.555791	2.866654	6.010215
0	18	2.587770	0.479885	2.113472	5.181127
0	19	2.587770	0.590254	3.208606	6.386629
0	20	2.587770	0.555791	2.866654	6.010215
0	21	2.587770	0.464258	1.958416	5.010444
0	22	2.587770	0.460886	1.924960	4.973616
0	23	2.587770	0.502891	2.341749	5.432410
0	24	2.587770	0.444971	1.767037	4.799777
0	25	2.587770	0.417494	1.494396	4.499659
0	26	2.587770	0.521677	2.528153	5.637599
0	27	2.587770	0.552783	2.836801	5.977354
0	28	2.587770	0.464258	1.958416	5.010444
0	29	2.587770	0.476373	2.078627	5.142770
0	30	2.587770	0.488232	2.196297	5.272299
0	31	2.587770	0.452609	1.842829	4.883208
0	32	2.587770	0.432557	1.643856	4.664182
0	33	2.587770	0.555550	2.864255	6.007575
0	34	2.587770	0.468743	2.002913	5.059425
0	35	2.587770	0.523761	2.548834	5.660364
0	36	2.587770	0.482478	2.139201	5.209449
0	37	2.587770	0.555550	2.864255	6.007575
0	38	2.587770	0.516520	2.741805	5.846095
0	39	2.587770	0.475810	2.073034	5.136613
0	40	2.587770	0.548325	2.792568	5.928663
0	41	2.587770	0.388817	1.792454	4.769041
0	42	2.587770	0.459872	1.914896	4.962538
0	43	2.587770	0.441407	1.731680	4.760857
0	44	2.587770	0.533244	2.642926	5.763940
0	45	2.587770	0.564537	2.953430	6.105737
0	46	2.587770	0.427504	1.593722	4.608995
0	47	2.587770	0.493608	2.249637	5.331014
0	48	2.587770	0.434899	1.667094	4.689762
0	49	2.587770	0.488232	2.196297	5.272299
0	50	2.587770	0.564716	2.955204	6.107689
0	51	2.587770	0.469727	2.012681	5.070178
0	52	2.587770	0.479982	2.114435	5.182187
0	53	2.587770	0.449042	1.807431	4.844242
0	54	2.587770	0.540229	2.818162	5.946160
0	55	2.587770	0.557919	2.887764	6.033453
0	56	2.587770	0.399478	1.951198	4.938445
0	57	2.587770	0.466928	1.984910	5.039607
0	58	2.587770	0.476373	2.078627	5.142770
0	59	2.587770	0.488850	2.573178	5.649798
0	60	2.587770	0.479932	2.113940	5.181641
