design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2lo	5.5	long_weighted	50	852.8319	5.4720	converged	0.0000	1949.5871	4	corrected	372.4
triple6	hab2lo	5.5	long_weighted	51	996.6759	5.4944	converged	0.0000	1158.0640	5	corrected	433.6
triple6	hab2lo	5.5	long_weighted	52	1016.5291	5.5143	converged	0.0000	1115.8842	5	corrected	418.0
triple6	hab2lo	5.5	long_weighted	53	1043.9782	5.4917	converged	0.0000	1283.1977	5	corrected	419.6
triple6	hab2lo	5.5	long_weighted	54	936.8481	5.5195	converged	0.0000	1084.3517	5	corrected	421.9
triple6	hab2lo	5.5	long_weighted	55	958.0623	5.5131	converged	0.0000	1063.4784	5	corrected	438.4
triple6	hab2lo	5.5	long_weighted	56	907.2258	5.5214	converged	0.0000	1083.8835	5	corrected	436.1
triple6	hab2lo	5.5	long_weighted	57	906.1460	5.5111	converged	0.0000	1173.2961	5	corrected	438.3
triple6	hab2lo	5.5	long_weighted	58	755.5758	5.4660	converged	0.0000	967.7068	5	corrected	427.3
triple6	hab2lo	5.5	long_weighted	59	1103.8214	5.4686	converged	0.0000	1362.0115	5	corrected	431.4
triple6	hab2lo	5.5	long_weighted	60	936.8379	5.5411	converged	0.0000	1096.2528	5	corrected	412.8
triple6	hab2lo	5.5	long_weighted	61	973.3306	5.4762	converged	0.0000	1125.6765	5	corrected	427.3
triple6	hab2lo	5.5	long_weighted	62	915.0842	5.5029	converged	0.0000	1789.9618	4	corrected	349.4
triple6	hab2lo	5.5	long_weighted	63	974.7965	5.5359	converged	840.9482	1015.1746	7	corrected	549.6
triple6	hab2lo	5.5	long_weighted	64	1120.7584	5.5018	converged	0.0000	1270.7808	5	corrected	410.7
triple6	hab2lo	5.5	long_weighted	65	897.6915	5.5423	converged	0.0000	1921.9042	4	corrected	357.8
triple6	hab2lo	5.5	long_weighted	66	903.0460	5.4955	converged	0.0000	1662.7140	4	corrected	357.1
triple6	hab2lo	5.5	long_weighted	67	1179.8968	5.4820	converged	0.0000	1410.4722	5	corrected	407.1
triple6	hab2lo	5.5	long_weighted	68	883.1980	5.5307	converged	0.0000	1050.4463	5	corrected	419.3
