replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.518431	0.445089	1.768209	4.731729
0	1	2.518431	0.486333	2.177453	5.182217
0	2	2.518431	0.531613	2.626745	5.676790
0	3	2.518431	0.507940	2.550738	5.577109
0	4	2.518431	0.531613	2.626745	5.676790
0	5	2.518431	0.445668	1.773955	4.738055
0	6	2.518431	0.486333	2.177453	5.182217
0	7	2.518431	0.531613	2.626745	5.676790
0	8	2.518431	0.459034	1.906579	4.884044
0	9	2.518431	0.465441	2.340896	5.324768
0	10	2.518431	0.485897	2.173126	5.177454
0	11	2.518431	0.513989	2.451873	5.484293
0	12	2.518431	0.419933	1.518594	4.456958
0	13	2.518431	0.507603	2.388505	5.414539
0	14	2.518431	0.486333	2.177453	5.182217
0	15	2.518431	0.452241	1.839170	4.809842
0	16	2.518431	0.485897	2.173126	5.177454
0	17	2.518431	0.511172	2.423918	5.453522
0	18	2.518431	0.454035	1.856975	4.829442
0	19	2.518431	0.538368	2.693772	5.750571
0	20	2.518431	0.511172	2.423918	5.453522
0	21	2.518431	0.425391	1.572759	4.516582
0	22	2.518431	0.437646	1.694354	4.650431
0	23	2.518431	0.475959	2.074517	5.068907
0	24	2.518431	0.410433	1.424338	4.353203
0	25	2.518431	0.397829	1.299274	4.215534
0	26	2.518431	0.468772	2.003202	4.990405
0	27	2.518431	0.507080	2.383312	5.408823
0	28	2.518431	0.425391	1.572759	4.516582
0	29	2.518431	0.445668	1.773955	4.738055
0	30	2.518431	0.463627	1.952149	4.934207
0	31	2.518431	0.427533	1.594013	4.539978
0	32	2.518431	0.411044	1.430399	4.359874
0	33	2.518431	0.507603	2.388505	5.414539
0	34	2.518431	0.435082	1.668920	4.622433
0	35	2.518431	0.497711	2.290348	5.306489
0	36	2.518431	0.452241	1.839170	4.809842
0	37	2.518431	0.507603	2.388505	5.414539
0	38	2.518431	0.502057	2.545328	5.565816
0	39	2.518431	0.442425	1.741777	4.702633
0	40	2.518431	0.512954	2.441604	5.472990
0	41	2.518431	0.397490	1.825549	4.741471
0	42	2.518431	0.431664	1.635004	4.585100
0	43	2.518431	0.418281	1.502203	4.438915
0	44	2.518431	0.461874	1.934757	4.915062
0	45	2.518431	0.531613	2.626745	5.676790
0	46	2.518431	0.407645	1.396673	4.322749
0	47	2.518431	0.459034	1.906579	4.884044
0	48	2.518431	0.411758	1.437481	4.367670
0	49	2.518431	0.463627	1.952149	4.934207
0	50	2.518431	0.534808	2.658450	5.711689
0	51	2.518431	0.444243	1.759817	4.722492
0	52	2.518431	0.453517	1.851840	4.823789
0	53	2.518431	0.420342	1.522662	4.461436
0	54	2.518431	0.493899	2.358454	5.370784
0	55	2.518431	0.514293	2.454888	5.487612
0	56	2.518431	0.339960	1.466558	4.324949
0	57	2.518431	0.440041	1.718122	4.676594
0	58	2.518431	0.445668	1.773955	4.738055
0	59	2.518431	0.564897	3.062935	6.146264
0	60	2.518431	0.452220	1.838968	4.809620
0	61	2.518431	0.507080	2.383312	5.408823
0	62	2.518431	0.435082	1.668920	4.622433
0	63	2.518431	0.601581	3.320997	6.441008
0	64	2.518431	0.462684	1.942798	4.923913
0	65	2.518431	0.440041	1.718122	4.676594
0	66	2.518431	0.435082	1.668920	4.622433
0	67	2.518431	0.514293	2.454888	5.487612
0	68	2.518431	0.455905	2.246276	5.220612
0	69	2.518431	0.411758	1.437481	4.367670
0	70	2.518431	0.485897	2.173126	5.177454
0	71	2.518431	0.437646	1.694354	4.650431
0	72	2.518431	0.431664	1.635004	4.585100
0	73	2.518431	0.411044	1.430399	4.359874
0	74	2.518431	0.469415	2.115510	5.103356
0	75	2.518431	0.445458	1.771871	4.735760
0	76	2.518431	0.445089	1.768209	4.731729
0	77	2.518431	0.420342	1.522662	4.461436
0	78	2.518431	0.494151	2.255025	5.267607
0	79	2.518431	0.440041	1.718122	4.676594
0	80	2.518431	0.420342	1.522662	4.461436
0	81	2.518431	0.410433	1.424338	4.353203
0	82	2.518431	0.463545	1.951342	4.933319
0	83	2.518431	0.509466	2.406988	5.434884
0	84	2.518431	0.509466	2.406988	5.434884
0	85	2.518431	0.494632	2.259801	5.272864
0	86	2.518431	0.500166	2.314712	5.333309
0	87	2.518431	0.468772	2.003202	4.990405
0	88	2.518431	0.407645	1.396673	4.322749
0	89	2.518431	0.475925	2.286033	5.280390
0	90	2.518431	0.418281	1.502203	4.438915
0	91	2.518431	0.442425	1.741777	4.702633
0	92	2.518431	0.411758	1.437481	4.367670
0	93	2.518431	0.421650	1.535637	4.475718
0	94	2.518431	0.397829	1.299274	4.215534
0	95	2.518431	0.422475	1.543817	4.484723
0	96	2.518431	0.507080	2.383312	5.408823
0	97	2.518431	0.448715	1.804190	4.771336
0	98	2.518431	0.459034	1.906579	4.884044
0	99	2.518431	0.461651	1.932546	4.912628
1	0	2.328657	0.460246	2.236388	5.025291
1	1	2.328657	0.592071	3.226642	6.147370
1	2	2.328657	0.535596	2.666266	5.530519
1	3	2.328657	0.442988	1.747365	4.519011
1	4	2.328657	0.509637	2.408687	5.246981
1	5	2.328657	0.428082	1.599462	4.356202
1	6	2.328657	0.448358	2.277317	5.054332
1	7	2.328657	0.443756	1.754979	4.527392
1	8	2.328657	0.467676	1.992325	4.788658
1	9	2.328657	0.368963	1.012852	3.710472
