design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2lo	6.0	long_weighted	0	1820.8046	6.0398	converged	1738.1556	2042.0490	6	corrected	523.1
triple6	hab2lo	6.0	long_weighted	1	2082.0570	6.0097	converged	0.0000	2366.6549	5	corrected	436.8
triple6	hab2lo	6.0	long_weighted	2	1488.2327	6.0213	converged	0.0000	1578.3192	6	corrected	502.9
triple6	hab2lo	6.0	long_weighted	3	1913.5186	6.0211	converged	0.0000	2153.5743	5	corrected	431.2
triple6	hab2lo	6.0	long_weighted	4	1474.0454	6.0468	converged	0.0000	1606.1483	6	corrected	497.1
triple6	hab2lo	6.0	long_weighted	5	1602.3960	6.0031	converged	0.0000	1755.4599	5	corrected	412.2
triple6	hab2lo	6.0	long_weighted	6	1442.4605	5.9806	converged	0.0000	1580.9294	5	corrected	436.7
triple6	hab2lo	6.0	long_weighted	7	1906.8375	5.9832	converged	1826.9348	2285.4618	6	corrected	503.2
triple6	hab2lo	6.0	long_weighted	8	2298.7034	6.0111	converged	0.0000	2398.3606	5	corrected	428.3
triple6	hab2lo	6.0	long_weighted	9	1593.8507	6.0298	converged	0.0000	1804.5916	5	corrected	424.8
triple6	hab2lo	6.0	long_weighted	10	1305.5690	6.0443	converged	0.0000	1410.7571	6	corrected	490.9
triple6	hab2lo	6.0	long_weighted	11	1575.2321	6.0154	converged	0.0000	1651.7584	6	corrected	501.9
triple6	hab2lo	6.0	long_weighted	12	2151.9746	6.0068	converged	0.0000	2359.7301	5	corrected	423.6
triple6	hab2lo	6.0	long_weighted	13	2024.9550	6.0220	converged	0.0000	2131.6201	5	corrected	421.7
triple6	hab2lo	6.0	long_weighted	14	2056.8448	6.0112	converged	0.0000	2356.3393	5	corrected	418.8
triple6	hab2lo	6.0	long_weighted	15	1818.0759	6.0010	converged	0.0000	1894.9634	6	corrected	505.7
triple6	hab2lo	6.0	long_weighted	16	1705.2353	6.0227	converged	0.0000	1852.9706	5	corrected	419.6
triple6	hab2lo	6.0	long_weighted	17	1726.4952	6.0318	converged	0.0000	2056.1503	5	corrected	433.6
triple6	hab2lo	6.0	long_weighted	18	1535.3017	6.0443	converged	0.0000	1659.3553	5	corrected	426.3
triple6	hab2lo	6.0	long_weighted	19	1885.9514	6.0209	converged	0.0000	2008.5762	6	corrected	488.1
triple6	hab2lo	6.0	long_weighted	20	1257.3803	6.0365	converged	0.0000	1616.0522	5	corrected	430.9
