replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
200	0	2.600430	0.603738	3.342405	6.546573
200	1	2.600430	0.600889	3.314135	6.515454
200	2	2.600430	0.495831	2.271698	5.367959
200	3	2.600430	0.515906	2.576819	5.693155
200	4	2.600430	0.439952	1.717237	4.757619
200	5	2.600430	0.502085	2.651532	5.754047
200	6	2.600430	0.441602	1.733611	4.775643
200	7	2.600430	0.441602	1.733611	4.775643
200	8	2.600430	0.484209	2.156380	5.241020
200	9	2.600430	0.501726	2.330190	5.432346
200	10	2.600430	0.544901	2.758591	5.903921
200	11	2.600430	0.441602	1.733611	4.775643
200	12	2.600430	0.514127	2.453243	5.567801
200	13	2.600430	0.526819	2.579177	5.706427
200	14	2.600430	0.492167	2.235336	5.327933
200	15	2.600430	0.533516	2.645623	5.779569
200	16	2.600430	0.392148	1.242900	4.235478
200	17	2.600430	0.471347	2.028754	5.100532
200	18	2.600430	0.474168	2.056745	5.131343
200	19	2.600430	0.460135	1.917503	4.978068
200	20	2.600430	0.467189	1.987497	5.055116
200	21	2.600430	0.440273	1.720423	4.761126
200	22	2.600430	0.505740	2.370015	5.476185
200	23	2.600430	0.488301	2.196984	5.285715
200	24	2.600430	0.501726	2.330190	5.432346
200	25	2.600430	0.467189	1.987497	5.055116
200	26	2.600430	0.534291	2.653313	5.788034
200	27	2.600430	0.460135	1.917503	4.978068
200	28	2.600430	0.380427	1.126602	4.107459
200	29	2.600430	0.502757	2.340419	5.443606
200	30	2.600430	0.487819	2.192194	5.280443
200	31	2.600430	0.411504	1.434963	4.446897
200	32	2.600430	0.590767	3.213695	6.404891
200	33	2.600430	0.502361	2.336486	5.439277
200	34	2.600430	0.483136	2.145734	5.229300
200	35	2.600430	0.440273	1.720423	4.761126
200	36	2.600430	0.480447	2.119045	5.199921
200	37	2.600430	0.442338	1.740916	4.783684
200	38	2.600430	0.454167	1.858288	4.912885
200	39	2.600430	0.440985	1.727485	4.768900
200	40	2.600430	0.514127	2.453243	5.567801
200	41	2.600430	0.429204	1.610586	4.640220
200	42	2.600430	0.520871	2.520154	5.641455
200	43	2.600430	0.487819	2.192194	5.280443
200	44	2.600430	0.438610	1.703922	4.742963
200	45	2.600430	0.501726	2.330190	5.432346
200	46	2.600430	0.417044	2.072538	5.090013
200	47	2.600430	0.534291	2.653313	5.788034
200	48	2.600430	0.443625	1.753685	4.797741
200	49	2.600430	0.517712	2.753628	5.871770
200	50	2.600430	0.495831	2.271698	5.367959
200	51	2.600430	0.438610	1.703922	4.742963
200	52	2.600430	0.483802	2.152338	5.236570
200	53	2.600430	0.450815	1.825024	4.876269
200	54	2.600430	0.556593	2.874610	6.031634
200	55	2.600430	0.505536	2.685775	5.791741
200	56	2.600430	0.560172	2.910120	6.070722
200	57	2.600430	0.488301	2.196984	5.285715
