replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.394041	0.433977	1.657952	4.485970
0	1	2.394041	0.472183	2.037045	4.903268
0	2	2.394041	0.512216	2.434281	5.340538
0	3	2.394041	0.532979	2.693263	5.620283
0	4	2.394041	0.512216	2.434281	5.340538
0	5	2.394041	0.434879	1.666901	4.495821
0	6	2.394041	0.472183	2.037045	4.903268
0	7	2.394041	0.512216	2.434281	5.340538
0	8	2.394041	0.448629	1.803331	4.646000
0	9	2.394041	0.431588	2.057957	4.883586
0	10	2.394041	0.477694	2.091731	4.963466
0	11	2.394041	0.491238	2.226120	5.111399
0	12	2.394041	0.410247	1.422495	4.226783
0	13	2.394041	0.496612	2.279450	5.170103
0	14	2.394041	0.472183	2.037045	4.903268
0	15	2.394041	0.442371	1.741243	4.577655
0	16	2.394041	0.477694	2.091731	4.963466
0	17	2.394041	0.496869	2.282001	5.172911
0	18	2.394041	0.437186	1.689790	4.521017
0	19	2.394041	0.533933	2.649762	5.577735
0	20	2.394041	0.496869	2.282001	5.172911
0	21	2.394041	0.417935	1.498770	4.310745
0	22	2.394041	0.426844	1.587176	4.408061
0	23	2.394041	0.462807	1.944017	4.800865
0	24	2.394041	0.404349	1.363965	4.162355
0	25	2.394041	0.388871	1.210389	3.993302
0	26	2.394041	0.457125	1.887634	4.738800
0	27	2.394041	0.493992	2.253449	5.141482
0	28	2.394041	0.417935	1.498770	4.310745
0	29	2.394041	0.434879	1.666901	4.495821
0	30	2.394041	0.451974	1.836522	4.682537
0	31	2.394041	0.418486	1.504242	4.316769
0	32	2.394041	0.402117	1.341818	4.137976
0	33	2.394041	0.496612	2.279450	5.170103
0	34	2.394041	0.426548	1.584238	4.404827
0	35	2.394041	0.493020	2.243805	5.130866
0	36	2.394041	0.442371	1.741243	4.577655
0	37	2.394041	0.496612	2.279450	5.170103
0	38	2.394041	0.520029	2.670693	5.584763
0	39	2.394041	0.435687	1.674923	4.504651
0	40	2.394041	0.494383	2.257327	5.145750
0	41	2.394041	0.405463	1.851691	4.651195
0	42	2.394041	0.420587	1.525091	4.339719
0	43	2.394041	0.411756	1.437458	4.243254
0	44	2.394041	0.454428	1.860880	4.709349
0	45	2.394041	0.512216	2.434281	5.340538
0	46	2.394041	0.398701	1.307927	4.100669
0	47	2.394041	0.448629	1.803331	4.646000
0	48	2.394041	0.403542	1.355964	4.153547
0	49	2.394041	0.451974	1.836522	4.682537
0	50	2.394041	0.522620	2.537507	5.454168
0	51	2.394041	0.441001	1.727642	4.562683
0	52	2.394041	0.441247	1.730088	4.565376
0	53	2.394041	0.412995	1.449761	4.256797
0	54	2.394041	0.480532	2.225819	5.100392
0	55	2.394041	0.508311	2.395528	5.297880
0	56	2.394041	0.376425	1.669488	4.439954
0	57	2.394041	0.429191	1.610462	4.433694
0	58	2.394041	0.434879	1.666901	4.495821
0	59	2.394041	0.451366	2.254202	5.099609
0	60	2.394041	0.439987	1.717588	4.551616
0	61	2.394041	0.493992	2.253449	5.141482
0	62	2.394041	0.426548	1.584238	4.404827
0	63	2.394041	0.587900	3.185255	6.167196
0	64	2.394041	0.451337	1.830205	4.675583
0	65	2.394041	0.429191	1.610462	4.433694
0	66	2.394041	0.426548	1.584238	4.404827
0	67	2.394041	0.508311	2.395528	5.297880
0	68	2.394041	0.452918	2.163670	5.010629
0	69	2.394041	0.403542	1.355964	4.153547
0	70	2.394041	0.477694	2.091731	4.963466
0	71	2.394041	0.426844	1.587176	4.408061
0	72	2.394041	0.420587	1.525091	4.339719
0	73	2.394041	0.402117	1.341818	4.137976
0	74	2.394041	0.428502	1.815484	4.638028
0	75	2.394041	0.439359	1.711355	4.544755
0	76	2.394041	0.433977	1.657952	4.485970
0	77	2.394041	0.412995	1.449761	4.256797
0	78	2.394041	0.479872	2.113347	4.987260
0	79	2.394041	0.429191	1.610462	4.433694
0	80	2.394041	0.412995	1.449761	4.256797
0	81	2.394041	0.404349	1.363965	4.162355
0	82	2.394041	0.452858	1.845293	4.692192
0	83	2.394041	0.494857	2.262035	5.150933
0	84	2.394041	0.494857	2.262035	5.150933
0	85	2.394041	0.498894	2.302091	5.195026
0	86	2.394041	0.486775	2.181835	5.062650
0	87	2.394041	0.457125	1.887634	4.738800
0	88	2.394041	0.398701	1.307927	4.100669
0	89	2.394041	0.476055	2.234357	5.104453
0	90	2.394041	0.411756	1.437458	4.243254
0	91	2.394041	0.435687	1.674923	4.504651
0	92	2.394041	0.403542	1.355964	4.153547
0	93	2.394041	0.412503	1.444871	4.251415
0	94	2.394041	0.388871	1.210389	3.993302
0	95	2.394041	0.412339	1.443252	4.249633
0	96	2.394041	0.493992	2.253449	5.141482
0	97	2.394041	0.437374	1.691655	4.523069
0	98	2.394041	0.448629	1.803331	4.646000
0	99	2.394041	0.445833	1.775594	4.615468
1	0	2.267951	0.387543	1.673882	4.329376
1	1	2.267951	0.572845	3.035866	5.876662
1	2	2.267951	0.522654	2.537851	5.328457
1	3	2.267951	0.434054	1.658711	4.360716
1	4	2.267951	0.497360	2.286867	5.052178
1	5	2.267951	0.421601	1.535151	4.224703
1	6	2.267951	0.540975	2.878530	5.687457
1	7	2.267951	0.434189	1.660054	4.362195
1	8	2.267951	0.456837	1.884778	4.609567
1	9	2.267951	0.366560	0.989008	3.623519
1	10	2.267951	0.485166	2.165871	4.918988
1	11	2.267951	0.433383	1.652056	4.353390
1	12	2.267951	0.410484	1.424842	4.103277
1	13	2.267951	0.434891	1.667018	4.369860
1	14	2.267951	0.421601	1.535151	4.224703
1	15	2.267951	0.450524	2.192883	4.911358
1	16	2.267951	0.491669	2.230403	4.990024
1	17	2.267951	0.454128	1.857898	4.579977
1	18	2.267951	0.456242	1.878870	4.603063
1	19	2.267951	0.453022	2.217668	4.938641
1	20	2.267951	0.475498	2.069948	4.813397
1	21	2.267951	0.515656	2.468414	5.252022
1	22	2.267951	0.392068	1.242111	3.902130
1	23	2.267951	0.459661	1.912801	4.640413
1	24	2.267951	0.522654	2.537851	5.328457
1	25	2.267951	0.416888	1.488385	4.173224
1	26	2.267951	0.416888	1.488385	4.173224
1	27	2.267951	0.478432	2.099058	4.845442
1	28	2.267951	0.572845	3.035866	5.876662
1	29	2.267951	0.421448	1.533627	4.223026
1	30	2.267951	0.425310	1.571957	4.265219
1	31	2.267951	0.397714	1.298133	3.963798
1	32	2.267951	0.451724	1.834043	4.553718
1	33	2.267951	0.491669	2.230403	4.990024
1	34	2.267951	0.572155	3.029023	5.869129
1	35	2.267951	0.462717	1.943125	4.673794
1	36	2.267951	0.472105	2.036273	4.776329
1	37	2.267951	0.418240	1.501802	4.187994
1	38	2.267951	0.412709	1.446915	4.127575
1	39	2.267951	0.452211	1.838877	4.559039
1	40	2.267951	0.485820	2.172361	4.926132
1	41	2.267951	0.411354	1.433474	4.112780
1	42	2.267951	0.472105	2.036273	4.776329
1	43	2.267951	0.489879	2.212638	4.970468
1	44	2.267951	0.491669	2.230403	4.990024
1	45	2.267951	0.466613	1.981779	4.716343
1	46	2.267951	0.495952	2.272896	5.036799
1	47	2.267951	0.456306	1.879514	4.603771
1	48	2.267951	0.495952	2.272896	5.036799
1	49	2.267951	0.468259	1.998116	4.734327
1	50	2.267951	0.374210	1.064913	3.707074
1	51	2.267951	0.518569	2.497318	5.283838
1	52	2.267951	0.449136	1.808369	4.525457
1	53	2.267951	0.387543	1.673882	4.329376
1	54	2.267951	0.475397	2.068945	4.812294
1	55	2.267951	0.425153	1.570397	4.263502
1	56	2.267951	0.421601	1.535151	4.224703
1	57	2.267951	0.412709	1.446915	4.127575
1	58	2.267951	0.487884	2.192847	4.948683
1	59	2.267951	0.392068	1.242111	3.902130
1	60	2.267951	0.518569	2.497318	5.283838
1	61	2.267951	0.434054	1.658711	4.360716
1	62	2.267951	0.387543	1.673882	4.329376
1	63	2.267951	0.457636	1.892706	4.618293
1	64	2.267951	0.449136	1.808369	4.525457
1	65	2.267951	0.465972	1.975425	4.709349
1	66	2.267951	0.500650	2.319514	5.088115
1	67	2.267951	0.512893	2.493960	5.274804
1	68	2.267951	0.446045	1.777695	4.491691
1	69	2.267951	0.411354	1.433474	4.112780
1	70	2.267951	0.378912	1.694165	4.341027
1	71	2.267951	0.572155	3.029023	5.869129
1	72	2.267951	0.484202	2.156307	4.908461
1	73	2.267951	0.411354	1.433474	4.112780
1	74	2.267951	0.422433	1.967115	4.657499
