design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2lo	5.5	short_weighted	50	355.3952	5.4942	converged	0.0000	402.8852	8	corrected	641.9
triple6	hab2lo	5.5	short_weighted	51	531.3406	5.4635	converged	0.0000	588.7200	7	corrected	567.8
triple6	hab2lo	5.5	short_weighted	52	637.3967	5.5454	converged	617.3829	646.6645	9	corrected	731.0
triple6	hab2lo	5.5	short_weighted	53	569.1810	5.5048	converged	0.0000	658.4866	6	corrected	498.4
triple6	hab2lo	5.5	short_weighted	54	590.2939	5.5028	converged	0.0000	646.1376	6	corrected	485.8
triple6	hab2lo	5.5	short_weighted	55	605.0654	5.5089	converged	0.0000	727.5022	6	corrected	487.1
triple6	hab2lo	5.5	short_weighted	56	621.1522	5.5276	converged	0.0000	679.2698	6	corrected	487.7
triple6	hab2lo	5.5	short_weighted	57	541.1613	5.4022	converged	541.1613	547.4299	11	corrected	853.0
triple6	hab2lo	5.5	short_weighted	58	510.3806	5.4892	converged	0.0000	548.2933	7	corrected	571.3
triple6	hab2lo	5.5	short_weighted	59	761.9891	5.5319	converged	0.0000	840.1358	6	corrected	503.6
triple6	hab2lo	5.5	short_weighted	60	788.0765	5.4680	converged	732.7834	949.7687	6	corrected	497.3
triple6	hab2lo	5.5	short_weighted	61	529.1491	5.4598	converged	0.0000	579.6742	7	corrected	566.6
triple6	hab2lo	5.5	short_weighted	62	455.3310	5.4704	converged	415.2336	570.2992	7	corrected	566.3
triple6	hab2lo	5.5	short_weighted	63	547.3324	5.4673	converged	500.4046	583.7543	7	corrected	562.5
triple6	hab2lo	5.5	short_weighted	64	710.2685	5.4938	converged	0.0000	785.8373	6	corrected	492.1
triple6	hab2lo	5.5	short_weighted	65	562.0181	5.4593	converged	0.0000	622.1087	6	corrected	495.3
triple6	hab2lo	5.5	short_weighted	66	532.6848	5.5041	converged	0.0000	679.2296	5	corrected	429.6
triple6	hab2lo	5.5	short_weighted	67	712.3942	5.4934	converged	0.0000	860.9245	6	corrected	495.2
triple6	hab2lo	5.5	short_weighted	68	408.8199	5.4926	converged	0.0000	441.0282	7	corrected	566.4
triple6	hab2lo	5.5	short_weighted	69	476.4325	5.5442	converged	0.0000	518.3174	7	corrected	570.6
triple6	hab2lo	5.5	short_weighted	70	568.8918	5.4538	converged	0.0000	625.8651	7	corrected	565.5
triple6	hab2lo	5.5	short_weighted	71	781.1700	5.4961	converged	0.0000	823.7579	7	corrected	564.6
triple6	hab2lo	5.5	short_weighted	72	633.7569	5.4759	converged	0.0000	735.0450	6	corrected	487.3
triple6	hab2lo	5.5	short_weighted	73	534.0751	5.5184	converged	0.0000	748.2059	5	corrected	421.4
triple6	hab2lo	5.5	short_weighted	74	541.4972	5.5201	converged	0.0000	645.0352	6	corrected	491.8
triple6	hab2lo	5.5	short_weighted	75	886.1955	5.5442	converged	0.0000	1195.0599	5	corrected	417.4
triple6	hab2lo	5.5	short_weighted	76	563.7573	5.5477	converged	0.0000	1702.8606	4	corrected	348.2
triple6	hab2lo	5.5	short_weighted	77	525.6812	5.5204	converged	0.0000	739.0080	5	corrected	420.7
triple6	hab2lo	5.5	short_weighted	78	543.1542	5.5346	converged	0.0000	616.5248	6	corrected	498.8
triple6	hab2lo	5.5	short_weighted	79	350.1407	5.4944	converged	319.1228	525.9610	6	corrected	482.1
triple6	hab2lo	5.5	short_weighted	80	814.2048	5.4900	converged	0.0000	855.8169	8	corrected	619.4
triple6	hab2lo	5.5	short_weighted	81	562.1623	5.5183	converged	0.0000	614.0717	6	corrected	483.4
triple6	hab2lo	5.5	short_weighted	82	580.2667	5.5235	converged	0.0000	618.2035	8	corrected	625.0
triple6	hab2lo	5.5	short_weighted	83	486.4435	5.5161	converged	0.0000	546.5240	6	corrected	484.0
triple6	hab2lo	5.5	short_weighted	84	805.4632	5.5035	converged	0.0000	930.6878	5	corrected	420.0
triple6	hab2lo	5.5	short_weighted	85	531.4824	5.5234	converged	0.0000	608.9279	6	corrected	494.5
triple6	hab2lo	5.5	short_weighted	86	466.7999	5.4679	converged	0.0000	558.0106	5	corrected	420.8
triple6	hab2lo	5.5	short_weighted	87	838.2543	5.5403	converged	0.0000	1218.5108	5	corrected	415.9
triple6	hab2lo	5.5	short_weighted	88	785.9879	5.5211	converged	0.0000	842.5820	7	corrected	554.3
triple6	hab2lo	5.5	short_weighted	89	1226.5551	5.5474	converged	0.0000	1295.2375	6	corrected	483.6
triple6	hab2lo	5.5	short_weighted	90	590.8447	5.4935	converged	0.0000	642.6010	7	corrected	561.5
triple6	hab2lo	5.5	short_weighted	91	596.6793	5.4986	converged	0.0000	705.9556	7	corrected	553.3
triple6	hab2lo	5.5	short_weighted	92	703.1168	5.5358	converged	0.0000	765.7640	6	corrected	492.4
triple6	hab2lo	5.5	short_weighted	93	581.9311	5.5152	converged	0.0000	621.4107	7	corrected	546.7
triple6	hab2lo	5.5	short_weighted	94	443.8695	5.5106	converged	0.0000	486.4585	7	corrected	562.5
triple6	hab2lo	5.5	short_weighted	95	590.1727	5.5073	converged	0.0000	650.5317	6	corrected	487.5
triple6	hab2lo	5.5	short_weighted	96	478.6810	5.5171	converged	0.0000	529.8913	6	corrected	494.4
