design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
triple6	hab2lo	6.0	short_weighted	0	1297.1003	6.0415	converged	0.0000	1357.8156	6	corrected	507.3
triple6	hab2lo	6.0	short_weighted	1	1468.5020	6.0265	converged	0.0000	2232.8583	5	corrected	430.7
triple6	hab2lo	6.0	short_weighted	2	1087.3949	6.0201	converged	0.0000	1150.7685	6	corrected	500.2
triple6	hab2lo	6.0	short_weighted	3	1165.0326	5.9756	converged	0.0000	1238.4627	7	corrected	569.8
triple6	hab2lo	6.0	short_weighted	4	1152.6529	5.9867	converged	1111.9184	1359.8810	7	corrected	576.7
triple6	hab2lo	6.0	short_weighted	5	939.3408	5.9719	converged	0.0000	1208.7072	6	corrected	502.3
triple6	hab2lo	6.0	short_weighted	6	950.0039	5.9563	converged	0.0000	1012.4179	7	corrected	574.5
triple6	hab2lo	6.0	short_weighted	7	1429.2371	6.0204	converged	0.0000	1494.3898	7	corrected	565.3
triple6	hab2lo	6.0	short_weighted	8	1447.7464	6.0272	converged	0.0000	1586.5139	7	corrected	567.5
triple6	hab2lo	6.0	short_weighted	9	1188.8689	6.0415	converged	0.0000	1278.2866	6	corrected	505.5
triple6	hab2lo	6.0	short_weighted	10	1091.3433	6.0432	converged	0.0000	1180.1915	7	corrected	577.7
triple6	hab2lo	6.0	short_weighted	11	1235.5759	6.0084	converged	0.0000	1298.8197	7	corrected	563.5
triple6	hab2lo	6.0	short_weighted	12	1405.6250	6.0176	converged	0.0000	1480.4567	7	corrected	577.9
triple6	hab2lo	6.0	short_weighted	13	1493.6086	5.9790	converged	0.0000	1920.0539	5	corrected	431.4
triple6	hab2lo	6.0	short_weighted	14	1338.7829	5.9999	converged	0.0000	1552.4045	6	corrected	500.7
triple6	hab2lo	6.0	short_weighted	15	1382.7631	6.0323	converged	0.0000	1578.4968	6	corrected	496.3
triple6	hab2lo	6.0	short_weighted	16	1192.0368	6.0055	converged	0.0000	1269.3122	6	corrected	510.6
triple6	hab2lo	6.0	short_weighted	17	1210.4071	5.9681	converged	0.0000	1423.7840	6	corrected	509.2
triple6	hab2lo	6.0	short_weighted	18	1054.2784	6.0235	converged	0.0000	1116.6400	6	corrected	515.2
triple6	hab2lo	6.0	short_weighted	19	1259.2741	6.0053	converged	0.0000	1316.6426	7	corrected	562.3
triple6	hab2lo	6.0	short_weighted	20	870.5430	6.0123	converged	0.0000	990.1901	7	corrected	568.1
triple6	hab2lo	6.0	short_weighted	21	1157.1547	5.9889	converged	0.0000	1253.3318	7	corrected	567.2
triple6	hab2lo	6.0	short_weighted	22	800.5606	6.0397	converged	0.0000	876.2292	7	corrected	562.0
triple6	hab2lo	6.0	short_weighted	23	1766.1833	6.0377	converged	0.0000	2012.5512	6	corrected	491.7
triple6	hab2lo	6.0	short_weighted	24	1376.5518	6.0421	converged	0.0000	1561.4091	6	corrected	486.8
triple6	hab2lo	6.0	short_weighted	25	846.5047	6.0115	converged	0.0000	890.5345	8	corrected	629.0
triple6	hab2lo	6.0	short_weighted	26	1243.1185	6.0173	converged	0.0000	1306.4518	6	corrected	490.3
triple6	hab2lo	6.0	short_weighted	27	1034.8479	6.0235	converged	0.0000	1137.3897	7	corrected	554.8
triple6	hab2lo	6.0	short_weighted	28	1315.2091	6.0342	converged	0.0000	1367.8241	8	corrected	631.5
triple6	hab2lo	6.0	short_weighted	29	1207.9060	6.0186	converged	0.0000	1280.2139	7	corrected	560.6
triple6	hab2lo	6.0	short_weighted	30	1199.8230	5.9553	converged	1187.3633	1263.2748	11	corrected	843.5
triple6	hab2lo	6.0	short_weighted	31	1138.0148	6.0375	converged	1122.9890	1156.1771	8	corrected	630.1
triple6	hab2lo	6.0	short_weighted	32	1502.4260	6.0006	converged	0.0000	1627.8116	7	corrected	549.9
triple6	hab2lo	6.0	short_weighted	33	1036.8050	6.0395	converged	0.0000	1147.4123	6	corrected	492.0
triple6	hab2lo	6.0	short_weighted	34	1282.5071	6.0220	converged	0.0000	1366.6081	6	corrected	492.0
triple6	hab2lo	6.0	short_weighted	35	1202.2624	6.0327	converged	0.0000	1258.2442	7	corrected	564.4
triple6	hab2lo	6.0	short_weighted	36	1347.5907	5.9715	converged	1306.1008	1415.6820	8	corrected	625.3
triple6	hab2lo	6.0	short_weighted	37	1405.1312	5.9746	converged	0.0000	1481.9126	7	corrected	572.4
triple6	hab2lo	6.0	short_weighted	38	1153.5870	6.0216	converged	0.0000	1279.0429	6	corrected	482.8
triple6	hab2lo	6.0	short_weighted	39	1429.7910	6.0263	converged	0.0000	1576.0909	6	corrected	490.9
triple6	hab2lo	6.0	short_weighted	40	975.8143	6.0091	converged	0.0000	1087.4153	7	corrected	565.8
triple6	hab2lo	6.0	short_weighted	41	960.4148	6.0132	converged	0.0000	1010.4304	9	corrected	703.1
triple6	hab2lo	6.0	short_weighted	42	1041.0754	6.0432	converged	0.0000	1264.7895	7	corrected	571.3
triple6	hab2lo	6.0	short_weighted	43	1397.5427	6.0375	converged	0.0000	1566.1679	6	corrected	487.4
triple6	hab2lo	6.0	short_weighted	44	1100.5751	6.0324	converged	0.0000	1146.6533	7	corrected	560.2
triple6	hab2lo	6.0	short_weighted	45	1526.5221	6.0461	converged	0.0000	1742.1472	6	corrected	500.1
triple6	hab2lo	6.0	short_weighted	46	1389.7539	6.0108	converged	0.0000	1485.6980	6	corrected	493.5
triple6	hab2lo	6.0	short_weighted	47	1035.7086	6.0048	converged	0.0000	1458.6557	5	corrected	420.0
triple6	hab2lo	6.0	short_weighted	48	1322.9153	5.9699	converged	1284.6381	1344.8366	8	corrected	639.1
triple6	hab2lo	6.0	short_weighted	49	1637.4968	6.0111	converged	0.0000	1690.2501	7	corrected	578.2
triple6	hab2lo	6.0	short_weighted	50	1367.9118	6.0418	converged	0.0000	1916.9988	5	corrected	436.5
triple6	hab2lo	6.0	short_weighted	51	1244.5868	6.0237	converged	0.0000	1441.0800	6	corrected	504.7
triple6	hab2lo	6.0	short_weighted	52	1294.0455	6.0178	converged	0.0000	1410.2498	6	corrected	511.3
triple6	hab2lo	6.0	short_weighted	53	1004.8656	5.9717	converged	0.0000	1170.1453	8	corrected	637.0
triple6	hab2lo	6.0	short_weighted	54	1167.9950	5.9937	converged	0.0000	1222.1187	7	corrected	560.5
triple6	hab2lo	6.0	short_weighted	55	1481.6003	5.9772	converged	0.0000	1992.0648	5	corrected	431.1
triple6	hab2lo	6.0	short_weighted	56	1252.8633	6.0225	converged	0.0000	1337.8099	6	corrected	495.0
triple6	hab2lo	6.0	short_weighted	57	1165.8842	6.0271	converged	0.0000	1226.1123	7	corrected	565.9
triple6	hab2lo	6.0	short_weighted	58	1162.3293	6.0129	converged	0.0000	1217.4536	7	corrected	567.6
triple6	hab2lo	6.0	short_weighted	59	1450.9061	6.0482	converged	0.0000	1542.5221	7	corrected	565.5
triple6	hab2lo	6.0	short_weighted	60	1571.8226	6.0413	converged	0.0000	1957.6541	5	corrected	426.3
