replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	2.559379	0.495405	2.267474	5.322259
100	1	2.559379	0.496818	2.281487	5.337684
100	2	2.559379	0.522795	2.539251	5.621426
100	3	2.559379	0.486429	2.178402	5.224210
100	4	2.559379	0.495405	2.267474	5.322259
100	5	2.559379	0.442016	1.737722	4.739118
100	6	2.559379	0.459688	1.913068	4.932135
100	7	2.559379	0.522190	2.533246	5.614816
100	8	2.559379	0.476324	2.078136	5.113839
100	9	2.559379	0.571405	3.021581	6.152366
100	10	2.559379	0.531936	2.947734	6.039050
100	11	2.559379	0.539891	2.708881	5.808151
100	12	2.559379	0.479353	2.108193	5.146926
100	13	2.559379	0.432226	1.640576	4.632181
100	14	2.559379	0.486429	2.178402	5.224210
100	15	2.559379	0.506918	2.381707	5.448004
100	16	2.559379	0.466954	1.985167	5.011501
100	17	2.559379	0.432226	1.640576	4.632181
100	18	2.559379	0.428833	1.606910	4.595123
100	19	2.559379	0.534406	2.654456	5.748241
100	20	2.559379	0.498544	2.563433	5.621356
100	21	2.559379	0.412456	1.444407	4.416243
100	22	2.559379	0.499176	2.622667	5.681223
100	23	2.559379	0.561289	2.921200	6.041868
100	24	2.559379	0.503033	2.555013	5.617425
100	25	2.559379	0.459342	1.909634	4.928355
100	26	2.559379	0.427812	1.596779	4.583971
100	27	2.559379	0.476745	2.453063	5.489187
100	28	2.559379	0.427812	1.596779	4.583971
100	29	2.559379	0.478756	2.102270	5.140405
100	30	2.559379	0.557686	2.885451	6.002516
100	31	2.559379	0.445023	1.767557	4.771960
100	32	2.559379	0.534372	2.654125	5.747877
100	33	2.559379	0.387654	1.198307	4.145340
100	34	2.559379	0.539891	2.708881	5.808151
100	35	2.559379	0.484853	2.162768	5.207000
100	36	2.559379	0.459420	1.910404	4.929203
100	37	2.559379	0.496818	2.281487	5.337684
100	38	2.559379	0.502880	2.341644	5.403904
100	39	2.559379	0.557686	2.885451	6.002516
100	40	2.559379	0.487863	2.192636	5.239878
100	41	2.559379	0.521143	2.522855	5.603377
100	42	2.559379	0.493519	2.248753	5.301651
100	43	2.559379	0.539024	2.700284	5.798688
100	44	2.559379	0.495405	2.267474	5.322259
100	45	2.559379	0.441763	1.735207	4.736350
100	46	2.559379	0.568512	2.992877	6.120769
100	47	2.559379	0.559010	3.004521	6.122911
100	48	2.559379	0.459688	1.913068	4.932135
100	49	2.559379	0.492192	2.235584	5.287155
100	50	2.559379	0.586335	3.169720	6.315434
100	51	2.559379	0.506918	2.381707	5.448004
100	52	2.559379	0.448097	1.798056	4.805532
100	53	2.559379	0.478756	2.102270	5.140405
100	54	2.559379	0.416749	1.487008	4.463137
100	55	2.559379	0.494957	2.263024	5.317360
100	56	2.559379	0.514031	2.452286	5.525696
100	57	2.559379	0.522795	2.539251	5.621426
100	58	2.559379	0.455146	1.868002	4.882527
100	59	2.559379	0.459342	1.909634	4.928355
100	60	2.559379	0.477746	2.092251	5.129377
100	61	2.559379	0.524248	2.553667	5.637295
100	62	2.559379	0.557686	2.885451	6.002516
100	63	2.559379	0.481811	2.132587	5.173778
100	64	2.559379	0.523303	2.544284	5.626966
100	65	2.559379	0.448097	1.798056	4.805532
100	66	2.559379	0.448097	1.798056	4.805532
100	67	2.559379	0.567259	3.086364	6.213002
100	68	2.559379	0.470685	2.022189	5.052254
100	69	2.559379	0.455146	1.868002	4.882527
100	70	2.559379	0.466954	1.985167	5.011501
100	71	2.559379	0.476324	2.078136	5.113839
100	72	2.559379	0.534406	2.654456	5.748241
100	73	2.559379	0.479534	2.109991	5.148904
100	74	2.559379	0.444471	1.762074	4.765924
100	75	2.559379	0.459688	1.913068	4.932135
100	76	2.559379	0.416749	1.487008	4.463137
100	77	2.559379	0.567259	3.086364	6.213002
100	78	2.559379	0.428833	1.606910	4.595123
100	79	2.559379	0.534406	2.654456	5.748241
100	80	2.559379	0.539891	2.708881	5.808151
100	81	2.559379	0.557686	2.885451	6.002516
100	82	2.559379	0.428833	1.606910	4.595123
100	83	2.559379	0.441763	1.735207	4.736350
100	84	2.559379	0.470685	2.022189	5.052254
100	85	2.559379	0.412456	1.444407	4.416243
100	86	2.559379	0.507566	2.547024	5.613969
100	87	2.559379	0.511051	2.422716	5.493146
100	88	2.559379	0.539891	2.708881	5.808151
100	89	2.559379	0.511051	2.422716	5.493146
100	90	2.559379	0.496559	2.278925	5.334864
100	91	2.559379	0.528746	2.598297	5.686422
100	92	2.559379	0.470685	2.022189	5.052254
100	93	2.559379	0.478756	2.102270	5.140405
100	94	2.559379	0.511051	2.422716	5.493146
100	95	2.559379	0.407785	1.980661	4.947825
100	96	2.559379	0.432226	1.640576	4.632181
100	97	2.559379	0.539024	2.700284	5.798688
100	98	2.559379	0.477746	2.092251	5.129377
100	99	2.559379	0.493643	2.249987	5.303009
101	0	2.521325	0.433369	1.651916	4.606610
101	1	2.521325	0.454052	1.857148	4.832524
101	2	2.521325	0.473073	2.045881	5.040278
101	3	2.521325	0.449564	1.812616	4.783505
101	4	2.521325	0.470950	2.024817	5.017092
101	5	2.521325	0.476443	2.079321	5.077088
101	6	2.521325	0.480645	2.121016	5.122985
101	7	2.521325	0.565230	2.960309	6.046864
101	8	2.521325	0.581616	3.122895	6.225836
101	9	2.521325	0.568368	2.991443	6.081136
101	10	2.521325	0.563366	2.941809	6.026499
101	11	2.521325	0.454052	1.857148	4.832524
101	12	2.521325	0.552913	2.838090	5.912327
101	13	2.521325	0.575898	3.066165	6.163388
101	14	2.521325	0.563366	2.941809	6.026499
101	15	2.521325	0.454052	1.857148	4.832524
101	16	2.521325	0.500558	2.318605	5.340488
101	17	2.521325	0.498405	2.562055	5.581785
101	18	2.521325	0.467109	1.986707	4.975140
101	19	2.521325	0.480645	2.121016	5.122985
101	20	2.521325	0.499247	2.305595	5.326167
101	21	2.521325	0.486416	2.178278	5.186019
101	22	2.521325	0.467109	1.986707	4.975140
101	23	2.521325	0.581616	3.122895	6.225836
101	24	2.521325	0.487765	2.191664	5.200753
101	25	2.521325	0.568368	2.991443	6.081136
101	26	2.521325	0.534137	2.651787	5.707248
101	27	2.521325	0.463605	1.951937	4.936867
101	28	2.521325	0.500558	2.318605	5.340488
101	29	2.521325	0.395777	1.278908	4.196009
101	30	2.521325	0.523722	2.548447	5.593494
101	31	2.521325	0.485516	2.169343	5.176183
101	32	2.521325	0.456557	1.881999	4.859880
101	33	2.521325	0.530477	2.615468	5.667270
101	34	2.521325	0.526889	2.579871	5.628084
101	35	2.521325	0.532896	2.639470	5.693691
101	36	2.521325	0.522751	2.538815	5.582891
101	37	2.521325	0.519538	2.506927	5.547790
101	38	2.521325	0.502709	2.339942	5.363976
101	39	2.521325	0.495571	2.269120	5.286016
101	40	2.521325	0.568368	2.991443	6.081136
101	41	2.521325	0.494888	2.262338	5.278550
101	42	2.521325	0.553119	2.840140	5.914583
101	43	2.521325	0.458677	1.903035	4.883036
101	44	2.521325	0.538088	2.690992	5.750404
101	45	2.521325	0.506285	2.375424	5.403034
101	46	2.521325	0.499247	2.305595	5.326167
101	47	2.521325	0.524594	2.557098	5.603016
101	48	2.521325	0.555265	2.861435	5.938025
101	49	2.521325	0.436031	1.678327	4.635682
101	50	2.521325	0.526833	2.897095	5.945252
101	51	2.521325	0.433369	1.651916	4.606610
101	52	2.521325	0.538330	2.799324	5.858978
101	53	2.521325	0.513428	2.446306	5.481059
101	54	2.521325	0.562698	2.988145	6.072167
101	55	2.521325	0.477773	2.092513	5.091611
101	56	2.521325	0.482341	2.137838	5.141503
101	57	2.521325	0.411832	2.020819	4.953976
101	58	2.521325	0.509032	2.614537	5.644893
101	59	2.521325	0.439991	1.717624	4.678940
101	60	2.521325	0.531967	2.630260	5.683551
101	61	2.521325	0.473073	2.045881	5.040278
101	62	2.521325	0.462987	1.945806	4.930118
101	63	2.521325	0.490702	2.220801	5.232828
101	64	2.521325	0.555265	2.861435	5.938025
101	65	2.521325	0.433369	1.651916	4.606610
101	66	2.521325	0.504317	2.355900	5.381541
101	67	2.521325	0.405088	1.953899	4.880311
101	68	2.521325	0.526889	2.579871	5.628084
101	69	2.521325	0.522751	2.538815	5.582891
101	70	2.521325	0.490702	2.220801	5.232828
101	71	2.521325	0.528705	2.597890	5.647919
101	72	2.521325	0.436031	1.678327	4.635682
101	73	2.521325	0.432151	1.639832	4.593308
101	74	2.521325	0.458677	1.903035	4.883036
101	75	2.521325	0.534137	2.651787	5.707248
101	76	2.521325	0.500558	2.318605	5.340488
101	77	2.521325	0.523613	2.759218	5.804156
101	78	2.521325	0.528705	2.597890	5.647919
101	79	2.521325	0.454052	1.857148	4.832524
101	80	2.521325	0.552913	2.838090	5.912327
101	81	2.521325	0.423921	1.558170	4.503415
101	82	2.521325	0.598245	3.287903	6.407473
101	83	2.521325	0.550488	2.814027	5.885839
101	84	2.521325	0.446863	1.785813	4.754001
101	85	2.521325	0.498405	2.562055	5.581785
101	86	2.521325	0.500401	2.317041	5.338767
101	87	2.521325	0.581616	3.122895	6.225836
101	88	2.521325	0.552913	2.838090	5.912327
101	89	2.521325	0.498684	2.300008	5.320017
101	90	2.521325	0.477773	2.092513	5.091611
101	91	2.521325	0.500558	2.318605	5.340488
101	92	2.521325	0.433369	1.651916	4.606610
101	93	2.521325	0.463605	1.951937	4.936867
101	94	2.521325	0.516523	2.477008	5.514855
101	95	2.521325	0.505180	2.364462	5.390967
101	96	2.521325	0.498405	2.562055	5.581785
101	97	2.521325	0.512563	2.437719	5.471607
101	98	2.521325	0.443419	1.751642	4.716386
101	99	2.521325	0.581616	3.122895	6.225836
102	0	2.537346	0.383708	1.159160	4.080215
102	1	2.537346	0.522758	2.538879	5.598983
102	2	2.537346	0.455378	1.870307	4.863031
102	3	2.537346	0.585414	3.160580	6.283339
102	4	2.537346	0.535303	2.663356	5.736004
102	5	2.537346	0.472808	2.043249	5.053402
102	6	2.537346	0.512196	2.434076	5.483618
102	7	2.537346	0.560168	2.910084	6.007598
102	8	2.537346	0.493509	2.248655	5.279510
102	9	2.537346	0.570844	3.016017	6.124207
102	10	2.537346	0.585414	3.160580	6.283339
102	11	2.537346	0.565746	2.965427	6.068518
102	12	2.537346	0.498501	2.298187	5.334034
102	13	2.537346	0.522424	2.535561	5.595330
102	14	2.537346	0.478790	2.102612	5.118748
102	15	2.537346	0.463605	1.951938	4.952889
102	16	2.537346	0.451870	1.835494	4.824709
