design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2hi	0	5.079261	corrected
bracewell4	hab2hi	1	5.124587	corrected
bracewell4	hab2hi	2	5.215017	corrected
bracewell4	hab2hi	3	5.429065	corrected
bracewell4	hab2hi	4	5.136189	corrected
bracewell4	hab2hi	5	5.216113	corrected
bracewell4	hab2hi	6	5.309092	corrected
bracewell4	hab2hi	7	5.155213	corrected
bracewell4	hab2hi	8	5.175520	corrected
bracewell4	hab2hi	9	5.198858	corrected
bracewell4	hab2hi	10	5.258428	corrected
bracewell4	hab2hi	11	5.192108	corrected
bracewell4	hab2hi	12	5.026059	corrected
bracewell4	hab2hi	13	5.276928	corrected
