design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2hi	0	5.079261	corrected
bracewell4	hab2hi	1	5.124587	corrected
bracewell4	hab2hi	2	5.215017	corrected
bracewell4	hab2hi	3	5.429065	corrected
bracewell4	hab2hi	4	5.136189	corrected
bracewell4	hab2hi	5	5.216113	corrected
bracewell4	hab2hi	6	5.309092	corrected
bracewell4	hab2hi	7	5.155213	corrected
bracewell4	hab2hi	8	5.175520	corrected
bracewell4	hab2hi	9	5.198858	corrected
bracewell4	hab2hi	10	5.258428	corrected
bracewell4	hab2hi	11	5.192108	corrected
bracewell4	hab2hi	12	5.026059	corrected
bracewell4	hab2hi	13	5.276928	corrected
bracewell4	hab2hi	14	5.069770	corrected
bracewell4	hab2hi	15	5.289014	corrected
bracewell4	hab2hi	16	5.048379	corrected
bracewell4	hab2hi	17	5.189803	corrected
bracewell4	hab2hi	18	5.141315	corrected
bracewell4	hab2hi	19	5.301522	corrected
bracewell4	hab2hi	20	5.358263	corrected
bracewell4	hab2hi	21	5.242148	corrected
bracewell4	hab2hi	22	5.343743	corrected
bracewell4	hab2hi	23	5.381650	corrected
bracewell4	hab2hi	24	5.300366	corrected
bracewell4	hab2hi	25	5.364194	corrected
bracewell4	hab2hi	26	5.484776	corrected
bracewell4	hab2hi	27	5.135492	corrected
bracewell4	hab2hi	28	5.148230	corrected
bracewell4	hab2hi	29	5.175033	corrected
bracewell4	hab2hi	30	5.170311	corrected
bracewell4	hab2hi	31	5.080775	corrected
bracewell4	hab2hi	32	5.259976	corrected
bracewell4	hab2hi	33	5.236248	corrected
bracewell4	hab2hi	34	5.039203	corrected
bracewell4	hab2hi	35	5.437700	corrected
bracewell4	hab2hi	36	5.151991	corrected
bracewell4	hab2hi	37	5.159838	corrected
bracewell4	hab2hi	38	5.078781	corrected
bracewell4	hab2hi	39	5.148395	corrected
bracewell4	hab2hi	40	5.241745	corrected
bracewell4	hab2hi	41	5.202508	corrected
bracewell4	hab2hi	42	5.284615	corrected
bracewell4	hab2hi	43	4.885436	corrected
bracewell4	hab2hi	44	5.139055	corrected
bracewell4	hab2hi	45	5.055025	corrected
bracewell4	hab2hi	46	5.291816	corrected
bracewell4	hab2hi	47	5.180178	corrected
bracewell4	hab2hi	48	5.351044	corrected
bracewell4	hab2hi	49	5.215487	corrected
bracewell4	hab2hi	50	5.390472	corrected
bracewell4	hab2hi	51	5.254576	corrected
bracewell4	hab2hi	52	5.311514	corrected
bracewell4	hab2hi	53	5.307368	corrected
bracewell4	hab2hi	54	5.205265	corrected
bracewell4	hab2hi	55	5.574039	corrected
bracewell4	hab2hi	56	5.224393	corrected
bracewell4	hab2hi	57	5.259998	corrected
bracewell4	hab2hi	58	5.385173	corrected
bracewell4	hab2hi	59	5.297326	corrected
bracewell4	hab2hi	60	4.938020	corrected
bracewell4	hab2hi	61	5.500947	corrected
bracewell4	hab2hi	62	5.409776	corrected
bracewell4	hab2hi	63	5.080226	corrected
bracewell4	hab2hi	64	5.019205	corrected
bracewell4	hab2hi	65	5.298107	corrected
bracewell4	hab2hi	66	5.344063	corrected
bracewell4	hab2hi	67	4.912863	corrected
bracewell4	hab2hi	68	5.237813	corrected
bracewell4	hab2hi	69	5.250911	corrected
bracewell4	hab2hi	70	5.109682	corrected
bracewell4	hab2hi	71	5.489504	corrected
bracewell4	hab2hi	72	5.333337	corrected
bracewell4	hab2hi	73	5.143737	corrected
bracewell4	hab2hi	74	5.274749	corrected
bracewell4	hab2hi	75	5.019396	corrected
bracewell4	hab2hi	76	5.361661	corrected
bracewell4	hab2hi	77	5.130294	corrected
bracewell4	hab2hi	78	5.136325	corrected
bracewell4	hab2hi	79	5.060798	corrected
bracewell4	hab2hi	80	4.933432	corrected
bracewell4	hab2hi	81	5.063615	corrected
bracewell4	hab2hi	82	5.559292	corrected
bracewell4	hab2hi	83	5.194940	corrected
bracewell4	hab2hi	84	5.347995	corrected
bracewell4	hab2hi	85	5.015466	corrected
bracewell4	hab2hi	86	5.202133	corrected
bracewell4	hab2hi	87	5.135589	corrected
bracewell4	hab2hi	88	5.481745	corrected
bracewell4	hab2hi	89	5.142113	corrected
bracewell4	hab2hi	90	5.204661	corrected
bracewell4	hab2hi	91	4.948372	corrected
bracewell4	hab2hi	92	5.087469	corrected
bracewell4	hab2hi	93	5.188489	corrected
bracewell4	hab2hi	94	5.157752	corrected
bracewell4	hab2hi	95	5.210021	corrected
bracewell4	hab2hi	96	5.171638	corrected
bracewell4	hab2hi	97	5.303146	corrected
bracewell4	hab2hi	98	5.106626	corrected
bracewell4	hab2hi	99	5.430800	corrected
