design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2hi	100	5.214993	corrected
bracewell4	hab2hi	101	5.189975	corrected
bracewell4	hab2hi	102	5.222049	corrected
bracewell4	hab2hi	103	5.345993	corrected
bracewell4	hab2hi	104	5.312770	corrected
bracewell4	hab2hi	105	5.423230	corrected
bracewell4	hab2hi	106	5.133234	corrected
bracewell4	hab2hi	107	4.999800	corrected
bracewell4	hab2hi	108	5.068538	corrected
bracewell4	hab2hi	109	5.246968	corrected
bracewell4	hab2hi	110	5.312761	corrected
bracewell4	hab2hi	111	5.097724	corrected
bracewell4	hab2hi	112	5.405028	corrected
bracewell4	hab2hi	113	5.432810	corrected
bracewell4	hab2hi	114	4.977166	corrected
bracewell4	hab2hi	115	5.253359	corrected
bracewell4	hab2hi	116	5.280757	corrected
bracewell4	hab2hi	117	5.233033	corrected
bracewell4	hab2hi	118	5.449428	corrected
bracewell4	hab2hi	119	5.104264	corrected
bracewell4	hab2hi	120	5.353350	corrected
bracewell4	hab2hi	121	5.118254	corrected
bracewell4	hab2hi	122	5.220308	corrected
bracewell4	hab2hi	123	5.260484	corrected
bracewell4	hab2hi	124	5.321398	corrected
bracewell4	hab2hi	125	5.059366	corrected
bracewell4	hab2hi	126	5.179114	corrected
bracewell4	hab2hi	127	5.305719	corrected
bracewell4	hab2hi	128	5.123283	corrected
bracewell4	hab2hi	129	5.195086	corrected
bracewell4	hab2hi	130	5.115940	corrected
bracewell4	hab2hi	131	5.169794	corrected
bracewell4	hab2hi	132	5.163840	corrected
bracewell4	hab2hi	133	5.093850	corrected
bracewell4	hab2hi	134	5.428879	corrected
bracewell4	hab2hi	135	5.201367	corrected
bracewell4	hab2hi	136	5.318825	corrected
bracewell4	hab2hi	137	5.266159	corrected
bracewell4	hab2hi	138	5.113010	corrected
bracewell4	hab2hi	139	5.325532	corrected
bracewell4	hab2hi	140	5.310075	corrected
bracewell4	hab2hi	141	5.244256	corrected
bracewell4	hab2hi	142	5.153562	corrected
bracewell4	hab2hi	143	5.028722	corrected
bracewell4	hab2hi	144	5.274900	corrected
bracewell4	hab2hi	145	5.442587	corrected
bracewell4	hab2hi	146	5.298933	corrected
bracewell4	hab2hi	147	5.364392	corrected
bracewell4	hab2hi	148	5.314604	corrected
bracewell4	hab2hi	149	5.234704	corrected
bracewell4	hab2hi	150	5.058129	corrected
bracewell4	hab2hi	151	5.014290	corrected
bracewell4	hab2hi	152	5.128229	corrected
bracewell4	hab2hi	153	5.509588	corrected
bracewell4	hab2hi	154	5.030366	corrected
bracewell4	hab2hi	155	5.190432	corrected
bracewell4	hab2hi	156	5.076111	corrected
bracewell4	hab2hi	157	5.199378	corrected
bracewell4	hab2hi	158	5.002725	corrected
bracewell4	hab2hi	159	5.159325	corrected
bracewell4	hab2hi	160	4.893810	corrected
bracewell4	hab2hi	161	5.359177	corrected
bracewell4	hab2hi	162	4.924801	corrected
bracewell4	hab2hi	163	5.085430	corrected
bracewell4	hab2hi	164	5.330033	corrected
bracewell4	hab2hi	165	5.033308	corrected
bracewell4	hab2hi	166	5.436595	corrected
bracewell4	hab2hi	167	5.228127	corrected
bracewell4	hab2hi	168	5.209321	corrected
bracewell4	hab2hi	169	5.064481	corrected
bracewell4	hab2hi	170	5.207342	corrected
bracewell4	hab2hi	171	5.210139	corrected
bracewell4	hab2hi	172	5.600126	corrected
bracewell4	hab2hi	173	5.105841	corrected
bracewell4	hab2hi	174	5.048816	corrected
bracewell4	hab2hi	175	4.935851	corrected
bracewell4	hab2hi	176	5.192564	corrected
bracewell4	hab2hi	177	5.200546	corrected
bracewell4	hab2hi	178	5.199565	corrected
bracewell4	hab2hi	179	5.250954	corrected
bracewell4	hab2hi	180	5.200390	corrected
bracewell4	hab2hi	181	5.251792	corrected
bracewell4	hab2hi	182	5.258022	corrected
bracewell4	hab2hi	183	4.953817	corrected
bracewell4	hab2hi	184	5.305903	corrected
bracewell4	hab2hi	185	5.107813	corrected
bracewell4	hab2hi	186	5.519906	corrected
bracewell4	hab2hi	187	5.156249	corrected
bracewell4	hab2hi	188	5.215414	corrected
bracewell4	hab2hi	189	4.983354	corrected
bracewell4	hab2hi	190	5.123328	corrected
bracewell4	hab2hi	191	5.242765	corrected
bracewell4	hab2hi	192	5.119010	corrected
bracewell4	hab2hi	193	5.494141	corrected
bracewell4	hab2hi	194	5.285487	corrected
bracewell4	hab2hi	195	5.194820	corrected
bracewell4	hab2hi	196	5.175809	corrected
bracewell4	hab2hi	197	5.352182	corrected
bracewell4	hab2hi	198	5.126791	corrected
bracewell4	hab2hi	199	5.090733	corrected
