design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2lo	0	7.015302	corrected
bracewell4	hab2lo	1	6.827635	corrected
bracewell4	hab2lo	2	7.123389	corrected
bracewell4	hab2lo	3	6.803427	corrected
bracewell4	hab2lo	4	7.127159	corrected
bracewell4	hab2lo	5	7.077603	corrected
bracewell4	hab2lo	6	7.217050	corrected
bracewell4	hab2lo	7	6.776387	corrected
bracewell4	hab2lo	8	6.732962	corrected
bracewell4	hab2lo	9	7.121645	corrected
bracewell4	hab2lo	10	7.257807	corrected
bracewell4	hab2lo	11	7.041608	corrected
bracewell4	hab2lo	12	6.808659	corrected
bracewell4	hab2lo	13	6.987518	corrected
bracewell4	hab2lo	14	7.061099	corrected
bracewell4	hab2lo	15	6.684202	corrected
bracewell4	hab2lo	16	7.126511	corrected
bracewell4	hab2lo	17	7.061799	corrected
bracewell4	hab2lo	18	7.118415	corrected
bracewell4	hab2lo	19	6.996365	corrected
bracewell4	hab2lo	20	7.264075	corrected
bracewell4	hab2lo	21	6.847088	corrected
bracewell4	hab2lo	22	7.340029	corrected
bracewell4	hab2lo	23	6.699363	corrected
bracewell4	hab2lo	24	6.694095	corrected
bracewell4	hab2lo	25	7.035303	corrected
bracewell4	hab2lo	26	6.978473	corrected
bracewell4	hab2lo	27	7.133768	corrected
bracewell4	hab2lo	28	7.136793	corrected
bracewell4	hab2lo	29	6.973183	corrected
bracewell4	hab2lo	30	7.044684	corrected
bracewell4	hab2lo	31	6.966346	corrected
bracewell4	hab2lo	32	6.510197	corrected
bracewell4	hab2lo	33	7.262076	corrected
bracewell4	hab2lo	34	7.050416	corrected
bracewell4	hab2lo	35	7.274267	corrected
bracewell4	hab2lo	36	6.779492	corrected
bracewell4	hab2lo	37	6.595907	corrected
bracewell4	hab2lo	38	6.849915	corrected
bracewell4	hab2lo	39	7.054569	corrected
bracewell4	hab2lo	40	6.921431	corrected
bracewell4	hab2lo	41	6.848127	corrected
bracewell4	hab2lo	42	7.011751	corrected
bracewell4	hab2lo	43	6.848890	corrected
bracewell4	hab2lo	44	6.760587	corrected
bracewell4	hab2lo	45	6.714555	corrected
bracewell4	hab2lo	46	6.818739	corrected
bracewell4	hab2lo	47	7.164742	corrected
bracewell4	hab2lo	48	6.856753	corrected
bracewell4	hab2lo	49	6.755726	corrected
bracewell4	hab2lo	50	7.254920	corrected
bracewell4	hab2lo	51	6.845476	corrected
bracewell4	hab2lo	52	6.928468	corrected
bracewell4	hab2lo	53	7.003538	corrected
bracewell4	hab2lo	54	6.848992	corrected
bracewell4	hab2lo	55	7.174181	corrected
bracewell4	hab2lo	56	7.000219	corrected
bracewell4	hab2lo	57	6.946536	corrected
bracewell4	hab2lo	58	7.263876	corrected
bracewell4	hab2lo	59	6.955707	corrected
bracewell4	hab2lo	60	6.709544	corrected
bracewell4	hab2lo	61	6.881066	corrected
bracewell4	hab2lo	62	7.154380	corrected
bracewell4	hab2lo	63	7.122354	corrected
bracewell4	hab2lo	64	7.013335	corrected
bracewell4	hab2lo	65	7.088112	corrected
bracewell4	hab2lo	66	7.064504	corrected
bracewell4	hab2lo	67	6.795505	corrected
bracewell4	hab2lo	68	7.076821	corrected
bracewell4	hab2lo	69	7.028648	corrected
bracewell4	hab2lo	70	7.035325	corrected
bracewell4	hab2lo	71	6.812105	corrected
bracewell4	hab2lo	72	6.954904	corrected
bracewell4	hab2lo	73	7.129440	corrected
bracewell4	hab2lo	74	7.071029	corrected
bracewell4	hab2lo	75	6.705818	corrected
bracewell4	hab2lo	76	7.151115	corrected
bracewell4	hab2lo	77	6.871583	corrected
bracewell4	hab2lo	78	6.995451	corrected
bracewell4	hab2lo	79	7.647988	corrected
bracewell4	hab2lo	80	6.636869	corrected
bracewell4	hab2lo	81	6.877598	corrected
bracewell4	hab2lo	82	7.074825	corrected
bracewell4	hab2lo	83	7.235746	corrected
bracewell4	hab2lo	84	6.875620	corrected
bracewell4	hab2lo	85	7.157779	corrected
bracewell4	hab2lo	86	7.259773	corrected
bracewell4	hab2lo	87	6.767267	corrected
bracewell4	hab2lo	88	7.092214	corrected
bracewell4	hab2lo	89	6.627302	corrected
bracewell4	hab2lo	90	6.664848	corrected
bracewell4	hab2lo	91	6.827837	corrected
bracewell4	hab2lo	92	6.787628	corrected
bracewell4	hab2lo	93	6.982236	corrected
bracewell4	hab2lo	94	7.225747	corrected
bracewell4	hab2lo	95	6.839069	corrected
bracewell4	hab2lo	96	7.161773	corrected
bracewell4	hab2lo	97	6.903039	corrected
bracewell4	hab2lo	98	6.938925	corrected
bracewell4	hab2lo	99	7.012092	corrected
