design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2lo	100	7.053938	corrected
bracewell4	hab2lo	101	7.243112	corrected
bracewell4	hab2lo	102	6.811227	corrected
bracewell4	hab2lo	103	6.809113	corrected
bracewell4	hab2lo	104	6.725359	corrected
bracewell4	hab2lo	105	7.072833	corrected
bracewell4	hab2lo	106	7.249581	corrected
bracewell4	hab2lo	107	6.847158	corrected
bracewell4	hab2lo	108	6.655471	corrected
bracewell4	hab2lo	109	7.128892	corrected
bracewell4	hab2lo	110	6.749113	corrected
bracewell4	hab2lo	111	7.024811	corrected
bracewell4	hab2lo	112	7.156004	corrected
bracewell4	hab2lo	113	7.051177	corrected
bracewell4	hab2lo	114	7.193242	corrected
bracewell4	hab2lo	115	7.141888	corrected
bracewell4	hab2lo	116	6.956198	corrected
bracewell4	hab2lo	117	6.955000	corrected
bracewell4	hab2lo	118	7.059323	corrected
bracewell4	hab2lo	119	7.065036	corrected
bracewell4	hab2lo	120	7.185907	corrected
bracewell4	hab2lo	121	6.671061	corrected
bracewell4	hab2lo	122	7.137921	corrected
bracewell4	hab2lo	123	6.879829	corrected
bracewell4	hab2lo	124	7.091181	corrected
bracewell4	hab2lo	125	6.863671	corrected
bracewell4	hab2lo	126	6.935657	corrected
bracewell4	hab2lo	127	6.890307	corrected
bracewell4	hab2lo	128	6.934979	corrected
bracewell4	hab2lo	129	6.949706	corrected
bracewell4	hab2lo	130	6.797840	corrected
bracewell4	hab2lo	131	6.750849	corrected
bracewell4	hab2lo	132	6.632019	corrected
bracewell4	hab2lo	133	6.919106	corrected
bracewell4	hab2lo	134	6.990784	corrected
bracewell4	hab2lo	135	6.947390	corrected
bracewell4	hab2lo	136	7.085970	corrected
bracewell4	hab2lo	137	7.010092	corrected
bracewell4	hab2lo	138	6.996638	corrected
bracewell4	hab2lo	139	7.253855	corrected
bracewell4	hab2lo	140	7.079346	corrected
bracewell4	hab2lo	141	6.698844	corrected
bracewell4	hab2lo	142	6.842374	corrected
bracewell4	hab2lo	143	7.109363	corrected
bracewell4	hab2lo	144	7.206380	corrected
bracewell4	hab2lo	145	6.591666	corrected
bracewell4	hab2lo	146	6.821511	corrected
bracewell4	hab2lo	147	7.028486	corrected
bracewell4	hab2lo	148	6.824492	corrected
bracewell4	hab2lo	149	6.915915	corrected
bracewell4	hab2lo	150	7.108324	corrected
bracewell4	hab2lo	151	7.103570	corrected
bracewell4	hab2lo	152	6.355811	corrected
bracewell4	hab2lo	153	6.746170	corrected
bracewell4	hab2lo	154	6.808144	corrected
bracewell4	hab2lo	155	6.855140	corrected
bracewell4	hab2lo	156	6.738926	corrected
bracewell4	hab2lo	157	6.958887	corrected
bracewell4	hab2lo	158	7.074919	corrected
bracewell4	hab2lo	159	7.341899	corrected
bracewell4	hab2lo	160	6.962305	corrected
bracewell4	hab2lo	161	7.120687	corrected
bracewell4	hab2lo	162	7.071706	corrected
bracewell4	hab2lo	163	6.714458	corrected
bracewell4	hab2lo	164	7.135927	corrected
bracewell4	hab2lo	165	6.864759	corrected
bracewell4	hab2lo	166	6.900725	corrected
bracewell4	hab2lo	167	6.888186	corrected
bracewell4	hab2lo	168	6.793681	corrected
bracewell4	hab2lo	169	7.071451	corrected
bracewell4	hab2lo	170	7.092320	corrected
bracewell4	hab2lo	171	6.959568	corrected
bracewell4	hab2lo	172	6.783645	corrected
bracewell4	hab2lo	173	6.830594	corrected
bracewell4	hab2lo	174	7.067042	corrected
bracewell4	hab2lo	175	6.806253	corrected
bracewell4	hab2lo	176	7.030887	corrected
bracewell4	hab2lo	177	7.094685	corrected
bracewell4	hab2lo	178	6.834957	corrected
bracewell4	hab2lo	179	6.990194	corrected
bracewell4	hab2lo	180	6.969782	corrected
bracewell4	hab2lo	181	6.771290	corrected
bracewell4	hab2lo	182	7.033985	corrected
bracewell4	hab2lo	183	6.912657	corrected
bracewell4	hab2lo	184	7.081759	corrected
bracewell4	hab2lo	185	6.866768	corrected
bracewell4	hab2lo	186	7.061069	corrected
bracewell4	hab2lo	187	7.059702	corrected
bracewell4	hab2lo	188	7.040960	corrected
bracewell4	hab2lo	189	6.818951	corrected
bracewell4	hab2lo	190	6.984339	corrected
bracewell4	hab2lo	191	6.945831	corrected
bracewell4	hab2lo	192	6.866076	corrected
bracewell4	hab2lo	193	7.228382	corrected
bracewell4	hab2lo	194	6.896180	corrected
bracewell4	hab2lo	195	7.016125	corrected
bracewell4	hab2lo	196	7.092053	corrected
bracewell4	hab2lo	197	6.603936	corrected
bracewell4	hab2lo	198	6.934032	corrected
bracewell4	hab2lo	199	6.978196	corrected
