design	catalog	replicate	zero_budget_mtime_yr	scheduler
collinear4	hab2hi	0	3.150326	corrected
collinear4	hab2hi	1	3.143606	corrected
collinear4	hab2hi	2	3.120154	corrected
collinear4	hab2hi	3	3.261419	corrected
collinear4	hab2hi	4	3.192356	corrected
collinear4	hab2hi	5	3.185402	corrected
collinear4	hab2hi	6	3.184228	corrected
collinear4	hab2hi	7	3.283414	corrected
collinear4	hab2hi	8	3.268008	corrected
collinear4	hab2hi	9	3.103603	corrected
collinear4	hab2hi	10	3.211698	corrected
collinear4	hab2hi	11	3.182251	corrected
collinear4	hab2hi	12	3.038908	corrected
collinear4	hab2hi	13	3.276588	corrected
