design	catalog	replicate	zero_budget_mtime_yr	scheduler
collinear4	hab2hi	0	3.245530	corrected
collinear4	hab2hi	1	3.207985	corrected
collinear4	hab2hi	2	3.434307	corrected
collinear4	hab2hi	3	3.480378	corrected
collinear4	hab2hi	4	3.420918	corrected
collinear4	hab2hi	5	3.289357	corrected
collinear4	hab2hi	6	3.405677	corrected
collinear4	hab2hi	7	3.319513	corrected
collinear4	hab2hi	8	3.437525	corrected
collinear4	hab2hi	9	3.299126	corrected
collinear4	hab2hi	10	3.471960	corrected
collinear4	hab2hi	11	3.322564	corrected
collinear4	hab2hi	12	3.125712	corrected
collinear4	hab2hi	13	3.303703	corrected
collinear4	hab2hi	14	3.349669	corrected
collinear4	hab2hi	15	3.517565	corrected
collinear4	hab2hi	16	3.350921	corrected
collinear4	hab2hi	17	3.296018	corrected
collinear4	hab2hi	18	3.311483	corrected
collinear4	hab2hi	19	3.569303	corrected
collinear4	hab2hi	20	3.332644	corrected
collinear4	hab2hi	21	3.433776	corrected
collinear4	hab2hi	22	3.496603	corrected
collinear4	hab2hi	23	3.481806	corrected
collinear4	hab2hi	24	3.472624	corrected
collinear4	hab2hi	25	3.398982	corrected
collinear4	hab2hi	26	3.426707	corrected
collinear4	hab2hi	27	3.344907	corrected
collinear4	hab2hi	28	3.379182	corrected
collinear4	hab2hi	29	3.423765	corrected
collinear4	hab2hi	30	3.604803	corrected
collinear4	hab2hi	31	3.405998	corrected
collinear4	hab2hi	32	3.344685	corrected
collinear4	hab2hi	33	3.377239	corrected
collinear4	hab2hi	34	3.279569	corrected
collinear4	hab2hi	35	3.551801	corrected
collinear4	hab2hi	36	3.451696	corrected
collinear4	hab2hi	37	3.329137	corrected
collinear4	hab2hi	38	3.396622	corrected
collinear4	hab2hi	39	3.337597	corrected
collinear4	hab2hi	40	3.377598	corrected
collinear4	hab2hi	41	3.422790	corrected
collinear4	hab2hi	42	3.662779	corrected
collinear4	hab2hi	43	3.177770	corrected
collinear4	hab2hi	44	3.380980	corrected
collinear4	hab2hi	45	3.238185	corrected
collinear4	hab2hi	46	3.476199	corrected
collinear4	hab2hi	47	3.371978	corrected
collinear4	hab2hi	48	3.541833	corrected
collinear4	hab2hi	49	3.365343	corrected
