design	catalog	replicate	zero_budget_mtime_yr	scheduler
collinear4	hab2lo	0	4.200136	corrected
collinear4	hab2lo	1	4.231340	corrected
collinear4	hab2lo	2	4.224656	corrected
collinear4	hab2lo	3	4.285673	corrected
collinear4	hab2lo	4	4.224169	corrected
collinear4	hab2lo	5	4.201883	corrected
collinear4	hab2lo	6	4.402059	corrected
collinear4	hab2lo	7	4.069523	corrected
collinear4	hab2lo	8	3.989339	corrected
collinear4	hab2lo	9	4.335429	corrected
collinear4	hab2lo	10	4.404536	corrected
collinear4	hab2lo	11	4.266550	corrected
collinear4	hab2lo	12	4.115709	corrected
collinear4	hab2lo	13	4.273900	corrected
