design	catalog	replicate	zero_budget_mtime_yr	scheduler
collinear4	hab2lo	0	4.606178	corrected
collinear4	hab2lo	1	4.591244	corrected
collinear4	hab2lo	2	4.581868	corrected
collinear4	hab2lo	3	4.673943	corrected
collinear4	hab2lo	4	4.544103	corrected
collinear4	hab2lo	5	4.748175	corrected
collinear4	hab2lo	6	4.660182	corrected
collinear4	hab2lo	7	4.380609	corrected
collinear4	hab2lo	8	4.393504	corrected
collinear4	hab2lo	9	4.724428	corrected
collinear4	hab2lo	10	4.881630	corrected
collinear4	hab2lo	11	4.727804	corrected
collinear4	hab2lo	12	4.530583	corrected
collinear4	hab2lo	13	4.555200	corrected
collinear4	hab2lo	14	4.520101	corrected
collinear4	hab2lo	15	4.596641	corrected
collinear4	hab2lo	16	4.647038	corrected
collinear4	hab2lo	17	4.564255	corrected
collinear4	hab2lo	18	4.685546	corrected
collinear4	hab2lo	19	4.666440	corrected
collinear4	hab2lo	20	4.854178	corrected
collinear4	hab2lo	21	4.605217	corrected
collinear4	hab2lo	22	4.602365	corrected
collinear4	hab2lo	23	4.554245	corrected
collinear4	hab2lo	24	4.517235	corrected
collinear4	hab2lo	25	4.740457	corrected
collinear4	hab2lo	26	4.702453	corrected
collinear4	hab2lo	27	4.706732	corrected
collinear4	hab2lo	28	4.667917	corrected
collinear4	hab2lo	29	4.642069	corrected
collinear4	hab2lo	30	4.675059	corrected
collinear4	hab2lo	31	4.726586	corrected
collinear4	hab2lo	32	4.431074	corrected
collinear4	hab2lo	33	4.659792	corrected
collinear4	hab2lo	34	4.639829	corrected
collinear4	hab2lo	35	4.867083	corrected
collinear4	hab2lo	36	4.771495	corrected
collinear4	hab2lo	37	4.403431	corrected
collinear4	hab2lo	38	4.558509	corrected
collinear4	hab2lo	39	4.466759	corrected
collinear4	hab2lo	40	4.712959	corrected
collinear4	hab2lo	41	4.651909	corrected
collinear4	hab2lo	42	4.549363	corrected
collinear4	hab2lo	43	4.702891	corrected
collinear4	hab2lo	44	4.642371	corrected
collinear4	hab2lo	45	4.594237	corrected
collinear4	hab2lo	46	4.399128	corrected
collinear4	hab2lo	47	4.708842	corrected
collinear4	hab2lo	48	4.668665	corrected
collinear4	hab2lo	49	4.419243	corrected
