design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_deep	hab2hi	0	5.116320	corrected
kernel5_deep	hab2hi	1	5.189318	corrected
kernel5_deep	hab2hi	2	5.180167	corrected
kernel5_deep	hab2hi	3	5.288591	corrected
kernel5_deep	hab2hi	4	5.266408	corrected
kernel5_deep	hab2hi	5	5.073232	corrected
kernel5_deep	hab2hi	6	5.215663	corrected
kernel5_deep	hab2hi	7	5.265816	corrected
kernel5_deep	hab2hi	8	5.387455	corrected
kernel5_deep	hab2hi	9	5.076522	corrected
kernel5_deep	hab2hi	10	5.303116	corrected
kernel5_deep	hab2hi	11	5.226592	corrected
kernel5_deep	hab2hi	12	5.079188	corrected
kernel5_deep	hab2hi	13	5.321670	corrected
