design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_deep	hab2hi	0	5.140754	corrected
kernel5_deep	hab2hi	1	5.201263	corrected
kernel5_deep	hab2hi	2	5.241380	corrected
kernel5_deep	hab2hi	3	5.248770	corrected
kernel5_deep	hab2hi	4	5.302350	corrected
kernel5_deep	hab2hi	5	5.255812	corrected
kernel5_deep	hab2hi	6	5.218118	corrected
kernel5_deep	hab2hi	7	5.204259	corrected
kernel5_deep	hab2hi	8	5.345044	corrected
kernel5_deep	hab2hi	9	5.265795	corrected
kernel5_deep	hab2hi	10	5.414527	corrected
kernel5_deep	hab2hi	11	5.216250	corrected
kernel5_deep	hab2hi	12	5.180223	corrected
kernel5_deep	hab2hi	13	5.307155	corrected
kernel5_deep	hab2hi	14	5.068448	corrected
kernel5_deep	hab2hi	15	5.396386	corrected
kernel5_deep	hab2hi	16	5.121034	corrected
kernel5_deep	hab2hi	17	5.168968	corrected
kernel5_deep	hab2hi	18	5.308067	corrected
kernel5_deep	hab2hi	19	5.310684	corrected
kernel5_deep	hab2hi	20	5.240977	corrected
kernel5_deep	hab2hi	21	5.222143	corrected
kernel5_deep	hab2hi	22	5.257535	corrected
kernel5_deep	hab2hi	23	5.384576	corrected
kernel5_deep	hab2hi	24	5.296868	corrected
kernel5_deep	hab2hi	25	5.401143	corrected
kernel5_deep	hab2hi	26	5.437401	corrected
kernel5_deep	hab2hi	27	5.260589	corrected
kernel5_deep	hab2hi	28	5.154877	corrected
kernel5_deep	hab2hi	29	5.293472	corrected
kernel5_deep	hab2hi	30	5.453785	corrected
kernel5_deep	hab2hi	31	5.360094	corrected
kernel5_deep	hab2hi	32	5.125224	corrected
kernel5_deep	hab2hi	33	5.274768	corrected
kernel5_deep	hab2hi	34	5.284362	corrected
kernel5_deep	hab2hi	35	5.458654	corrected
kernel5_deep	hab2hi	36	5.233114	corrected
kernel5_deep	hab2hi	37	5.281206	corrected
kernel5_deep	hab2hi	38	5.288737	corrected
kernel5_deep	hab2hi	39	5.173452	corrected
kernel5_deep	hab2hi	40	5.085928	corrected
kernel5_deep	hab2hi	41	5.276094	corrected
kernel5_deep	hab2hi	42	5.286366	corrected
kernel5_deep	hab2hi	43	4.999438	corrected
kernel5_deep	hab2hi	44	5.081832	corrected
kernel5_deep	hab2hi	45	5.205537	corrected
kernel5_deep	hab2hi	46	5.397598	corrected
kernel5_deep	hab2hi	47	5.187552	corrected
kernel5_deep	hab2hi	48	5.266660	corrected
kernel5_deep	hab2hi	49	5.322780	corrected
