design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_deep	hab2lo	0	7.422837	corrected
kernel5_deep	hab2lo	1	7.048345	corrected
kernel5_deep	hab2lo	2	6.889856	corrected
kernel5_deep	hab2lo	3	7.082905	corrected
kernel5_deep	hab2lo	4	7.320481	corrected
kernel5_deep	hab2lo	5	7.247264	corrected
kernel5_deep	hab2lo	6	7.339444	corrected
kernel5_deep	hab2lo	7	7.132174	corrected
kernel5_deep	hab2lo	8	7.103355	corrected
kernel5_deep	hab2lo	9	7.196858	corrected
kernel5_deep	hab2lo	10	7.422253	corrected
kernel5_deep	hab2lo	11	7.301805	corrected
kernel5_deep	hab2lo	12	7.149564	corrected
kernel5_deep	hab2lo	13	7.341970	corrected
