design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_deep	hab2lo	0	7.418189	corrected
kernel5_deep	hab2lo	1	7.449966	corrected
kernel5_deep	hab2lo	2	7.281958	corrected
kernel5_deep	hab2lo	3	7.239179	corrected
kernel5_deep	hab2lo	4	7.338165	corrected
kernel5_deep	hab2lo	5	7.516341	corrected
kernel5_deep	hab2lo	6	7.562944	corrected
kernel5_deep	hab2lo	7	7.372863	corrected
kernel5_deep	hab2lo	8	7.245413	corrected
kernel5_deep	hab2lo	9	7.354078	corrected
kernel5_deep	hab2lo	10	7.442705	corrected
kernel5_deep	hab2lo	11	7.449201	corrected
kernel5_deep	hab2lo	12	7.332559	corrected
kernel5_deep	hab2lo	13	6.989775	corrected
kernel5_deep	hab2lo	14	7.393313	corrected
kernel5_deep	hab2lo	15	6.942977	corrected
kernel5_deep	hab2lo	16	7.414353	corrected
kernel5_deep	hab2lo	17	7.366297	corrected
kernel5_deep	hab2lo	18	7.552123	corrected
kernel5_deep	hab2lo	19	7.378287	corrected
kernel5_deep	hab2lo	20	7.630450	corrected
kernel5_deep	hab2lo	21	7.066122	corrected
kernel5_deep	hab2lo	22	7.746204	corrected
kernel5_deep	hab2lo	23	6.972010	corrected
kernel5_deep	hab2lo	24	7.052567	corrected
kernel5_deep	hab2lo	25	7.637955	corrected
kernel5_deep	hab2lo	26	7.569530	corrected
kernel5_deep	hab2lo	27	7.440872	corrected
kernel5_deep	hab2lo	28	7.308372	corrected
kernel5_deep	hab2lo	29	7.369355	corrected
kernel5_deep	hab2lo	30	7.433584	corrected
kernel5_deep	hab2lo	31	7.499417	corrected
kernel5_deep	hab2lo	32	7.041238	corrected
kernel5_deep	hab2lo	33	7.707502	corrected
kernel5_deep	hab2lo	34	7.342573	corrected
kernel5_deep	hab2lo	35	7.320040	corrected
kernel5_deep	hab2lo	36	6.771599	corrected
kernel5_deep	hab2lo	37	7.130168	corrected
kernel5_deep	hab2lo	38	7.376463	corrected
kernel5_deep	hab2lo	39	7.121032	corrected
kernel5_deep	hab2lo	40	7.818863	corrected
kernel5_deep	hab2lo	41	7.172953	corrected
kernel5_deep	hab2lo	42	7.562712	corrected
kernel5_deep	hab2lo	43	7.327589	corrected
kernel5_deep	hab2lo	44	7.143067	corrected
kernel5_deep	hab2lo	45	7.060946	corrected
kernel5_deep	hab2lo	46	7.297273	corrected
kernel5_deep	hab2lo	47	7.405819	corrected
kernel5_deep	hab2lo	48	7.310715	corrected
kernel5_deep	hab2lo	49	7.027157	corrected
