design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_shallow	hab2hi	0	15.107100	corrected
kernel5_shallow	hab2hi	1	14.789500	corrected
kernel5_shallow	hab2hi	2	14.821508	corrected
kernel5_shallow	hab2hi	3	15.242658	corrected
kernel5_shallow	hab2hi	4	15.125290	corrected
kernel5_shallow	hab2hi	5	15.056038	corrected
kernel5_shallow	hab2hi	6	15.041065	corrected
kernel5_shallow	hab2hi	7	15.167322	corrected
kernel5_shallow	hab2hi	8	15.728205	corrected
kernel5_shallow	hab2hi	9	15.515114	corrected
kernel5_shallow	hab2hi	10	15.470394	corrected
kernel5_shallow	hab2hi	11	15.132980	corrected
kernel5_shallow	hab2hi	12	14.215518	corrected
kernel5_shallow	hab2hi	13	14.788179	corrected
