design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_shallow	hab2hi	0	17.674878	corrected
kernel5_shallow	hab2hi	1	18.113669	corrected
kernel5_shallow	hab2hi	2	18.133705	corrected
kernel5_shallow	hab2hi	3	17.815706	corrected
kernel5_shallow	hab2hi	4	17.819394	corrected
kernel5_shallow	hab2hi	5	17.413839	corrected
kernel5_shallow	hab2hi	6	17.459666	corrected
kernel5_shallow	hab2hi	7	17.663501	corrected
kernel5_shallow	hab2hi	8	17.662712	corrected
kernel5_shallow	hab2hi	9	18.677495	corrected
kernel5_shallow	hab2hi	10	18.377118	corrected
kernel5_shallow	hab2hi	11	18.041474	corrected
kernel5_shallow	hab2hi	12	17.547767	corrected
kernel5_shallow	hab2hi	13	18.158206	corrected
