design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_shallow	hab2lo	0	22.506407	corrected
kernel5_shallow	hab2lo	1	21.506595	corrected
kernel5_shallow	hab2lo	2	21.440628	corrected
kernel5_shallow	hab2lo	3	20.799044	corrected
kernel5_shallow	hab2lo	4	20.652987	corrected
kernel5_shallow	hab2lo	5	21.376701	corrected
kernel5_shallow	hab2lo	6	22.257505	corrected
kernel5_shallow	hab2lo	7	20.996245	corrected
kernel5_shallow	hab2lo	8	20.787413	corrected
kernel5_shallow	hab2lo	9	21.239718	corrected
kernel5_shallow	hab2lo	10	21.125860	corrected
kernel5_shallow	hab2lo	11	21.344430	corrected
kernel5_shallow	hab2lo	12	21.697289	corrected
kernel5_shallow	hab2lo	13	20.922242	corrected
