design	catalog	replicate	zero_budget_mtime_yr	scheduler
kernel5_shallow	hab2lo	0	28.508795	corrected
kernel5_shallow	hab2lo	1	27.498639	corrected
kernel5_shallow	hab2lo	2	28.805710	corrected
kernel5_shallow	hab2lo	3	29.066325	corrected
kernel5_shallow	hab2lo	4	29.800521	corrected
kernel5_shallow	hab2lo	5	28.533062	corrected
kernel5_shallow	hab2lo	6	28.790931	corrected
kernel5_shallow	hab2lo	7	28.338637	corrected
kernel5_shallow	hab2lo	8	27.594491	corrected
kernel5_shallow	hab2lo	9	28.909932	corrected
kernel5_shallow	hab2lo	10	27.180538	corrected
kernel5_shallow	hab2lo	11	29.094222	corrected
kernel5_shallow	hab2lo	12	28.188664	corrected
kernel5_shallow	hab2lo	13	27.309655	corrected
