design	catalog	replicate	zero_budget_mtime_yr	scheduler
triple6	hab2hi	0	3.529889	corrected
triple6	hab2hi	1	3.549522	corrected
triple6	hab2hi	2	3.522503	corrected
triple6	hab2hi	3	3.530467	corrected
triple6	hab2hi	4	3.569605	corrected
triple6	hab2hi	5	3.492822	corrected
triple6	hab2hi	6	3.466899	corrected
triple6	hab2hi	7	3.516274	corrected
triple6	hab2hi	8	3.530076	corrected
triple6	hab2hi	9	3.456694	corrected
triple6	hab2hi	10	3.587449	corrected
triple6	hab2hi	11	3.466565	corrected
triple6	hab2hi	12	3.482953	corrected
triple6	hab2hi	13	3.579675	corrected
