design	catalog	replicate	zero_budget_mtime_yr	scheduler
triple6	hab2hi	0	3.523245	corrected
triple6	hab2hi	1	3.571970	corrected
triple6	hab2hi	2	3.492086	corrected
triple6	hab2hi	3	3.698879	corrected
triple6	hab2hi	4	3.551458	corrected
triple6	hab2hi	5	3.560088	corrected
triple6	hab2hi	6	3.529109	corrected
triple6	hab2hi	7	3.499433	corrected
triple6	hab2hi	8	3.564570	corrected
triple6	hab2hi	9	3.575677	corrected
triple6	hab2hi	10	3.614510	corrected
triple6	hab2hi	11	3.498046	corrected
triple6	hab2hi	12	3.493636	corrected
triple6	hab2hi	13	3.551640	corrected
triple6	hab2hi	14	3.489669	corrected
triple6	hab2hi	15	3.697380	corrected
triple6	hab2hi	16	3.492391	corrected
triple6	hab2hi	17	3.471646	corrected
triple6	hab2hi	18	3.467775	corrected
triple6	hab2hi	19	3.470846	corrected
triple6	hab2hi	20	3.519035	corrected
triple6	hab2hi	21	3.595935	corrected
triple6	hab2hi	22	3.629356	corrected
triple6	hab2hi	23	3.620273	corrected
triple6	hab2hi	24	3.619234	corrected
triple6	hab2hi	25	3.659105	corrected
triple6	hab2hi	26	3.607815	corrected
triple6	hab2hi	27	3.581498	corrected
triple6	hab2hi	28	3.478838	corrected
triple6	hab2hi	29	3.611043	corrected
triple6	hab2hi	30	3.671971	corrected
triple6	hab2hi	31	3.588777	corrected
triple6	hab2hi	32	3.565008	corrected
triple6	hab2hi	33	3.524215	corrected
triple6	hab2hi	34	3.595935	corrected
triple6	hab2hi	35	3.610653	corrected
triple6	hab2hi	36	3.485397	corrected
triple6	hab2hi	37	3.512919	corrected
triple6	hab2hi	38	3.564550	corrected
triple6	hab2hi	39	3.422401	corrected
triple6	hab2hi	40	3.457933	corrected
triple6	hab2hi	41	3.670575	corrected
triple6	hab2hi	42	3.591269	corrected
triple6	hab2hi	43	3.370471	corrected
triple6	hab2hi	44	3.364518	corrected
triple6	hab2hi	45	3.480506	corrected
triple6	hab2hi	46	3.666765	corrected
triple6	hab2hi	47	3.427269	corrected
triple6	hab2hi	48	3.664065	corrected
triple6	hab2hi	49	3.593745	corrected
triple6	hab2hi	50	3.722189	corrected
triple6	hab2hi	51	3.625634	corrected
triple6	hab2hi	52	3.530728	corrected
triple6	hab2hi	53	3.651709	corrected
triple6	hab2hi	54	3.484494	corrected
triple6	hab2hi	55	3.809155	corrected
triple6	hab2hi	56	3.489949	corrected
triple6	hab2hi	57	3.517116	corrected
triple6	hab2hi	58	3.601884	corrected
triple6	hab2hi	59	3.455754	corrected
triple6	hab2hi	60	3.378867	corrected
triple6	hab2hi	61	3.788497	corrected
triple6	hab2hi	62	3.552800	corrected
triple6	hab2hi	63	3.559389	corrected
triple6	hab2hi	64	3.419788	corrected
triple6	hab2hi	65	3.609792	corrected
triple6	hab2hi	66	3.704326	corrected
triple6	hab2hi	67	3.473000	corrected
triple6	hab2hi	68	3.582233	corrected
triple6	hab2hi	69	3.622280	corrected
triple6	hab2hi	70	3.480672	corrected
triple6	hab2hi	71	3.649430	corrected
triple6	hab2hi	72	3.635222	corrected
triple6	hab2hi	73	3.426870	corrected
triple6	hab2hi	74	3.542707	corrected
triple6	hab2hi	75	3.541943	corrected
triple6	hab2hi	76	3.669195	corrected
triple6	hab2hi	77	3.489917	corrected
triple6	hab2hi	78	3.634689	corrected
triple6	hab2hi	79	3.499615	corrected
triple6	hab2hi	80	3.463403	corrected
triple6	hab2hi	81	3.511571	corrected
triple6	hab2hi	82	3.744696	corrected
triple6	hab2hi	83	3.617644	corrected
triple6	hab2hi	84	3.607637	corrected
triple6	hab2hi	85	3.443824	corrected
triple6	hab2hi	86	3.548077	corrected
triple6	hab2hi	87	3.478194	corrected
triple6	hab2hi	88	3.650523	corrected
triple6	hab2hi	89	3.451763	corrected
triple6	hab2hi	90	3.456872	corrected
triple6	hab2hi	91	3.404180	corrected
triple6	hab2hi	92	3.466268	corrected
triple6	hab2hi	93	3.509158	corrected
triple6	hab2hi	94	3.602921	corrected
triple6	hab2hi	95	3.608022	corrected
triple6	hab2hi	96	3.664859	corrected
triple6	hab2hi	97	3.838796	corrected
triple6	hab2hi	98	3.493541	corrected
triple6	hab2hi	99	3.504152	corrected
