design	catalog	replicate	zero_budget_mtime_yr	scheduler
triple6	hab2hi	100	3.577944	corrected
triple6	hab2hi	101	3.416751	corrected
triple6	hab2hi	102	3.583438	corrected
triple6	hab2hi	103	3.592623	corrected
triple6	hab2hi	104	3.497392	corrected
triple6	hab2hi	105	3.884174	corrected
triple6	hab2hi	106	3.520467	corrected
triple6	hab2hi	107	3.509132	corrected
triple6	hab2hi	108	3.462578	corrected
triple6	hab2hi	109	3.580964	corrected
triple6	hab2hi	110	3.626640	corrected
triple6	hab2hi	111	3.576473	corrected
triple6	hab2hi	112	3.545733	corrected
triple6	hab2hi	113	3.638860	corrected
triple6	hab2hi	114	3.319525	corrected
triple6	hab2hi	115	3.625522	corrected
triple6	hab2hi	116	3.496984	corrected
triple6	hab2hi	117	3.701610	corrected
triple6	hab2hi	118	3.622931	corrected
triple6	hab2hi	119	3.689576	corrected
triple6	hab2hi	120	3.754740	corrected
triple6	hab2hi	121	3.434844	corrected
triple6	hab2hi	122	3.503746	corrected
triple6	hab2hi	123	3.587821	corrected
triple6	hab2hi	124	3.549704	corrected
triple6	hab2hi	125	3.394891	corrected
triple6	hab2hi	126	3.402660	corrected
triple6	hab2hi	127	3.596618	corrected
triple6	hab2hi	128	3.371199	corrected
triple6	hab2hi	129	3.529293	corrected
triple6	hab2hi	130	3.523729	corrected
triple6	hab2hi	131	3.441701	corrected
triple6	hab2hi	132	3.585265	corrected
triple6	hab2hi	133	3.488330	corrected
triple6	hab2hi	134	3.499955	corrected
triple6	hab2hi	135	3.506039	corrected
triple6	hab2hi	136	3.608069	corrected
triple6	hab2hi	137	3.600594	corrected
triple6	hab2hi	138	3.453412	corrected
triple6	hab2hi	139	3.526324	corrected
triple6	hab2hi	140	3.645345	corrected
triple6	hab2hi	141	3.487111	corrected
triple6	hab2hi	142	3.582014	corrected
triple6	hab2hi	143	3.508491	corrected
triple6	hab2hi	144	3.550334	corrected
triple6	hab2hi	145	3.669839	corrected
triple6	hab2hi	146	3.558635	corrected
triple6	hab2hi	147	3.505031	corrected
triple6	hab2hi	148	3.679558	corrected
triple6	hab2hi	149	3.579296	corrected
triple6	hab2hi	150	3.392953	corrected
triple6	hab2hi	151	3.461936	corrected
triple6	hab2hi	152	3.514313	corrected
triple6	hab2hi	153	3.773190	corrected
triple6	hab2hi	154	3.488383	corrected
triple6	hab2hi	155	3.543780	corrected
triple6	hab2hi	156	3.476130	corrected
triple6	hab2hi	157	3.555893	corrected
triple6	hab2hi	158	3.512171	corrected
triple6	hab2hi	159	3.449107	corrected
triple6	hab2hi	160	3.449023	corrected
triple6	hab2hi	161	3.582439	corrected
triple6	hab2hi	162	3.462595	corrected
triple6	hab2hi	163	3.463930	corrected
triple6	hab2hi	164	3.719204	corrected
triple6	hab2hi	165	3.553368	corrected
triple6	hab2hi	166	3.580011	corrected
triple6	hab2hi	167	3.667445	corrected
triple6	hab2hi	168	3.459194	corrected
triple6	hab2hi	169	3.542043	corrected
triple6	hab2hi	170	3.548846	corrected
triple6	hab2hi	171	3.497808	corrected
triple6	hab2hi	172	3.718654	corrected
triple6	hab2hi	173	3.508523	corrected
triple6	hab2hi	174	3.497575	corrected
triple6	hab2hi	175	3.347297	corrected
triple6	hab2hi	176	3.542573	corrected
triple6	hab2hi	177	3.583100	corrected
triple6	hab2hi	178	3.479243	corrected
triple6	hab2hi	179	3.605940	corrected
triple6	hab2hi	180	3.492750	corrected
triple6	hab2hi	181	3.708968	corrected
triple6	hab2hi	182	3.531370	corrected
triple6	hab2hi	183	3.411497	corrected
triple6	hab2hi	184	3.569452	corrected
triple6	hab2hi	185	3.474705	corrected
triple6	hab2hi	186	3.577827	corrected
triple6	hab2hi	187	3.503647	corrected
triple6	hab2hi	188	3.576641	corrected
triple6	hab2hi	189	3.447211	corrected
triple6	hab2hi	190	3.458952	corrected
triple6	hab2hi	191	3.690410	corrected
triple6	hab2hi	192	3.667710	corrected
triple6	hab2hi	193	3.728173	corrected
triple6	hab2hi	194	3.602122	corrected
triple6	hab2hi	195	3.584257	corrected
triple6	hab2hi	196	3.509229	corrected
triple6	hab2hi	197	3.740870	corrected
triple6	hab2hi	198	3.572715	corrected
triple6	hab2hi	199	3.521618	corrected
