design	catalog	replicate	zero_budget_mtime_yr	scheduler
triple6	hab2lo	0	4.837317	corrected
triple6	hab2lo	1	4.677184	corrected
triple6	hab2lo	2	4.856157	corrected
triple6	hab2lo	3	4.712494	corrected
triple6	hab2lo	4	4.754739	corrected
triple6	hab2lo	5	4.794575	corrected
triple6	hab2lo	6	4.782387	corrected
triple6	hab2lo	7	4.680549	corrected
triple6	hab2lo	8	4.665254	corrected
triple6	hab2lo	9	4.637683	corrected
triple6	hab2lo	10	4.783184	corrected
triple6	hab2lo	11	4.824555	corrected
triple6	hab2lo	12	4.646898	corrected
triple6	hab2lo	13	4.626742	corrected
