design	catalog	replicate	zero_budget_mtime_yr	scheduler
triple6	hab2lo	0	4.899971	corrected
triple6	hab2lo	1	4.757659	corrected
triple6	hab2lo	2	4.950065	corrected
triple6	hab2lo	3	4.794602	corrected
triple6	hab2lo	4	4.919711	corrected
triple6	hab2lo	5	4.934485	corrected
triple6	hab2lo	6	5.073032	corrected
triple6	hab2lo	7	4.778086	corrected
triple6	hab2lo	8	4.701601	corrected
triple6	hab2lo	9	4.990204	corrected
triple6	hab2lo	10	4.920317	corrected
triple6	hab2lo	11	4.914094	corrected
triple6	hab2lo	12	4.719681	corrected
triple6	hab2lo	13	4.802902	corrected
triple6	hab2lo	14	4.661451	corrected
triple6	hab2lo	15	4.789192	corrected
triple6	hab2lo	16	4.932006	corrected
triple6	hab2lo	17	4.706486	corrected
triple6	hab2lo	18	4.981567	corrected
triple6	hab2lo	19	4.772512	corrected
triple6	hab2lo	20	5.013844	corrected
triple6	hab2lo	21	4.823079	corrected
triple6	hab2lo	22	5.001429	corrected
triple6	hab2lo	23	4.572296	corrected
triple6	hab2lo	24	4.692997	corrected
triple6	hab2lo	25	4.864594	corrected
triple6	hab2lo	26	4.980848	corrected
triple6	hab2lo	27	4.842146	corrected
triple6	hab2lo	28	4.803160	corrected
triple6	hab2lo	29	4.890832	corrected
triple6	hab2lo	30	4.809003	corrected
triple6	hab2lo	31	4.974990	corrected
triple6	hab2lo	32	4.608804	corrected
triple6	hab2lo	33	4.955327	corrected
triple6	hab2lo	34	4.908926	corrected
triple6	hab2lo	35	4.769676	corrected
triple6	hab2lo	36	4.785376	corrected
triple6	hab2lo	37	4.722549	corrected
triple6	hab2lo	38	4.895939	corrected
triple6	hab2lo	39	4.787292	corrected
triple6	hab2lo	40	4.870552	corrected
triple6	hab2lo	41	4.730470	corrected
triple6	hab2lo	42	4.819596	corrected
triple6	hab2lo	43	4.804825	corrected
triple6	hab2lo	44	4.817870	corrected
triple6	hab2lo	45	4.752736	corrected
triple6	hab2lo	46	4.868074	corrected
triple6	hab2lo	47	5.064903	corrected
triple6	hab2lo	48	4.862386	corrected
triple6	hab2lo	49	4.607365	corrected
triple6	hab2lo	50	4.912407	corrected
triple6	hab2lo	51	4.922014	corrected
triple6	hab2lo	52	4.792210	corrected
triple6	hab2lo	53	4.688160	corrected
triple6	hab2lo	54	4.819797	corrected
triple6	hab2lo	55	4.869640	corrected
triple6	hab2lo	56	4.939038	corrected
triple6	hab2lo	57	4.807144	corrected
triple6	hab2lo	58	4.868537	corrected
triple6	hab2lo	59	4.723736	corrected
triple6	hab2lo	60	4.847996	corrected
triple6	hab2lo	61	4.819790	corrected
triple6	hab2lo	62	4.965609	corrected
triple6	hab2lo	63	4.981416	corrected
triple6	hab2lo	64	4.843664	corrected
triple6	hab2lo	65	4.928622	corrected
triple6	hab2lo	66	5.005172	corrected
triple6	hab2lo	67	4.636969	corrected
triple6	hab2lo	68	4.784736	corrected
triple6	hab2lo	69	4.893899	corrected
triple6	hab2lo	70	4.742033	corrected
triple6	hab2lo	71	4.618460	corrected
triple6	hab2lo	72	4.701314	corrected
triple6	hab2lo	73	4.889781	corrected
triple6	hab2lo	74	4.942613	corrected
triple6	hab2lo	75	4.748488	corrected
triple6	hab2lo	76	5.060978	corrected
triple6	hab2lo	77	4.927292	corrected
triple6	hab2lo	78	4.848176	corrected
triple6	hab2lo	79	5.060707	corrected
triple6	hab2lo	80	4.448570	corrected
triple6	hab2lo	81	4.819276	corrected
triple6	hab2lo	82	4.714793	corrected
triple6	hab2lo	83	4.875184	corrected
triple6	hab2lo	84	4.837378	corrected
triple6	hab2lo	85	4.898111	corrected
triple6	hab2lo	86	5.034065	corrected
triple6	hab2lo	87	4.696321	corrected
triple6	hab2lo	88	4.662197	corrected
triple6	hab2lo	89	4.515394	corrected
triple6	hab2lo	90	4.786900	corrected
triple6	hab2lo	91	4.865054	corrected
triple6	hab2lo	92	4.819150	corrected
triple6	hab2lo	93	4.746260	corrected
triple6	hab2lo	94	4.898291	corrected
triple6	hab2lo	95	4.880928	corrected
triple6	hab2lo	96	4.839082	corrected
triple6	hab2lo	97	4.712798	corrected
triple6	hab2lo	98	4.813114	corrected
triple6	hab2lo	99	4.820991	corrected
