design	catalog	replicate	zero_budget_mtime_yr	scheduler
triple6	hab2lo	200	4.820731	corrected
triple6	hab2lo	201	4.841419	corrected
triple6	hab2lo	202	4.908722	corrected
triple6	hab2lo	203	4.766629	corrected
triple6	hab2lo	204	4.728638	corrected
triple6	hab2lo	205	4.632434	corrected
triple6	hab2lo	206	4.602878	corrected
triple6	hab2lo	207	4.481768	corrected
triple6	hab2lo	208	4.892784	corrected
triple6	hab2lo	209	4.873849	corrected
triple6	hab2lo	210	4.642910	corrected
triple6	hab2lo	211	4.819496	corrected
triple6	hab2lo	212	4.786423	corrected
triple6	hab2lo	213	4.773645	corrected
triple6	hab2lo	214	4.781500	corrected
triple6	hab2lo	215	4.529425	corrected
triple6	hab2lo	216	4.767090	corrected
triple6	hab2lo	217	4.876935	corrected
triple6	hab2lo	218	5.012457	corrected
triple6	hab2lo	219	4.587095	corrected
triple6	hab2lo	220	4.825402	corrected
triple6	hab2lo	221	4.788434	corrected
triple6	hab2lo	222	4.660691	corrected
triple6	hab2lo	223	4.664835	corrected
triple6	hab2lo	224	4.740828	corrected
triple6	hab2lo	225	4.654474	corrected
triple6	hab2lo	226	4.855258	corrected
triple6	hab2lo	227	4.824042	corrected
triple6	hab2lo	228	4.905604	corrected
triple6	hab2lo	229	4.797259	corrected
triple6	hab2lo	230	4.843300	corrected
triple6	hab2lo	231	4.875486	corrected
triple6	hab2lo	232	4.698970	corrected
triple6	hab2lo	233	4.824174	corrected
triple6	hab2lo	234	4.874846	corrected
triple6	hab2lo	235	4.749294	corrected
triple6	hab2lo	236	4.853486	corrected
triple6	hab2lo	237	4.963278	corrected
triple6	hab2lo	238	4.847619	corrected
triple6	hab2lo	239	4.874224	corrected
triple6	hab2lo	240	4.724422	corrected
triple6	hab2lo	241	4.861519	corrected
triple6	hab2lo	242	4.985083	corrected
triple6	hab2lo	243	4.737986	corrected
triple6	hab2lo	244	4.731425	corrected
triple6	hab2lo	245	5.091607	corrected
triple6	hab2lo	246	4.792393	corrected
triple6	hab2lo	247	4.923497	corrected
triple6	hab2lo	248	4.905668	corrected
triple6	hab2lo	249	4.886744	corrected
triple6	hab2lo	250	4.682009	corrected
triple6	hab2lo	251	4.894760	corrected
triple6	hab2lo	252	4.932087	corrected
triple6	hab2lo	253	4.708533	corrected
triple6	hab2lo	254	4.820208	corrected
triple6	hab2lo	255	4.679778	corrected
triple6	hab2lo	256	5.093540	corrected
triple6	hab2lo	257	4.713691	corrected
triple6	hab2lo	258	4.762022	corrected
triple6	hab2lo	259	4.886293	corrected
triple6	hab2lo	260	4.748125	corrected
triple6	hab2lo	261	4.799410	corrected
triple6	hab2lo	262	4.897877	corrected
triple6	hab2lo	263	4.899980	corrected
triple6	hab2lo	264	4.612100	corrected
triple6	hab2lo	265	4.803587	corrected
triple6	hab2lo	266	4.936444	corrected
triple6	hab2lo	267	4.719939	corrected
triple6	hab2lo	268	4.780948	corrected
triple6	hab2lo	269	4.700871	corrected
triple6	hab2lo	270	4.837388	corrected
triple6	hab2lo	271	4.624477	corrected
triple6	hab2lo	272	4.878146	corrected
triple6	hab2lo	273	4.750374	corrected
triple6	hab2lo	274	5.014709	corrected
triple6	hab2lo	275	4.668932	corrected
triple6	hab2lo	276	5.013696	corrected
triple6	hab2lo	277	4.758685	corrected
triple6	hab2lo	278	4.704351	corrected
triple6	hab2lo	279	4.722030	corrected
triple6	hab2lo	280	4.796098	corrected
triple6	hab2lo	281	4.983292	corrected
triple6	hab2lo	282	4.796089	corrected
triple6	hab2lo	283	5.111081	corrected
triple6	hab2lo	284	4.952072	corrected
triple6	hab2lo	285	4.891956	corrected
triple6	hab2lo	286	5.126646	corrected
triple6	hab2lo	287	4.898375	corrected
triple6	hab2lo	288	4.753860	corrected
triple6	hab2lo	289	4.775538	corrected
triple6	hab2lo	290	4.667010	corrected
triple6	hab2lo	291	4.923729	corrected
triple6	hab2lo	292	4.728236	corrected
triple6	hab2lo	293	4.684231	corrected
triple6	hab2lo	294	4.721116	corrected
triple6	hab2lo	295	5.000858	corrected
triple6	hab2lo	296	5.000706	corrected
triple6	hab2lo	297	4.787303	corrected
triple6	hab2lo	298	4.922170	corrected
triple6	hab2lo	299	4.855290	corrected
