design	catalog	target_yr	z	rel_sd_min	rel_sd_max	infeasible_frac	original_point	rel_sd_flat
bracewell4	hab2hi	5.5	2.129	47.6	51.8	6.0	1	51.8
bracewell4	hab2hi	5.75	3.909	24.6	28.9	0.0	0	25.0
bracewell4	hab2hi	6.0	5.689	19.3	21.9	0.0	1	21.1
bracewell4	hab2hi	6.25	7.469	16.1	17.7	0.0	0	16.8
bracewell4	hab2lo	7.5	3.017	39.2	41.5	1.0	1	41.5
bracewell4	hab2lo	7.75	4.418	27.5	29.8	0.0	0	28.1
bracewell4	hab2lo	8.0	5.819	19.9	21.7	0.0	1	21.7
bracewell4	hab2lo	8.25	7.220	18.6	20.2	0.0	0	18.6
collinear4	hab2hi	3.5	1.044	82.7	85.8	26.0	0	83.7
collinear4	hab2hi	4.0	5.742	18.5	25.0	0.0	0	20.9
collinear4	hab2lo	5.0	3.169	31.7	38.8	0.0	0	33.2
collinear4	hab2lo	5.5	7.365	17.5	22.3	0.0	0	20.0
kernel5_deep	hab2hi	5.5	2.362	51.7	55.9	5.3	0	53.1
kernel5_deep	hab2hi	6.0	7.244	20.9	23.8	0.0	0	20.9
kernel5_deep	hab2lo	8.0	3.022	33.5	37.3	0.0	0	33.5
kernel5_deep	hab2lo	8.5	5.291	19.4	23.7	0.0	0	23.7
triple6	hab2hi	4.0	4.518	22.2	26.4	0.0	1	24.0
triple6	hab2hi	4.25	7.047	15.0	16.6	0.0	0	15.0
triple6	hab2hi	4.5	9.576	13.3	16.3	0.0	1	14.6
triple6	hab2hi	4.75	12.106	10.2	11.2	0.0	0	10.2
triple6	hab2lo	5.25	3.461	35.6	42.3	0.0	0	38.0
triple6	hab2lo	5.5	5.488	22.8	27.2	0.0	1	23.9
triple6	hab2lo	5.75	7.516	18.0	21.2	0.0	0	18.0
triple6	hab2lo	6.0	9.543	14.3	16.2	0.0	1	15.2
triple6	hab2lo	6.25	11.570	13.4	13.8	0.0	0	13.4
