nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	name	
0	0.83210	0.77285	0.34731	0.00000	1.49702	2.19450	5.76626	3.77880	0.03320	0.12187	0.07703	0.71339	0.01648	0.01648	0.00110	0.00110	3621.38693	0.38042	2140.94798	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	*20LMi
0	1.79804	20.67750	2.59716	0.00000	1.49702	2.39895	5.11068	5.27343	0.42316	0.48500	0.09015	0.71339	0.14745	0.14745	0.00570	0.00988	45.25562	0.84038	629.12348	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	*20LMi
0	3.27430	65.88303	7.63688	0.00000	1.49702	5.11003	5.18824	0.98200	0.59392	0.47318	0.00339	0.71339	0.31927	0.31927	0.02125	0.02139	9.65247	0.37652	391.62164	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	*20LMi
0	0.81735	363.08562	0.60805	0.00000	1.49702	0.37152	2.63742	2.44721	0.38049	0.25772	0.02626	0.71339	0.99612	0.99612	0.02470	0.06674	0.99157	0.93468	246.40381	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	*20LMi
0	1.24596	1.61342	4.18489	0.00000	2.31450	5.14105	5.61954	3.00963	0.55801	0.34976	0.00297	0.84306	0.01237	0.01237	0.00072	0.00085	5.28431	0.10056	344.07552	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	*20LMiB
0	2.03979	6.05913	5.25741	0.00000	2.31450	0.73799	4.23618	4.42017	0.38198	0.51761	0.02062	0.84306	0.02989	0.02989	0.00177	0.00206	0.90526	0.10519	240.71199	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	*20LMiB
0	1.78156	17.73437	5.36760	0.00000	2.31450	3.21624	0.91070	2.04770	0.44770	0.33222	0.07402	0.84306	0.06116	0.06116	0.00417	0.00421	0.21622	0.25414	163.61446	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	*20LMiB
0	2.12262	132.54682	7.96035	0.00000	2.31450	5.12323	0.47460	4.06973	0.60598	0.30919	0.08791	0.84306	0.23378	0.23378	0.01108	0.01610	0.01480	0.76936	76.90851	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	*20LMiB
0	0.77773	4.70521	0.24923	0.00000	1.55728	0.40994	6.20403	1.16845	0.27569	0.10019	0.05838	0.53196	0.05807	0.05807	0.00208	0.00450	604.93777	0.01158	1273.39222	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	*36UMa
0	0.54119	233.08240	0.08476	0.00000	1.55728	6.22869	4.95314	0.87093	0.78416	0.56757	0.02380	0.53196	0.78332	0.78332	0.05438	0.06066	3.32509	0.57166	256.17584	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	*36UMa
0	3.28274	388.99311	5.36760	0.00000	1.55728	4.19902	4.22977	0.28421	0.21509	0.37799	0.06736	0.53196	1.10211	1.10211	0.01686	0.08534	1.67968	0.98112	298.23947	2	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	*36UMa
0	0.78837	2.17783	0.27079	0.00000	1.68706	1.55326	5.79454	2.21032	0.33844	0.39280	0.09582	0.36801	0.02819	0.02819	0.00041	0.00218	133.06068	0.00073	852.52802	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	*36UMaB
0	0.51102	3.60808	0.12833	0.00000	1.68706	4.89553	4.63319	3.91552	0.12185	0.47526	0.06740	0.36801	0.03947	0.03947	0.00197	0.00306	67.87573	0.03504	773.34790	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	*36UMaB
0	2.37643	11.41594	2.94136	0.00000	1.68706	4.84524	1.56641	0.63895	0.07716	0.03599	0.01556	0.36801	0.08507	0.08507	0.00395	0.00658	14.61280	0.02714	533.35730	3	0.65400	0.63000	4070.00000	12.91936	K	157.60545	55.99913	154.29285	51.66845	*36UMaB
